,Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10,Latent_11,Latent_12,Latent_13,Latent_14,Latent_15,Latent_16,Latent_17,Latent_18,Latent_19,Latent_20,Latent_21,Latent_22,Latent_23,Latent_24,Latent_25,Latent_26,Latent_27,Latent_28,Latent_29,Latent_30,Latent_31,Latent_32,Latent_33,Latent_34,Latent_35,Latent_36,Latent_37,Latent_38,Latent_39,Latent_40,Latent_41,Latent_42,Latent_43,Latent_44,Latent_45,Latent_46,Latent_47,Latent_48,Latent_49,Latent_50,Latent_51,Latent_52,Latent_53,Latent_54,Latent_55,Latent_56,Latent_57,Latent_58,Latent_59,Latent_60,Latent_61,Latent_62,Latent_63,Latent_64,Latent_65,Latent_66,Latent_67,Latent_68,Latent_69,Latent_70,Latent_71,Latent_72,Latent_73,Latent_74,Latent_75,Latent_76,Latent_77,Latent_78,Latent_79,Latent_80,Latent_81,Latent_82,Latent_83,Latent_84,Latent_85,Latent_86,Latent_87,Latent_88,Latent_89,Latent_90,Latent_91,Latent_92,Latent_93,Latent_94,Latent_95,Latent_96,Latent_97,Latent_98,Latent_99,Latent_100
CopyNumberAttenuation,-0.04854414436160346,-0.036011183350794194,-0.07889248095367109,-0.016624470438285556,-0.09550140717556509,0.11454391775524149,0.16088119475956617,-0.06213162897383455,-0.12111524944763497,0.10625908950092183,0.027447793055919267,-0.20670725437474693,0.02297876104971603,0.17360603088670462,0.12163599656133411,-0.016909823565635657,0.05697824359817094,-0.08709550554131573,0.05133981609940188,0.158248937583704,0.1357429915981772,0.03919576463578591,-0.07527847386693477,0.00802760006744877,0.08942729852675428,0.07241587003520597,0.015091182660418017,-0.1126171295919668,-0.10061664174744661,0.15018661552595391,-0.00507542585339175,-0.016100163843029966,-0.059496054368420925,-0.010911856843868953,-0.06736606483738708,-0.04781342405804665,-0.03578261203601699,-0.09184540598050409,-0.012787724050381493,0.03201343219806444,-0.06131887722475761,-0.13268706722132942,-0.0604955375566993,-0.1878488547797309,-0.017328552207113407,-0.067918012504462,-0.019612312251565917,0.12165892703985645,-0.05302677135613402,-0.04190756517534706,-0.026418246769062497,-0.06456355017723145,-0.024828958168789973,0.004113776471990093,-0.0027260102266078597,0.07857235231037979,0.003862942448349927,-0.07100547519942878,0.043386992378904615,-0.05729279327119708,0.16268590038851524,-0.22626187097377906,-0.12882481601797802,0.10290369340268181,0.1372380418656173,0.21656079053355878,-0.027742059625558237,0.15177489063089428,-0.10038974796520306,-0.04157442045202891,0.030593897074708554,0.07292607586785253,-0.07495789690070986,0.03657225292485947,-0.06597264074333313,0.04746539192019014,0.12234243786503148,0.0031676590292545378,0.03162748279139409,0.08327635502141036,0.14806061326716416,-0.0823558865771685,0.06073359369354695,-0.1057539939505843,-0.002280822481962468,-0.11772859123446895,-0.05421348385535138,0.07955140652082353,0.00022826534578719652,-0.17900112800070853,0.03243169280972932,-0.014657435926340074,0.06604083376672253,-0.019061421696156364,0.007243329712629666,-0.03053149982645823,-0.13778995246339712,0.020940741690211873,0.12776287116780655,0.053190259914985494
GeneExpressionCorrelation,0.0868767405969728,0.02986392217690164,0.05457457464870625,-0.042951016276041226,0.1479564375503742,-0.15182975692510234,-0.2179292274758263,-0.07410250521822605,0.17330286905759423,-0.1439442015616717,-0.13177978425595632,0.25162056483411405,0.005542691921892941,-0.1714244494374275,-0.11653118123431262,0.010727623438870175,-0.016122701749287458,-0.19502496706807373,-0.07260563014615552,-0.11396953131469775,-0.12718511045335557,-0.1446842060590444,0.012795692604596691,0.02640552949549572,-0.10586655577151023,0.06390275032259943,-0.12564202741117195,-0.02162700139052192,0.177452959734664,-0.10566479957375578,-0.09453877384975089,-0.005525186099147608,0.1446398405846495,0.04380024636209676,0.08597083860158514,0.08600334662033145,0.026470361191733127,-0.004917767790631258,0.18009392056274517,-0.01083259242702149,0.010650452378443098,0.08202120453503436,-0.10041730821052247,0.2892431361696417,-0.028189608654171798,0.22056250475801548,-0.041156175669262,-0.16459344196612882,0.04686303828441787,0.04091489393121299,0.14942866768703453,0.2924043611293107,0.13547542680234212,0.12027222896562659,-0.03878329857416381,0.014411529401237636,0.11372387860512852,0.04608952371799259,-0.16777252366752216,0.05191451766488978,-0.13941307869858194,0.2632530651878987,0.023907778443702354,-0.09482918926540408,-0.20701813673250855,-0.003024273526643834,-0.08822902151647266,-0.0778541194546275,-0.01805087577260842,0.2720934639848831,-0.054684567452555406,0.043707364832524256,0.2137799773426327,0.0004407856965617469,-0.057848669084002005,-0.12303515014543523,0.0014507833131885595,0.04238852372353006,-0.024133482767656915,-0.08390115843196,-0.11559962394232258,-0.05354967350992942,0.05170745118311078,-0.016720172539252093,-0.043859943431443525,0.1967435404926282,0.09475166828584056,-0.1794760309762756,0.06050197874347583,0.011582529353700346,-0.05716168223790447,0.029473169688426958,-0.05923997081581585,-0.20048092345065968,0.03191903793831048,-0.09063950086698215,0.25744766957600307,0.19549452947082915,-0.17697627692343906,-0.08748048061523846
CopyNumberInstability,-0.19663065823551457,-0.26209793383758134,-0.10949474111231768,0.05444021843601139,-0.08956257655976574,-0.018262244883103292,0.24698302423743151,0.0716147862660706,-0.033762041499321806,0.23535216662234756,0.05301954661157778,-0.12718139529282094,0.12239945749102271,0.2324329528420226,0.09976511610029516,0.15603336550165675,-0.0877271523818759,-0.034777100798708806,0.026194643172481952,0.1381711378603136,0.1942972244773599,0.028353752133607926,0.11589745827224064,-0.02694857588695734,0.20181675471330116,0.14722796253940645,0.045205376000097476,-0.2125262373297879,-0.06409249811058934,0.09215659820291756,0.0002627078290870067,-0.021559235816967608,0.15674250784418156,0.007369560511928252,0.1428060675774576,-0.023519132038117604,-0.22646390339341602,-0.18050422647153422,-0.05879502492422919,0.06579633973517511,-0.07879152992165708,-0.21429721834035725,0.021040511718282213,-0.08404157144400314,-0.03851859391804201,-0.038042987238457046,-0.08765967187795969,0.10305694965966779,-0.20428208862984878,-0.06136253438627113,0.016297508426391084,-0.1459367132865074,0.04990668209296365,-0.027414794051942696,0.0007269770952397782,0.11834591134437948,-0.03442500092480152,-0.1579131738702398,-0.044912855339344464,-0.13057407028972287,0.4112750552404072,-0.2117132433013548,-0.2520301804299163,0.12870221774825832,-0.14992433788160417,0.40024576368645304,0.010843876699105356,0.16863471854017756,-0.06308193939135825,0.006149562782570186,-0.06747616875500613,0.1970470911768436,-0.21063841905531638,0.17081847508321302,-0.18308683450466098,-0.03410441632820083,-0.08211023480000446,-0.01164693239287854,0.0656591997785856,0.07225852577611873,-0.02478676339696705,-0.04230569068829598,0.028389979288263964,-0.07824077567633442,-0.06632507591516845,0.07685925359787547,-0.07965048830631091,0.10026557811082525,0.10434932388791246,-0.10993898669654381,0.03655389183793449,-0.19940238349465164,-0.05520005855840478,0.05533964676854108,-0.07583072069729753,0.1022813942583846,-0.32206507832799247,0.06443965387127014,0.23502221327185263,0.1274113002377987
ploidy,-0.09818110686439843,-0.17130861335510206,-0.029979929675740383,0.0527043921968523,-0.04444035543402551,-0.025581985968233894,0.057114427576310745,0.11886982692672726,-0.0027433886924125,0.11098579829373437,0.06203403008726145,-0.019654292325136796,0.028965868504801068,0.029974226073831815,0.047330019835496145,0.12759505560505285,-0.05959644853811241,0.019085873875354695,0.016939229516552665,0.029446650906088404,0.07339306537497745,0.0027736643340290942,0.10959587920915398,-0.03407147360516327,0.0438876587983355,0.036100988186063145,-0.0025552200200074653,-0.07734869512096827,-0.013540979405367831,0.03364715436164954,-0.047628554261690825,0.02946990908855002,0.06873821450126219,-0.10319407235046461,0.11625926134305051,-0.015770894622665364,-0.13158674578004204,-0.03864930832676711,-0.028166149137816586,0.026219343555170943,0.0353888811313673,-0.059504193979586895,0.026843463734751556,0.0007620001173490134,0.03298698901283171,-0.00573488986480457,-0.11257563895851118,-0.004801157114590622,-0.07220756115489708,0.0008246869821514131,0.05477653638145936,-0.05956292657884473,0.12609283716900058,-0.035157869854634316,0.047591578925744844,0.041302871237100074,0.004584517691673114,-0.06469834386324232,-0.01112590205260557,-0.04544096964430902,0.15202836796091496,-0.11870599045622741,-0.10718063585470283,0.05674459311226849,-0.10539813308491751,0.15066806636586993,0.011077092070905292,0.08151526032804812,-0.00747945502797592,0.03724733096674655,-0.010086864517580214,0.10904829671712706,-0.10855194780397984,0.13460685315459464,-0.0653347596870705,-0.005166408077241765,-0.061926930980635175,-0.03969981942692004,0.040093641248880194,0.05400435522697812,-0.03258842271660988,-0.025973049471022032,0.0389352298206911,0.060425482265312316,-0.015900905809180934,-0.007385879289646399,-0.053767898164686266,0.036416096456622464,0.0910968224289496,-0.07902512677250295,0.03415533252609123,-0.0986274796620609,-0.05254902912092372,0.07880190483676279,-0.04927057620520224,0.09673232422264937,-0.10680860431878887,0.03809545148147903,0.0844857241389837,0.06254644282950285
mutational_burden,0.23371948174296933,-0.07947398622655813,-0.0005556101843232506,-0.060415621832469235,-0.10051565066698064,-0.09444109574090791,-0.08142162506909356,-0.0330288015567255,-0.02077751014550936,-0.0811934804378984,-0.11687283749057475,0.07025591280197259,-0.0716655238830189,0.009042749239530178,0.0853680798683206,0.00835261134736431,-0.025157790066363008,0.11306479151635408,0.08949139856204406,0.05294480459110278,0.0309371866348282,-0.009179124327343312,-0.008446342893426705,-0.02356154872646273,-0.08988948782187359,-0.1062996101924834,0.060087634873773055,0.06364033364257422,-0.014581536308921192,-0.005421274556870281,0.022586375262134965,-0.09453460820097186,0.005619200979020665,0.06964031018995911,-0.0062001193896810075,0.02755375323799265,0.13976797281419698,-0.016283439081617956,0.06045323667340172,-0.04690686415760245,-0.08733490754568825,-0.01348827701700397,0.0389777618629246,-0.02609102451369899,0.04287139016124507,-0.06542538696561974,0.07797814165849745,-0.07559067919490481,-0.033388783460603,0.02462195495671145,0.001889685373283936,0.06486913529739033,-0.08373002823743125,0.14207500113055846,-0.1373045170707614,0.0022994151793539483,0.04668785219193194,-0.01727741423798882,0.07655647670021966,-0.16104469324738277,-0.02781395572679594,-0.025597296790192427,0.04282648407842922,-0.034103382509359,-0.017955422021255153,-0.0019527270716954538,0.019344597652138498,-0.060267461684942354,-0.022908022391702445,0.027683514922102147,-0.11289488521417329,-0.03135771070552788,-0.11986364999634176,0.08416705703618817,-0.06300382067995268,0.10916695842138899,0.04577474496764113,0.004680506443807835,0.043785028903427,0.028765502695225192,-0.06985147864493269,-0.15766479380104972,0.05658949986814812,0.015157990826270973,-0.12009978844438594,-0.03326310577313699,-0.154217932031522,0.08203292350929316,0.11920087202596857,0.051729103166735964,0.010942622281697982,0.1213211022204637,-0.06437370265690302,0.020700044100110285,-0.03282176416018251,-0.07044183415806675,0.047807147513982164,0.07415232223207924,0.027083404279597652,-0.0619342866000183
growth,0.18913361461076386,0.19445954539587101,-0.06077538873997084,-0.002521421291084144,-0.0660695589901076,0.1426375008257196,-0.2019810565012648,-0.08533872301135369,-0.013917250472710288,-0.1079110702139633,-0.1638612152310419,0.03652557290759806,0.042148215422701314,-0.04345154629087389,-0.056308886979137746,-0.1340677500668795,0.14016784430366905,-0.14590864950835,0.021728431924818267,0.0657176807515406,-0.15346713810858542,-0.07350173330596495,-0.032358064987213345,0.024372876743220778,-0.1928360319558041,-0.19075605331671977,-0.14373209121132324,0.16604949389603577,0.12276166447945867,-0.020206336379574027,-0.20087394286215918,0.08348986959016919,-0.14772754915348157,-0.08613530209837093,-0.1487658089299383,0.04116957760338406,0.18014749891208157,0.16396026071020461,0.019829028221638432,-0.00807186604328214,0.08988597632058387,0.2124560988008952,-0.15402709140212312,0.17284665600198368,0.1464001742986569,0.2018416738353131,0.05549811314833651,-0.01185201255431503,0.3052446947203435,0.027346847465316567,0.10750356538442064,0.28573689248101836,-0.02162196287112539,-0.11210145858763394,0.02864144312134748,0.04390163598069322,-0.0890906324632986,0.07235661200846914,-0.09617767604274208,0.13175094866715428,-0.2909649435672245,0.03583903071839006,0.06096332808281441,-0.2105134096287031,0.14514742345219775,-0.08064379183386568,0.1256424825455118,0.010519573442133032,0.025635583617007497,0.2861351340230421,0.08689930436892568,-0.1006477928109451,0.22956494629830793,0.13698182621506105,0.06437243595416553,0.1217676516219726,0.14723584487335586,0.02303419358824984,0.003078735543685361,0.08745106190552036,-0.13376139216285174,-0.09045165926397282,0.06159142187283299,-0.03127149239769967,-0.0012712569574552675,-0.01765549391462005,0.15606576562818308,-0.3081647883749,0.21445226180257262,-0.10372738129704331,-0.09200833679798398,0.3529116766841784,-0.09782182631805583,-0.21138476896687933,0.11160474026037026,-0.0426115015471245,0.1666939838999962,0.05671367649285384,-0.2287101630395918,-0.07968984374964015
size,-0.04403109780656,-0.2322344213997832,-0.18945843930117257,-0.032838046799320425,0.047408789114523966,0.0023148624805450183,0.037609393929629524,-0.024385494152029865,0.10566787995021268,0.15899733898423746,0.18531099449209762,-0.16455108695974693,0.12840197079580543,0.20875418117115352,0.019857830294269973,0.15548129428371585,-0.011921045159148321,-0.10086011455592538,-0.03424036164254932,-0.02162131725926633,0.1270926159487573,0.030131613979991083,0.07206464192841865,0.02412282970386895,0.008740271297486137,0.2534969655181347,-0.0073068061205275574,-0.109644044031267,0.005923331233882095,0.044629392463025504,-0.12701646732631683,0.039475758357768245,0.23903250103150592,-0.06401466415218425,0.13152013026264406,-0.014489705957072179,-0.30178965334517155,-0.226322894822698,-0.13767500717861503,0.15336850799588916,-0.019839880268351553,-0.20363498695258214,0.07913200503858157,-0.03734610744553958,-0.04597462419058494,-0.021167545762719505,-0.19940239474113788,0.11350069027604698,-0.24084012821307252,-0.019118418998114325,0.0029243217342721003,-0.13090950635534204,0.12798539218780444,-0.10143825211803964,-0.03610750319829558,0.026750053619536925,-0.017463505907452378,-0.1152751492679034,-0.16439022774364564,-0.1449455195957497,0.2751165133617879,-0.033068798598855184,-0.2482996704321852,0.20699694589122625,-0.2349398878880277,0.2317976745209125,-0.07323566720130677,0.1278647492507905,0.020037987557589742,-0.0779977720087872,-0.08729724574074327,0.23483194183760664,-0.1599712457317246,-0.014900332832947779,-0.0938131748261063,-0.20299819185626325,-0.15203097896499188,-0.0898147203835827,0.2694272294152896,-0.06109061596475108,-0.09517311172667857,-0.10818723378295549,0.15358981201884683,-0.05575031694029622,0.013173030785244816,0.033353339259344764,-0.016803080469405006,-0.05071857193154733,0.17369177505017852,-0.020423474703141365,0.0035436950214788694,-0.2796908162730947,0.010692461140941576,0.07182888495590026,-0.0034345959059280664,0.04445018039064153,-0.24253940779837266,0.14975131248421758,0.1424803462613753,0.15414714028960644
RepsCorrelation,0.016643705970195904,-0.013227352780818352,0.11864943810551358,0.07926892481670825,0.009666356855040222,-0.11954251588086377,-0.06290467001582309,-0.009502106261030168,0.0974452082737871,-0.06414825887172962,-0.05687063265276719,0.09725179488948774,-0.03462064977221227,-0.03633737394100016,-0.0006404875474134242,0.03933288577289602,-0.09710815211546246,-0.13230884583230101,0.03217537633268124,-0.033970408895112617,-0.0653847400511281,-0.1268890288205613,0.023408338638078674,-7.308725061372704e-05,0.07104560998947827,0.0050614807091970875,-0.14804895380389244,0.04033692309092376,0.055987367466052186,-0.03500484560608733,0.15575604669195092,-0.04670273086383703,0.08164770491618871,0.03599061403609495,0.06891596545600955,0.1369820643965573,-5.980296428753542e-05,0.08913308165230403,0.08678338919718896,-0.13336485271142046,0.008094503979134393,0.10677422906333016,0.07243080061030585,0.13526316219929685,0.10895617350574986,0.03478369938367411,0.18143253829535919,-0.08387642366712118,0.01286306006094273,0.01664823780150707,0.057118583789269345,0.11404611948225298,-0.05864839398023134,-0.08512163947161573,-0.006955236074477851,0.07906347858596996,-0.05588793319320234,0.019541179931241808,0.10153371239354742,-0.00917621937255311,-0.052495677844246406,0.05051401691738431,-0.040919950201323434,-0.17022059665738987,-0.11840512556526542,-0.06370777055106935,-0.05737063886106361,-0.16294011052447735,-0.03455249383549073,0.10185483338925581,-0.11082595365889575,-0.04654422463871349,0.030756876930837465,0.051251596234356864,0.013833621872417226,-0.022342282533813842,-0.09437800939794497,0.12236431221954495,-0.14538913038507628,0.09187076665173366,0.009223243634752324,-0.018421519652566005,-0.11384168344652183,0.050803532488842416,-0.029847034833663265,0.12534051401948598,0.027715437234426158,0.052093660560920144,-0.08255013555674469,0.04339706463893056,0.002353544980644185,0.09872303401064463,0.012508835145275517,-0.017318198300048396,-0.08859443828279079,-0.04493607535693891,0.06108088754113401,-0.023280879816684752,-0.14502971661372097,-0.09793019094514888
CDH1_prot,0.2540088345921295,-0.20267470995475118,0.0148804974254849,0.044779374494746796,0.07258474553060594,0.07531308383727348,-0.05033460846721178,0.006289660208803538,-0.14822533483129138,0.18768135664079094,-0.04370125814957194,-0.19185062195060137,-0.07636559040712114,-0.025319740323253796,0.0005402013786289405,0.10311686851027582,-0.020295824384777096,0.04538599006779119,0.09910074194256116,0.3437699391274494,0.20254060444996952,0.13151589936828886,0.0016547930714990904,0.0123773953031238,-0.11288475218282745,0.0812717216063234,-0.11954841290039624,-0.16129330646756,-0.07261392919188933,-0.09472764149032255,-0.21482580254823305,0.15817129496028262,-0.07241652042720423,-0.21529001976351794,0.13112667795581345,-0.04660757772496822,-0.08501634821879771,0.03722083810085561,-0.16261342338673038,-0.044910297389846046,-0.3808200571334856,-0.25162979544458475,-0.050846312634197456,-0.23968778728289564,-0.025991155433259326,-0.09479124733505301,-0.20350668137111855,0.04437480979799398,-0.046610729652330374,0.14928105716924217,0.01832866413202279,0.023829732027045043,0.17715994437858484,0.23203335485084867,-0.15585978617303872,0.04990596179983406,0.26568267328527384,-0.07125590216790029,0.004631474243962064,-0.10982908458179667,0.21278905066145878,-0.24724210614264758,-0.21784856298903496,0.0162199069597334,-0.09548732678268157,0.1757053494567769,-0.13346006663454443,0.30376333406936196,0.12110558093653269,0.13983292680464127,0.10149359518691047,0.015479614762698286,-0.11549086581699279,0.1816499320737583,0.12039949932339032,0.058722945473794225,0.0909992852300315,-0.18237690268751344,0.09305278953753103,-0.0662737122884377,-0.08065177734237555,-0.007226532486125782,0.3203055068680998,0.1768847594126037,-0.13195604709812636,-0.0651107214684906,-0.013909739157084999,-0.13143913832780255,0.174806793172534,-0.08829356583022864,-0.08711426354186258,0.08890550244008516,-0.10884393692009349,-0.047391022369948355,0.022361791244385285,-0.19986729503398734,0.09139316973433076,0.09593486022795285,0.181573328456138,-0.1713979784791666
VIM_prot,-0.08822013905614981,0.13810175522094206,-0.2050932503432917,-0.027191394471342722,0.14504301459639346,0.035255640537624325,-0.15503211455578583,0.018005837219746516,0.3731715638470598,-0.11702905022764885,0.1597392776302917,-0.015542061369389897,0.16639711800142978,0.02737666194016557,-0.12404681313406415,0.0041623636526567295,0.13253133168850126,-0.14483340338573314,-0.11323852636751161,-0.25270540156850546,-0.05903988264700174,-0.09240436500123062,0.027808979726938625,-0.025935524229704004,-0.11003245034558663,0.13218725743433823,0.021800646928337632,0.15817776529466696,0.06107913850774663,-0.08869373269130053,-0.19997100721832714,-0.00343978329686152,0.1801773133895263,-0.07584150649906034,-0.046507021835738585,-0.006176178575276552,-0.2353396441967866,-0.07683325114590693,-0.0809538575762642,0.22530892465885027,0.32076716560749313,0.04470168859923018,0.043315575117374286,0.2569944691410552,-0.05904513360744443,0.1380309008831746,-0.16977947537904192,0.02128102711601199,-0.04732809602879427,-0.0801291635750033,0.12736758402235418,0.02716926392169452,0.1530388694222001,-0.2615941833809637,-0.029236833150105297,-0.20551485148402418,-0.014424692731644782,0.02156616025573805,-0.3307521790023734,-0.009528764387660977,-0.13377462995205133,0.3181844765811261,-0.011761380251313378,0.07596945670676303,-0.16002571085234807,-0.11308087399960502,0.0016473450537860456,-0.058343218506550124,0.06470343557884109,-0.17926992464712832,-0.09019591863986981,0.10126500793538748,0.2343915006922117,-0.3429865597051649,-0.04266490080862857,-0.42541869541791866,-0.18878027046566198,0.03636787201676667,0.31978978787868517,-0.14401752022529357,0.013229846131274607,-0.08658455918123094,-0.06557437595895686,0.009213495425081562,0.237036517553285,0.046477284449267055,0.07712906069342049,-0.3946454847858927,0.11289024322948972,-0.08086200183702504,-0.0353295230874909,-0.1974061907963872,0.1825957207303246,0.06683521278302867,0.09872442093021863,0.15659427852694002,-0.07175589152112523,0.16887712694910445,-0.12884386729475975,0.212109834162963
