,corr,pval,len,factor,latent
0,-0.09385590510255494,0.0014200444997224287,1153,F1,Latent_1
1,0.14940157152493208,3.4657099782084425e-07,1153,F1,Latent_2
2,0.03672882979746282,0.21268125140881666,1153,F1,Latent_3
3,0.10444980509372791,0.0003815071883548967,1153,F1,Latent_4
4,-0.1163932195603336,7.450679730505482e-05,1153,F1,Latent_5
5,0.04554990354885733,0.1221503232873377,1153,F1,Latent_6
6,-0.009394062274737316,0.7499961479075684,1153,F1,Latent_7
7,0.020810642391572716,0.4802173020257906,1153,F1,Latent_8
8,-0.08361948694223344,0.004493446192862134,1153,F1,Latent_9
9,0.08792323409711747,0.0028075583727225923,1153,F1,Latent_10
10,-0.14923714818863193,3.5710125047269306e-07,1153,F1,Latent_11
11,-0.033458215044831215,0.25629664708038835,1153,F1,Latent_12
12,0.034519018544877135,0.24151822900681438,1153,F1,Latent_13
13,0.04845598973537446,0.10006349240915346,1153,F1,Latent_14
14,-0.12863794382664126,1.1787107672591516e-05,1153,F1,Latent_15
15,0.017405627171483203,0.5549046878977666,1153,F1,Latent_16
16,0.095190986377538,0.001211595754867715,1153,F1,Latent_17
17,-0.15096225681851447,2.6043976006626466e-07,1153,F1,Latent_18
18,-0.1330681146498395,5.795486139557662e-06,1153,F1,Latent_19
19,-0.04257270444318008,0.1485479239153926,1153,F1,Latent_20
20,0.056750046560307174,0.054047115412694434,1153,F1,Latent_21
21,0.17181009313998538,4.322833055380018e-09,1153,F1,Latent_22
22,-0.1387954082822829,2.2372606189017346e-06,1153,F1,Latent_23
23,-0.047856361537400666,0.10433918167107958,1153,F1,Latent_24
24,0.1560849882048144,9.988630210792048e-08,1153,F1,Latent_25
25,-0.12126634008361709,3.651686480646639e-05,1153,F1,Latent_26
26,-0.17762744081380638,1.2530283142839672e-09,1153,F1,Latent_27
27,0.02832098630970786,0.3366462504069037,1153,F1,Latent_28
28,-0.06369231616546737,0.030573719419331406,1153,F1,Latent_29
29,-0.172527306295892,3.719135163594483e-09,1153,F1,Latent_30
30,-0.12144323799446892,3.556543488110328e-05,1153,F1,Latent_31
31,-0.10313397322143457,0.0004522354850592071,1153,F1,Latent_32
32,0.045708863678603225,0.12085117979984986,1153,F1,Latent_33
33,0.1278087064317278,1.3428111977110963e-05,1153,F1,Latent_34
34,-0.0837775749898195,0.004418065259446413,1153,F1,Latent_35
35,-0.07627782447859763,0.009568502560184475,1153,F1,Latent_36
36,0.009350124146587526,0.7511267470191374,1153,F1,Latent_37
37,-0.00897636555408259,0.7607655168584062,1153,F1,Latent_38
38,0.18057791127815354,6.580278871995186e-10,1153,F1,Latent_39
39,0.10906859422605143,0.0002067892790675187,1153,F1,Latent_40
40,0.0730860787927596,0.013052681653242196,1153,F1,Latent_41
41,0.05631865525490988,0.055902978693403285,1153,F1,Latent_42
42,-0.07988146389897474,0.0066508504930232,1153,F1,Latent_43
43,0.075636844419737,0.010193100938631138,1153,F1,Latent_44
44,0.02128223638661173,0.47032249659105485,1153,F1,Latent_45
45,0.046852509248916756,0.1118202526797066,1153,F1,Latent_46
46,0.06474171314168493,0.027929005367096894,1153,F1,Latent_47
47,0.06271740778995027,0.03322037540740894,1153,F1,Latent_48
48,-0.13924673999707315,2.0721891986085375e-06,1153,F1,Latent_49
49,0.03900365541497975,0.18567929882148382,1153,F1,Latent_50
50,0.005880691919066042,0.8418958529181386,1153,F2,Latent_1
51,0.06326283076082884,0.03171651941247275,1153,F2,Latent_2
52,-0.007386555823967444,0.8021634553774345,1153,F2,Latent_3
53,-0.06262013788931124,0.033494876872983734,1153,F2,Latent_4
54,-0.06491591338645898,0.02750961027375213,1153,F2,Latent_5
55,0.0013347392136674394,0.9638896524454937,1153,F2,Latent_6
56,-0.0032590487994732654,0.9119779217127109,1153,F2,Latent_7
57,-0.08245838247230344,0.005083727114990522,1153,F2,Latent_8
58,-0.038718186229405274,0.18892170995537397,1153,F2,Latent_9
59,0.017078697979420573,0.5623631546384658,1153,F2,Latent_10
60,-0.046909704659268234,0.11138295641779744,1153,F2,Latent_11
61,-0.038307726533425894,0.19365658031885308,1153,F2,Latent_12
62,-0.01503721794205848,0.60999781438843,1153,F2,Latent_13
63,0.006975350143901567,0.8129671676166244,1153,F2,Latent_14
64,-0.0518741268062469,0.07828831406432452,1153,F2,Latent_15
65,0.024113300326527223,0.41334661107123843,1153,F2,Latent_16
66,-0.0014876073622972317,0.9597572457836762,1153,F2,Latent_17
67,0.0035217589799455542,0.9049148945502371,1153,F2,Latent_18
68,0.00641781344915344,0.8276720562674027,1153,F2,Latent_19
69,-0.09036402030456184,0.0021309705285507212,1153,F2,Latent_20
70,0.028712144948152475,0.33001249029755597,1153,F2,Latent_21
71,0.1041653283459087,0.00039586121044387035,1153,F2,Latent_22
72,-0.05505747474307842,0.061634860918476926,1153,F2,Latent_23
73,-0.05658883748628978,0.05473454351876624,1153,F2,Latent_24
74,0.04814754822003651,0.10224509519900468,1153,F2,Latent_25
75,-0.009953469685495556,0.7356493210359268,1153,F2,Latent_26
76,-0.08991552203639898,0.0022428239021066872,1153,F2,Latent_27
77,-0.0014145826915302358,0.9617311565644872,1153,F2,Latent_28
78,-0.034566101182638725,0.24087648277130358,1153,F2,Latent_29
79,-0.07906386808279366,0.007231856468209008,1153,F2,Latent_30
80,-0.0305507391488594,0.29997213177420584,1153,F2,Latent_31
81,0.009797089166457358,0.7396509117599991,1153,F2,Latent_32
82,0.045286902211771514,0.12432367910233331,1153,F2,Latent_33
83,-0.012009505669005376,0.6837396450846609,1153,F2,Latent_34
84,-0.06651104041719554,0.02391508744130248,1153,F2,Latent_35
85,-0.02764282951159376,0.3483487603218288,1153,F2,Latent_36
86,-0.03893730973051757,0.18642917494936317,1153,F2,Latent_37
87,0.030818586881376234,0.29575281228838485,1153,F2,Latent_38
88,0.07999922268574283,0.006570714272640912,1153,F2,Latent_39
89,0.06839035107116752,0.02020853177011539,1153,F2,Latent_40
90,0.07276917615564407,0.013453379206496733,1153,F2,Latent_41
91,0.03723124890377129,0.20648656993666248,1153,F2,Latent_42
92,0.020763285023828116,0.48121715989321584,1153,F2,Latent_43
93,0.04405822416680584,0.13487844661195186,1153,F2,Latent_44
94,-0.03179384721731901,0.2807264234816819,1153,F2,Latent_45
95,-0.03446769597868474,0.24221913442497323,1153,F2,Latent_46
96,0.11008622410879293,0.00018010229857652406,1153,F2,Latent_47
97,-0.004936667322376132,0.8670175976485837,1153,F2,Latent_48
