,corr,pval,len,factor,latent
0,-0.29439258882284974,3.251244832946628e-31,1492,F1,Latent_1
1,0.4126992950717819,1.9336169344351896e-62,1492,F1,Latent_2
2,0.17091513534498096,3.02684256303841e-11,1492,F1,Latent_3
3,-0.07065673858258315,0.00632686466500759,1492,F1,Latent_4
4,0.14926860537214096,6.899053611929363e-09,1492,F1,Latent_5
5,0.38447823755118754,9.402685723156511e-54,1492,F1,Latent_6
6,0.16856300157621587,5.659441292860718e-11,1492,F1,Latent_7
7,0.26802941716530704,5.787772314402762e-26,1492,F1,Latent_8
8,0.06357624838670059,0.01404347685914442,1492,F1,Latent_9
9,-0.2663046138239035,1.2200432266192846e-25,1492,F1,Latent_10
10,0.02639542333347876,0.3082582335011339,1492,F1,Latent_11
11,0.2673789958294286,7.672184136482322e-26,1492,F1,Latent_12
12,-0.20260653133205986,2.7558844035582164e-15,1492,F1,Latent_13
13,-0.06606747210351786,0.010692221836528086,1492,F1,Latent_14
14,0.2640468884421356,3.211610517615188e-25,1492,F1,Latent_15
15,0.2491617591430735,1.5047827369484187e-22,1492,F1,Latent_16
16,-0.15110689162761864,4.4768480918974786e-09,1492,F1,Latent_17
17,-0.42856471214681,1.0540689641913506e-67,1492,F1,Latent_18
18,0.3317446513109831,1.1691866900205369e-39,1492,F1,Latent_19
19,-0.035534803570636916,0.17010548053632646,1492,F1,Latent_20
20,-0.02924811517979733,0.25887905238740994,1492,F1,Latent_21
21,0.2892470857023234,3.8168486745207775e-30,1492,F1,Latent_22
22,0.05169598431127872,0.04588039532168939,1492,F1,Latent_23
23,-0.3103771757114992,1.1133087930674007e-34,1492,F1,Latent_24
24,-0.21339285803415195,7.959514451287404e-17,1492,F1,Latent_25
25,0.2477372588956952,2.6545937066763486e-22,1492,F1,Latent_26
26,-0.26786463486520273,6.216629748448645e-26,1492,F1,Latent_27
27,0.03800833183320627,0.1422603733905435,1492,F1,Latent_28
28,0.43611210183433685,2.620455034333913e-70,1492,F1,Latent_29
29,-0.10141353601701956,8.706224632575575e-05,1492,F1,Latent_30
30,0.6905418325483278,7.137225303606778e-212,1492,F1,Latent_31
31,0.10844904164276559,2.694334362914016e-05,1492,F1,Latent_32
32,-0.29633135853839976,1.2684419544729895e-31,1492,F1,Latent_33
33,0.224556366174268,1.6509978521013189e-18,1492,F1,Latent_34
34,-0.35029388462116534,2.5822599861382946e-44,1492,F1,Latent_35
35,0.09316457964147999,0.0003140366893975666,1492,F1,Latent_36
36,0.21434546324846046,5.765682665553118e-17,1492,F1,Latent_37
37,0.41839193185390305,2.6927889689404492e-64,1492,F1,Latent_38
38,-0.19875248131530696,9.328944495565977e-15,1492,F1,Latent_39
39,-0.29421707388191903,3.53916131318457e-31,1492,F1,Latent_40
40,0.11633301620241936,6.6352641367780414e-06,1492,F1,Latent_41
41,0.14336138959967695,2.6724083042242732e-08,1492,F1,Latent_42
42,-0.35553714111798423,1.0910380761503825e-45,1492,F1,Latent_43
43,0.20446669190796204,1.5164367608996103e-15,1492,F1,Latent_44
44,-0.20966080526811837,2.7739756855016613e-16,1492,F1,Latent_45
45,-0.05643222202827838,0.029280847624132838,1492,F1,Latent_46
46,-0.250464014474942,8.927501346176825e-23,1492,F1,Latent_47
47,0.17604556726221543,7.496390299888833e-12,1492,F1,Latent_48
48,-0.2556081940982903,1.1019087735868239e-23,1492,F1,Latent_49
49,-0.0302069979291218,0.24358362410399148,1492,F1,Latent_50
50,0.20451859887755588,1.4912446541994422e-15,1492,F2,Latent_1
51,-0.010928965274563286,0.6731669600816987,1492,F2,Latent_2
52,-0.0030825885979230525,0.905299252854862,1492,F2,Latent_3
53,0.03132939612369419,0.22649964495295596,1492,F2,Latent_4
54,0.024714406672551804,0.34009652117991135,1492,F2,Latent_5
55,-0.03889494874582919,0.13317938043631247,1492,F2,Latent_6
56,-0.010263930443589047,0.6920039660809514,1492,F2,Latent_7
57,0.003567665344429015,0.8904845815576812,1492,F2,Latent_8
58,-0.05672726967227299,0.02844462049910825,1492,F2,Latent_9
59,0.1426262957969311,3.150990634818141e-08,1492,F2,Latent_10
60,-0.18019075303895626,2.3534376895789395e-12,1492,F2,Latent_11
61,-0.03876492282989759,0.13448237285911063,1492,F2,Latent_12
62,0.21254326953595692,1.0597826128917993e-16,1492,F2,Latent_13
63,0.1560692729687831,1.3568490785634172e-09,1492,F2,Latent_14
64,0.015203281646671861,0.5573447514472717,1492,F2,Latent_15
65,0.010148994951835542,0.695279279953893,1492,F2,Latent_16
66,-0.0032905009244338854,0.8989450881177874,1492,F2,Latent_17
67,0.03376981215218218,0.19234087743638487,1492,F2,Latent_18
68,-0.1370084063930811,1.0796568229213208e-07,1492,F2,Latent_19
69,-0.03539390697430013,0.17180653039458363,1492,F2,Latent_20
70,0.07828553581792878,0.0024781218549900642,1492,F2,Latent_21
71,-0.0010674408646726555,0.9671389494263043,1492,F2,Latent_22
72,0.33857299873600016,2.4590492499596993e-41,1492,F2,Latent_23
73,0.016622761532888865,0.521143399636639,1492,F2,Latent_24
74,-0.00028563911357741773,0.991204324133355,1492,F2,Latent_25
75,-0.01704147825829182,0.510700529447684,1492,F2,Latent_26
76,0.035767192860493735,0.16732743546662085,1492,F2,Latent_27
77,-0.06834924793615457,0.008267086195809658,1492,F2,Latent_28
78,-0.0009054147307703249,0.9721246970057896,1492,F2,Latent_29
79,0.12311229016232492,1.8463326239374474e-06,1492,F2,Latent_30
80,0.1308036814143595,3.9773247581470486e-07,1492,F2,Latent_31
81,0.3613941162299987,2.9640205617752383e-47,1492,F2,Latent_32
82,0.022891718399905288,0.376912327173433,1492,F2,Latent_33
83,-0.004043851987763785,0.8759784505661029,1492,F2,Latent_34
84,0.05072982846689204,0.05009749218786739,1492,F2,Latent_35
85,-0.09437058512606177,0.00026194317355845363,1492,F2,Latent_36
86,-0.029219258139958282,0.25934944139621224,1492,F2,Latent_37
87,-0.17485042262685677,1.0415745982464448e-11,1492,F2,Latent_38
88,0.06534630940381464,0.011580470107750599,1492,F2,Latent_39
89,0.055130132631324665,0.033228281298294755,1492,F2,Latent_40
90,-0.03236148260661845,0.2115598929795049,1492,F2,Latent_41
91,0.004843353006181213,0.8517189152962954,1492,F2,Latent_42
92,0.0819071821591664,0.0015431148884290451,1492,F2,Latent_43
93,0.07868060199849525,0.002355447767050107,1492,F2,Latent_44
94,0.00033105565210440495,0.9898058849577991,1492,F2,Latent_45
95,-0.16357718143487338,2.0712747578489453e-10,1492,F2,Latent_46
96,0.038095089522369,0.14135133840715672,1492,F2,Latent_47
97,-0.08067963033060536,0.001815655810218038,1492,F2,Latent_48
98,0.00631224265952192,0.8075271621020447,1492,F2,Latent_49
99,0.06645510649357866,0.010240234788020925,1492,F2,Latent_50
100,-0.3754322148592004,3.8279934574149626e-51,1492,F3,Latent_1
101,0.06547550072301504,0.011416692612569758,1492,F3,Latent_2
102,0.056303329532187286,0.02965273646683296,1492,F3,Latent_3
103,-0.08874833735031229,0.0005993005981552728,1492,F3,Latent_4
104,0.055997501796582576,0.030551400915417113,1492,F3,Latent_5
105,0.060294047326016446,0.019853230456243473,1492,F3,Latent_6
106,0.01069678710822602,0.6797208664345505,1492,F3,Latent_7
107,0.05882895871415484,0.023061424793358366,1492,F3,Latent_8
108,0.011320714824137362,0.6621649105923623,1492,F3,Latent_9
109,-0.13849146094301576,7.836840379074878e-08,1492,F3,Latent_10
110,0.15877357688374624,6.965443870316388e-10,1492,F3,Latent_11
111,0.013702048719957947,0.5969148724285828,1492,F3,Latent_12
112,-0.20510243873846185,1.2347583455731694e-15,1492,F3,Latent_13
113,0.026164261515258466,0.3125156521552963,1492,F3,Latent_14
114,0.1168258425920139,6.0601045988931375e-06,1492,F3,Latent_15
115,0.09612358094681968,0.0002004802484076445,1492,F3,Latent_16
116,-0.04513924577743472,0.08133459493049253,1492,F3,Latent_17
117,-0.08639735377889732,0.0008357613689993659,1492,F3,Latent_18
118,0.16735178210874416,7.784562682018696e-11,1492,F3,Latent_19
119,-0.011901450374559495,0.6459890626360743,1492,F3,Latent_20
120,-0.12010904445763364,3.281822005905938e-06,1492,F3,Latent_21
121,0.10223012799057972,7.626563642928426e-05,1492,F3,Latent_22
122,0.3692576737009702,2.0763637906137823e-49,1492,F3,Latent_23
123,-0.03559920304030474,0.16933219554189885,1492,F3,Latent_24
124,0.010197725786252441,0.6938899005288522,1492,F3,Latent_25
125,0.030246004415428195,0.24297513765114137,1492,F3,Latent_26
126,-0.07629445016665172,0.0031900012299419327,1492,F3,Latent_27
127,0.15338980081563877,2.5974280607895644e-09,1492,F3,Latent_28
128,0.0704877904484527,0.006453612671002581,1492,F3,Latent_29
129,-0.31047104602357944,1.060764721011901e-34,1492,F3,Latent_30
130,0.15535852648169513,1.6136625767775787e-09,1492,F3,Latent_31
131,-0.0178616394392682,0.49056663906651155,1492,F3,Latent_32
132,-0.0011720451398170458,0.9639208138390404,1492,F3,Latent_33
133,0.14069505391410783,4.838207630419083e-08,1492,F3,Latent_34
134,-0.15429623716938204,2.0877964186908936e-09,1492,F3,Latent_35
135,0.06557602807101712,0.011290677154441273,1492,F3,Latent_36
136,0.10822936702373816,2.797920955283658e-05,1492,F3,Latent_37
137,0.2715193895602017,1.2587020799429445e-26,1492,F3,Latent_38
138,-0.08478831561072989,0.0010446083698875314,1492,F3,Latent_39
139,-0.16535188534221437,1.3111012640017024e-10,1492,F3,Latent_40
