,Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10,Latent_11,Latent_12,Latent_13,Latent_14,Latent_15,Latent_16,Latent_17,Latent_18,Latent_19,Latent_20,Latent_21,Latent_22,Latent_23,Latent_24,Latent_25,Latent_26,Latent_27,Latent_28,Latent_29,Latent_30,Latent_31,Latent_32,Latent_33,Latent_34,Latent_35,Latent_36,Latent_37,Latent_38,Latent_39,Latent_40,Latent_41,Latent_42,Latent_43,Latent_44,Latent_45,Latent_46,Latent_47,Latent_48,Latent_49,Latent_50
CopyNumberAttenuation,0.21186463335234784,-0.05670986426643481,0.19515169948508237,0.005160342666492158,0.07807354217352622,-0.10314765432811823,0.14616511683000047,0.11834058437008783,-0.14649836889431853,0.044428823427795416,0.21967603207480219,-0.09160165037062665,-0.0012298967014239396,0.12430143473912716,-0.09215796148057694,-0.09149586338610695,-0.06270798099103742,-0.0156551306305406,-0.12888053807784286,0.11133316181268473,-0.02455286075158157,0.017523242819471894,-0.017215163244637254,-0.09722126057787969,0.0860945492561882,-0.06359247430882563,0.10370807471132407,0.2007649272564923,-0.23457449308826941,-0.09695961005283091,0.11401105192162031,0.0018853874231260196,0.0005459106661618949,0.06837002062570328,-0.09010202970197782,-0.17733507809458138,-0.1292355395456421,0.14399225346500222,0.18957458517076203,-0.008363485922940646,0.04805477892590636,-0.01999194669714898,0.22410120983546286,-0.20445656181897678,0.11560516209258166,0.021831623462146937,0.04798413154479101,-0.04067406348521636,-0.06376168637775019,-0.1807638306869067
GeneExpressionCorrelation,-0.2329435182490548,0.11510189105011671,-0.26387916213652435,-0.13439690366597884,-0.04438855367407291,0.19214273929127046,-0.1527204701783048,0.028117315253722085,0.216940023112257,-0.05301075416220955,-0.2602871323422761,0.03122980073751551,0.13636962405402142,-0.10930777432695551,0.26367849620550465,0.16329687294660053,0.05952707918763497,0.05856296544312828,0.16110928714183742,0.06891571439139786,0.025834001310843156,0.1044277566633297,0.18227628750895464,-0.0501848810966186,-0.08470576207496364,0.3354287202287398,-0.10831956899617323,-0.4258111997369561,0.11418352784380587,0.12760753707506828,-0.10263345283085248,-0.011806772215320794,0.03610317373837314,-0.2148058751672398,0.2061915449328234,0.30153363066324057,0.19539938242497518,-0.13813955196970795,-0.1561754438990759,-0.08646676316813949,-0.17702572763677574,0.11095242160197917,-0.16505045484760938,0.2385372440729407,-0.05142319860854161,-0.1856003325628309,-0.03759464561405021,0.03549825938176817,-0.013036446406895892,0.2900256212217076
CopyNumberInstability,0.30908950318751605,-0.03363194954132609,0.23420394372721132,0.039681757307180356,0.21247558365025485,-0.1306495478289732,0.18905476221667297,0.19380056846591304,-0.11250716774514163,0.11387317852085146,0.2227231955244644,-0.1387930200888008,0.025825886765309943,0.19965445096975637,0.023908977400828937,-0.0509223617461487,-0.14684977222784712,-0.05755884171329085,-0.13249237741509418,0.20784962318342437,-0.09136623132291244,0.12697898807039942,0.10663881242741176,-0.23869973505439784,0.16136007002631084,0.026632445179958004,0.15068112073412815,0.1630260619837037,-0.30394938905463564,-0.08560042327093766,0.24444387951953264,0.009228791432815095,-0.00960887511718498,0.0747478297305658,-0.2084042310960273,-0.194302254688475,-0.15361758885276,0.20336651631923822,0.23974170952461843,-0.025630218729375875,0.006802160933657638,-0.006655283510562729,0.28928143379737226,-0.2912933232801147,0.1543530837006818,-0.07619716343184016,0.14059591531082394,-0.1043488306236494,-0.01671243005049253,-0.1866054413801747
ploidy,0.15101098419661,0.0010420601615064307,0.06693460441536929,0.020115588391380917,0.09230996422357785,-0.07304835192863258,0.11193434496461002,0.08385931427709946,0.0009569694928395385,0.024940246984472683,0.1113025583220018,-0.02407362895803707,0.02684373180583845,0.12000430760353387,0.022414498815895852,-0.011077280982674138,-0.04413372997174653,-0.03818563898485043,-0.03937337071344595,0.13960337401785572,-0.013753993096640006,0.04514765134773639,0.032690440078877184,-0.09800694396832145,0.1114137856891011,0.01859744532999231,0.04109059263099307,0.028518873829028846,-0.10588943756497785,0.03481448124534453,0.15473421238050183,0.002659039692810424,0.0033242367486924075,0.08245906381203813,-0.03308374292388554,-0.08532691636534379,-0.08596117268188165,0.11272084829270743,0.090809461392836,-0.048169961074574774,-0.0479361963750401,0.012491899847400918,0.10073866271888479,-0.11329574955706408,0.020083857888394216,-0.012259779344740387,0.07541597998785263,-0.008608020413744016,0.030480874660946913,-0.08915571524442518
mutational_burden,-0.050977576594802156,0.05644811266941899,-0.038881562753267186,0.020129110244056652,-0.033174479528539316,0.050713202435553724,-0.005775663967411617,-0.027728418685107684,0.05061446199362965,0.08422164494813496,0.005861091546966367,0.09358730652306112,-0.07425701097976099,-0.06970148562640516,-0.06778200367785603,-0.09818583860434471,0.05467728199135396,0.0016580420611741256,-0.0026300268944734386,-0.07197610360833191,0.0929393581021895,-0.07070605761049661,0.013381493393564599,0.02706886132648544,-0.08316248167380816,-0.07869055383757437,-0.075304280073709,-0.06151646241483304,0.019738702381675965,-0.037796539432170685,0.025618961554740517,-0.033661622365519936,-0.0008383119347264531,0.015943226299741833,0.08381927562222351,0.010699199736472667,-0.0239502460973752,-0.05155616634982563,-0.0869403470869815,0.003797431386410666,-0.047645609155509416,0.018573116921287377,-0.07491946149786327,0.07103826118702782,0.0021718323322282283,0.06609254090912452,-0.04025907836194306,-0.024175581006094606,-0.03437196224045741,-0.03705876393691927
growth,-0.07420786697707589,-0.06469530797928891,0.004078441705866354,-0.25132547525844,-0.299778976940169,0.13221608264090295,-0.20356117312252311,-0.08903434629101982,-0.12603264012574067,0.05960270585899108,-0.09752172106968277,0.20624811878276333,0.14707516209346805,-0.15177188591528945,-0.1898806443389267,-0.07200136691496242,0.03788916963968337,0.2595094956778659,-0.13683561449016773,-0.0847197969108837,0.05075020885010488,-0.12344471935134319,0.032952257366568455,0.01444039517733739,-0.164128937608187,-0.08049658482233606,-0.032818740911478586,-0.027563410051334662,0.05086296995221161,-0.10744480305363344,-0.14562255773359267,0.01155746943183941,-0.0794308387850459,-0.18117270931341636,0.09757624891124662,-0.08740533957618267,0.08284895851025127,-0.09010915887734161,-0.05343989498011017,-0.01186522502832585,0.005560032893936111,-0.04771778289365897,-0.2208330680158606,0.1569558514588324,0.10998885284480167,-0.09965341022051742,-0.16952189380203178,-0.05567353997451979,-0.25891638747805346,0.13966372699695045
size,0.3165112017143209,-0.011424647007325005,0.24114679102040548,-0.031298684623458264,0.15422840350085248,-0.08207444984837581,0.17541927168271168,0.3114888362370101,-0.08315742159149421,0.07864850935157172,0.2587955689281359,-0.2754576865336302,0.11271788329828136,0.22461789294148002,0.110146186910155,0.07148827000755055,-0.12202857508202733,-0.03724674653909364,-0.17693768563708293,0.2767849899674187,-0.013866427769517407,0.0919386450493614,0.10189410856188506,-0.29531028450208363,0.2790063351626565,0.15519124974066312,0.1463588899699833,0.08023951001768535,-0.35506250230064557,0.05395314782931106,0.27039582050221544,0.00704250050868491,-0.06343685904737721,-0.01566806917487103,-0.16962324793705297,-0.19712603127517464,-0.11426076041611152,0.3370870028393725,0.30946083120418577,-0.16354124682397408,-0.07817231229758186,-0.12265081598772812,0.2879088809910058,-0.34478243426118976,0.2672552649590517,-0.21027712730845996,0.1007052276786666,-0.09198389596708581,0.0600676710285891,-0.17167806640464817
RepsCorrelation,-0.18650347963233166,0.11552755036542289,-0.1566277580683506,0.11955744234116428,0.03156290878511623,0.11387028835191058,-0.20964184722581966,-0.24344485694513687,-0.02029566853738546,-0.03971936220533134,-0.3133566984928025,0.14279744769189526,0.05852469352317197,-0.2725239432042817,0.005554699718056155,0.01726465793179246,0.0285496156198116,0.05731588136911173,0.12974804487862057,-0.11858708070283988,-0.2080697741907677,-0.1148304355625043,0.07709929974368017,-0.03226775785139463,-0.12886714742433714,0.054932116456353194,-0.04791486954572441,-0.246752278071957,0.17307349978586745,-0.11413960374644914,-0.15436806599412606,0.07891111938831896,-0.06827717594167054,-0.03841170604836409,-0.062019649214041,0.23509775250992831,0.16617007270668596,-0.09498429481016797,-0.33843084978568877,0.10792346453119658,0.06105724456159958,0.04766871364923893,-0.19261821356901834,0.19434471676349824,-0.132214802819655,-0.05853998411438518,-0.19092889834836882,-0.07911200034020267,-0.13670976856116385,0.08260116069774011
CDH1_prot,0.06718194885386247,-0.16764853127640117,0.12934619353765867,-0.17265123045405384,-0.11211372596305925,0.029690788820186175,0.060810454943616477,0.21082407479380214,-0.21161535778330082,0.1732913529215854,0.27245107977514266,-0.05772017042209926,0.02843129666843861,0.1498768701192963,-0.20422516593621695,-0.17161944958229444,-0.2039263279172519,-0.09523392099686988,-0.17928978013893426,0.05170953857232313,0.14175214716862058,-0.09138525676192184,0.09302038255281009,-0.13213207173682318,0.009476807596723683,-0.13125290234990225,0.09835026282803015,0.17981201092686486,-0.18920618893364832,-0.06421518527888552,0.2276896826176224,-0.059719995251777167,-0.12589430535129587,-0.07427531318890927,-0.04019376382394435,-0.25180174341209877,-0.12513781898967874,-0.033100849559772744,0.34389819113021214,-0.11230227709534417,-0.08801598261341786,-0.18739016783161666,0.1081830278899212,-0.14228428673057963,0.23884759298607425,-0.09336910846220638,0.03968723384644037,-0.13563733756261992,-0.09270251389306468,-0.15596568121637325
VIM_prot,0.05346846335770082,0.058111373110137414,0.04941364948438862,-0.09768544963876048,-0.03109050242209524,-0.008622629560059906,0.0523104548385083,0.23873754820469836,0.09723212820893876,-0.11059873977292954,-0.01582863433866819,-0.25030023951859454,0.07794401414123044,0.09513731918699768,0.20746090596417036,0.24923855873641781,0.08347957634792237,0.043531072677957895,-0.04983106635635145,0.2271890755579517,0.03808361700109159,0.20456786634294954,0.09126285307289876,-0.0679642167482279,0.17665467380427527,0.34526160524279553,0.11643142181003861,-0.15331339270083655,-0.1134421827259375,0.1446694915229804,0.055878940053752726,0.022729081076927695,0.011031153796804503,-0.09831644229906908,-0.00528759397218894,0.05197595878402906,0.029354273501261553,0.1737759389076313,0.13738985316256794,-0.14532714715286382,-0.10613237148770024,-0.10410266183918725,0.09716043617203828,-0.0797164154266754,0.14603415337363373,-0.17673049575839103,0.02030325502588392,0.08309983662939908,0.0781973221235907,0.07590626262174681
