,Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10,Latent_11,Latent_12,Latent_13,Latent_14,Latent_15,Latent_16,Latent_17,Latent_18,Latent_19,Latent_20,Latent_21,Latent_22,Latent_23,Latent_24,Latent_25,Latent_26,Latent_27,Latent_28,Latent_29,Latent_30,Latent_31,Latent_32,Latent_33,Latent_34,Latent_35,Latent_36,Latent_37,Latent_38,Latent_39,Latent_40,Latent_41,Latent_42,Latent_43,Latent_44,Latent_45,Latent_46,Latent_47,Latent_48,Latent_49,Latent_50
CopyNumberAttenuation,-0.024598401023601613,-0.04214027228191242,-0.07813394753544801,0.03582007305608132,-0.01066481114406138,-0.15560177929785587,0.15883360602695515,-0.06844042759620761,0.16903932222928308,-0.02734651407840485,0.1413961502594667,0.0661232047293299,0.01992373905593303,0.005417420909561368,0.03748260716002017,-0.03732481937421612,0.0050760468530114825,0.0942039170346419,-0.13077370906331529,-0.0251722521421419,-0.03365197258661905,0.1530873215234763,0.14043240534309545,-0.004576520356983871,-0.17710935642634495,0.03535410812611259,-0.17632005011553917,-0.031789771093401586,0.17777589119216272,-0.0857234704911007,0.020704700295588078,-0.204606504536032,0.012784236107058727,0.055015526600404124,-0.029626989196752353,-0.04556809295592468,-0.11017048614690422,0.05141890042706109,0.12091474770643276,-0.038916784487874126,0.2208250725331686,0.11256703800841353,-0.03206956781710469,-0.06312386692955903,0.07354345278450987,-0.06599005370112249,-0.003644213184489202,-0.12146827004146107,0.05566226528801913,0.012562583996496306
GeneExpressionCorrelation,-0.09431483973252089,-0.013096741782130984,0.059792261829329584,-0.03599559219023506,0.03977109583402184,0.10169097199737626,-0.08012472294014511,0.15528277551476485,-0.22776523791759792,-0.03902750597785497,-0.13241848320558147,-0.04693674584250399,-0.03020164233512064,0.21634306600491754,-0.024685691723215733,0.06499297244163704,-0.1419965299910844,-0.11542049556144063,0.007723643404903985,-0.0036403551887535896,0.10155552697832777,-0.22208746362759657,-0.22989665998923506,-0.0313923073602922,0.2527741660384379,0.009290705114040844,0.24082608189286414,0.11547248424783241,-0.15357119421508617,0.0887339312519434,-0.05419910142566894,0.07426611688751486,0.024290723825670112,-0.04328347479715153,0.038468739646114136,-0.07470546405963271,0.015635632956833206,0.020637684087337897,-0.16573863556603494,0.06231483785796846,-0.2517973955227814,-0.11411670459905636,0.02980761599822383,0.1693777324993892,-0.05811580412455992,0.061264156761288685,-0.0009405643881067547,0.28088115104923567,-0.012211416213167724,0.12090984676544554
CopyNumberInstability,-0.01606687956206929,0.06112070705226086,-0.20203051053352403,0.15847442454887106,-0.015368513328031803,-0.2736685789888261,0.2497596165107576,-0.10034290516551624,0.2395446942589005,0.0033679216722541545,0.05791380383412786,0.1552930831055283,-0.0282772954580023,-0.08488287437067812,0.05935018541093873,-0.024606009062632512,0.06094789375275026,0.0708892256082022,-0.15393084245345828,-0.025799767789449667,-0.09983217797656765,0.2571453092547468,0.18719411686797488,-0.10001261946567634,-0.2746792178462844,0.0016677449012862345,-0.2688749716794062,-0.18029258281008348,0.2792808752199271,-0.19060899582101354,-0.1112249554663924,-0.2937330820622127,-0.01217653357698393,0.0580083882310625,-0.0069286274115622935,-0.08847580000903427,-0.20669781068170504,-0.05625459483545745,0.23092695418245582,0.12609321260805126,0.295966715250271,0.15296876010591295,-0.0931629106752578,-0.14205049763484529,0.21296026957429554,-0.20229012184125492,0.08305568903459301,-0.07438504832395133,-0.035563558097241925,0.0354687869759252
ploidy,-0.030465811634361857,0.02408623391401918,-0.08097175371309333,0.08755928383475846,0.002334716377428976,-0.11551359065463458,0.0930709677564629,-0.0026172210646560235,0.07101021728839217,0.002862813901031793,-0.03612732541273131,0.05743269082703133,0.009010303354449604,-0.06519373896254417,0.041444670057884006,-0.008438071898389778,-0.003926966486060428,0.026050411805568982,-0.09058258158994714,-0.04255857547842869,-0.03805681316079776,0.14687201540452346,0.06052165918052564,-0.10747934607959468,-0.07263044540970459,-0.01798658503436212,-0.10246616495869677,-0.090091238817308,0.11005211829408768,-0.07337825939989652,-0.10797740052597604,-0.13611272103783745,-0.016129411690639524,-0.014020065177441443,-0.026563490324182107,-0.06032245893379202,-0.11877285767873735,-0.055685098628332125,0.05185446443234077,0.06944942939938915,0.12064720957805983,0.05253635844690215,-0.04414934443281256,-0.09794052265293937,0.05548605648753335,-0.125915984355792,0.014468726413859016,-0.03096953070613623,0.017317851946650153,0.007460265823100977
mutational_burden,0.14895399979047003,-0.0519616376149702,-0.02319490319607857,-0.03414435647300803,0.1033388441172221,0.06684223526508014,0.021386173972157668,-0.066316812112481,-0.0243628007515959,-0.06952104488582288,0.015658833037749915,-0.12543923914356417,0.018281186291121944,0.04435480807998594,-0.055255351947641695,0.034331073182019715,-0.049924690926665724,0.057299802648006194,0.08073990995051072,-0.011558378970603564,-0.03573556550763202,0.013274696349945585,-0.021962244800869276,0.0751398894890214,0.037526062851027504,0.061443263447913045,-0.12140927364693596,0.014476947093076335,-0.03127974396131438,0.09762435521473341,0.04062054380133674,0.08672792045344818,-0.0936457917238314,0.024167603920194493,-0.0488049956620296,0.007066185865300647,0.028142181731108565,0.04976369918057378,-0.06177536652301111,-0.038924255786390645,-0.038649920090733265,0.04737736367970699,-0.011213586079825857,-0.07379191009492247,-0.09200363585075497,0.03844509180661268,-0.08881681668899022,-0.10646805732227867,-0.046482310963718014,-0.013217526171852281
growth,-0.23391703065085998,-0.15249642729724805,0.21105214044723725,-0.11077098690447365,0.13875657024291443,0.06446222629968061,-0.0667610105090823,0.1960701093492031,-0.15360751371203868,0.0728024258257694,0.10803698613557916,-0.05644650517416386,0.09697488306899499,0.25026415929737295,0.1609367056535801,0.04963954469800845,-0.14668865415468912,-0.027818838295881082,-0.10548701226451301,-0.109209605165676,0.11418889426668169,-0.2294104722868605,-0.11169030782074713,0.10111827033719915,0.12376579031686057,0.04480585621690435,0.29525284023937987,0.26503873981641096,-0.0709600841966412,0.07393604258312719,0.11776409239422256,0.0023848793707419835,0.1305439178565389,0.01769501499807465,-0.16229695712447587,0.10525335207249424,0.12412390214316454,0.1577215221465269,-0.21111230145488913,-0.21979227514843525,-0.08712617981136891,-0.25099328321073555,0.2275184371041834,0.250773969388662,-0.21582134682871493,0.2313488109096229,-0.06966595428732567,-0.003749980128006614,0.18829168364096324,0.12595021528113287
size,-0.17289989910582906,0.15275118703182217,-0.1634001768118448,0.02779036512610012,-0.11660202164432412,-0.40201789318809344,0.23206542614972048,0.10036020752653743,0.2749117315416408,-0.022802480065629245,-0.04446469252369205,0.3028642306038023,-0.021061474376320038,-0.15586626434221132,0.08534837914057378,-0.0006433030905252431,0.069265686332927,-0.03683033176861563,-0.1449902881478408,0.045294730451216354,-0.009061184769512854,0.21201843262762832,0.12278184356678384,-0.12067878123856408,-0.22769373558702002,-0.024868380761464384,-0.09770026022979114,-0.20659244778322805,0.24651027092142783,-0.23293108953266364,-0.12410300136000538,-0.407036246763935,0.1173437769166369,0.04172901926501765,-0.022363111138680485,-0.017913513051372863,-0.24464297007578065,-0.1060360253096184,0.1968440070136189,0.24368049455293267,0.26000157164028187,0.03211568079430962,0.0380762132593053,-0.0330861832456438,0.303335409845166,-0.11854929024905882,0.004649096659226472,0.057682810810543564,-0.029065182207010747,-0.016641011501253883
RepsCorrelation,0.07649285540633845,-0.04895151944078153,0.06128893632807044,0.012278453973992347,0.02060205649078609,0.16625702344280188,-0.0992313568445969,-0.03849836950341689,-0.08582692197524991,0.04111004154267936,0.0028351134018687564,-0.09949644553760673,0.021452499201993436,0.04053839071825344,-0.050557022251512776,0.056769210611954536,-0.04843886960767188,-0.039065526593902215,0.15133043949910313,-0.04684943614101942,0.04427811146557154,-0.0953915656670752,-0.07504073045809752,0.045286529179449427,0.09210691913766507,0.01621448301287826,0.009106886214903456,0.04098238027371299,-0.11788689354782687,0.12693981960107084,-0.01293356423347001,0.1731302716420406,-0.05560556023953379,-0.029847879362222163,0.021567965101257476,0.050104241835695514,0.13330618340217218,0.02511498921913915,-0.05791235162841173,-0.029305014444657575,-0.12999421441662826,0.028171424481846286,-0.022386634473217586,0.04320695526273848,-0.037990120321422384,0.00808636286297938,0.026493783021936074,0.07774033702963722,-0.024129157190042202,-0.018675582628012388
CDH1_prot,-0.13204922538748878,-0.08478491237253936,-0.08294687220022602,0.03001059885370128,0.0680660883163724,-0.25782402022463397,0.4096346863423361,0.08976509368640938,0.03625609529472777,-0.17206294123783364,0.008727556729197393,0.13023738816094377,-0.04829347282770236,0.06393090452375955,0.06287335622656538,-0.12883568503653348,0.07827450192572041,0.059990130760974605,-0.15062420446301628,-0.20744634754790167,-0.1539483964623748,0.026843884557027423,0.08651991764943925,-0.03531681490983489,-0.08699622037064525,-0.08636923538875493,-0.09988236967236667,0.07334979002402454,0.11643064431781223,-0.11530930195868032,-0.02032669978217508,-0.3470066954858379,0.01812906985576854,0.1220392955022118,-0.08338546827545756,-0.15756657202915444,-0.06951371753602115,0.1353720968787638,-0.03215144686602518,-0.13248409974287517,0.33420452709274817,-0.14497724809622933,0.12518624029818304,-0.14422787525811098,-0.10944248479501865,-0.07798011816252082,-0.1259893387252923,-0.14317654513643333,0.07457885495977665,0.06879261802792196
VIM_prot,-0.3589243641181218,0.19627686908088682,0.05286127236245037,-0.09687134357574925,-0.1583875149331305,-0.23637710362637893,-0.16081153579038693,0.3572396190231361,0.07709251171936744,0.05905099735293565,-0.12418968699288427,0.2918092030212401,0.07652741470282642,-0.03599526002435769,0.06428041036786364,0.09898486276532618,0.007394203966796432,-0.17272703805036213,-0.10275651412957051,0.10014854692614528,0.27478752196727374,0.015985635149558527,-0.13528854496612008,-0.1729357449680656,0.0365118526726627,-0.13568251283949614,0.3091059016430368,-0.08737892689376316,0.057157616306822936,-0.18759387065442498,-0.0828358004575989,-0.17114377478602202,0.2535949841981482,-0.10326657655302397,0.03667059220721913,0.11145305075024567,-0.16004271873490794,-0.22913111249022974,0.07782646327015715,0.31032888025859756,-0.11155216544209684,-0.07538152977968932,0.1683246745154929,0.3125142189088101,0.2807638372369536,-0.007292670669615847,-0.026996883943387687,0.3498581382949684,0.03987126693055777,-0.03273669107559532
