total,reconstruction,gaussian,categorical,kl_divergence,cv,epoch,type
17.90796661376953,5.153648376464844,4.617916584014893,1.2064573764801025,6.929944038391113,1,1,train
17.48196792602539,4.615034103393555,3.0341274738311768,1.205214500427246,8.627592086791992,1,1,train
14.509376525878906,4.4464216232299805,2.1260757446289062,1.2063255310058594,6.73055362701416,1,1,train
14.895744323730469,4.486914157867432,3.5204102993011475,1.2075287103652954,5.6808905601501465,1,1,train
12.382555961608887,4.418736457824707,1.891643762588501,1.2097574472427368,4.862418174743652,1,1,train
11.94560432434082,4.507899284362793,2.050778865814209,1.213058590888977,4.1738667488098145,1,1,train
11.071207046508789,4.169312477111816,1.6894079446792603,1.2168049812316895,3.9956817626953125,1,1,train
10.267435073852539,4.287201404571533,0.8586927056312561,1.2204859256744385,3.901055097579956,1,1,train
10.025546073913574,4.271854877471924,0.6149933338165283,1.2280620336532593,3.9106361865997314,1,1,train
9.842690467834473,4.190880298614502,0.39140477776527405,1.2311296463012695,4.029275894165039,1,1,train
9.449070930480957,4.329422473907471,0.10205885767936707,1.231002926826477,3.7865874767303467,1,1,train
9.296628952026367,4.143304824829102,0.41076451539993286,1.22916841506958,3.5133919715881348,1,1,train
8.878085136413574,4.285999298095703,0.18289639055728912,1.226511836051941,3.1826770305633545,1,1,val
9.113454818725586,4.22145938873291,0.3580055236816406,1.2282472848892212,3.305742025375366,1,2,train
9.19594955444336,4.438496112823486,0.061852097511291504,1.2264667749404907,3.469134569168091,1,2,train
8.606470108032227,4.0674591064453125,0.046909380704164505,1.227332592010498,3.2647690773010254,1,2,train
8.48808479309082,3.92948055267334,0.02815885655581951,1.2237269878387451,3.306718587875366,1,2,train
8.602827072143555,4.103503704071045,0.25521498918533325,1.222647786140442,3.02146053314209,1,2,train
8.264914512634277,4.106657981872559,0.05785572901368141,1.2200288772583008,2.8803720474243164,1,2,train
8.799246788024902,4.321674823760986,0.0,1.2174129486083984,3.2601592540740967,1,2,train
8.041502952575684,4.172462463378906,0.0,1.214493751525879,2.6545464992523193,1,2,train
8.500080108642578,4.135777950286865,0.04523983225226402,1.214599609375,3.1044623851776123,1,2,train
7.899423122406006,4.018520355224609,0.06510355323553085,1.2121186256408691,2.6036808490753174,1,2,train
8.207236289978027,4.274621963500977,0.022913647815585136,1.2103078365325928,2.699392795562744,1,2,train
7.781383037567139,4.0887274742126465,0.0,1.2091706991195679,2.483484983444214,1,2,train
7.008933067321777,4.139163494110107,0.01704915426671505,1.2073465585708618,1.6453737020492554,1,2,val
7.570964813232422,3.9881861209869385,0.0,1.207587718963623,2.3751909732818604,1,3,train
7.486964225769043,4.192968368530273,0.01800096221268177,1.2071077823638916,2.068887233734131,1,3,train
7.378288269042969,4.03572940826416,0.0,1.2068547010421753,2.1357038021087646,1,3,train
7.4179368019104,4.078795433044434,0.0,1.2060993909835815,2.1330418586730957,1,3,train
7.406593322753906,4.010416030883789,0.0,1.2057825326919556,2.190394878387451,1,3,train
7.408132553100586,4.0911054611206055,0.06572089344263077,1.2052066326141357,2.0460994243621826,1,3,train
