total,reconstruction,kl,mse_proteomics,mse_metabolomics,mse_drugresponse,mse_crisprcas9,mse_methylation,mse_transcriptomics,mse_copynumber,cv,epoch,type,lr
6.4733476638793945,6.465238094329834,0.008109544403851032,1.0306980609893799,1.0753706693649292,0.9585328698158264,1.0320709943771362,1.0460172891616821,0.9875057339668274,0.33504241704940796,1,1,train,0.0004
6.315669536590576,6.308806896209717,0.006862617563456297,0.9743422865867615,0.9656919240951538,1.05221688747406,1.0553070306777954,0.8902571797370911,1.0220351219177246,0.3489566147327423,1,1,train,0.0004
6.448841571807861,6.442972183227539,0.005869587883353233,1.0278202295303345,1.0537759065628052,1.0236780643463135,0.9945513010025024,0.9789451956748962,1.01558518409729,0.34861645102500916,1,1,train,0.0004
6.070436000823975,6.065223217010498,0.005212618503719568,1.0145095586776733,0.9939902424812317,0.9375838041305542,0.9155582189559937,0.8814659714698792,0.9834853410720825,0.3386300504207611,1,1,train,0.0004
6.410176753997803,6.398094177246094,0.012082553468644619,1.0479029417037964,1.0544275045394897,0.9617406129837036,1.0635042190551758,0.9520878195762634,0.9726284146308899,0.3458022177219391,1,1,train,0.0004
6.1535325050354,6.138808250427246,0.014724231325089931,0.9788541793823242,0.9173368811607361,0.9831741452217102,1.0642662048339844,0.9306670427322388,0.9385982155799866,0.3259114623069763,1,1,train,0.0004
5.9539642333984375,5.917802810668945,0.03616134077310562,0.922721266746521,1.0072050094604492,1.05086088180542,0.9271374940872192,0.7883743047714233,0.8704001307487488,0.3511035442352295,1,1,train,0.0004
5.931220531463623,5.903104305267334,0.02811628393828869,0.8641639351844788,0.9295783042907715,0.935817539691925,1.132811188697815,0.8035147190093994,0.8775577545166016,0.35966044664382935,1,1,train,0.0004
5.710077285766602,5.67789363861084,0.032183825969696045,0.8975210785865784,0.9804617166519165,0.9985558390617371,0.8933997750282288,0.7068922519683838,0.8503923416137695,0.3506706953048706,1,1,train,0.0004
6.040921211242676,6.011145114898682,0.029776090756058693,0.8876680731773376,1.0717490911483765,0.9755938649177551,1.0486756563186646,0.7711792588233948,0.9057610034942627,0.35051867365837097,1,1,train,0.0004
5.766821384429932,5.72321081161499,0.04361076280474663,0.7986272573471069,0.9527766108512878,0.8338422775268555,1.0408262014389038,0.77447909116745,0.968468189239502,0.35419145226478577,1,1,train,0.0004
5.655549049377441,5.626431465148926,0.029117580503225327,0.8448740839958191,0.9953030943870544,0.9827987551689148,0.9367591142654419,0.7171211242675781,0.8215033411979675,0.32807183265686035,1,1,val,0.0004
5.564646244049072,5.533481597900391,0.031164873391389847,0.8420695662498474,0.9263470768928528,1.0436344146728516,0.9073569774627686,0.689194917678833,0.7983378767967224,0.3265409767627716,1,1,val,0.0004
5.672542572021484,5.644798278808594,0.02774435095489025,0.80765300989151,0.9826942682266235,0.9184240102767944,1.0921411514282227,0.7140432000160217,0.8115397691726685,0.3183031380176544,1,1,val,0.0004
5.714197158813477,5.682693004608154,0.03150409832596779,0.8381441235542297,1.0901079177856445,0.937150239944458,0.8986817002296448,0.7574363350868225,0.8317872881889343,0.32938581705093384,1,1,val,0.0004
5.79034423828125,5.762510776519775,0.027833672240376472,0.8346682190895081,0.9026485085487366,1.0380001068115234,1.0646103620529175,0.6937925815582275,0.8895928263664246,0.33919814229011536,1,1,val,0.0004
6.018100738525391,6.000886917114258,0.01721377670764923,0.8369243741035461,1.2469059228897095,1.0431766510009766,1.1609106063842773,0.6231358051300049,0.6948961615562439,0.39493727684020996,1,1,val,0.0004
5.730015277862549,5.6998796463012695,0.030135493725538254,0.826050877571106,1.0701600313186646,1.0076078176498413,0.9422337412834167,0.6852701902389526,0.8438058495521545,0.32475152611732483,1,2,train,0.0004
5.673953533172607,5.640172481536865,0.033780988305807114,0.8250395655632019,0.9469856023788452,0.9759984016418457,1.0377691984176636,0.7039005756378174,0.8200662136077881,0.3304123282432556,1,2,train,0.0004
5.383064270019531,5.352748870849609,0.030315615236759186,0.8053460121154785,0.8908174633979797,0.9256519079208374,0.9620332717895508,0.6759751439094543,0.7983343005180359,0.29459095001220703,1,2,train,0.0004
5.413418292999268,5.384122848510742,0.02929544448852539,0.7739137411117554,1.0573899745941162,0.8500483632087708,0.9036229252815247,0.6834397315979004,0.7855392694473267,0.33016934990882874,1,2,train,0.0004
5.691352367401123,5.655649185180664,0.03570326045155525,0.8326670527458191,0.9931269288063049,0.9607024192810059,0.9991939067840576,0.6889005303382874,0.8143901824951172,0.36666813492774963,1,2,train,0.0004
5.491172790527344,5.4657111167907715,0.025461610406637192,0.772027313709259,1.042154312133789,0.8874821662902832,0.9505634307861328,0.6616042852401733,0.8217639923095703,0.3301157057285309,1,2,train,0.0004
5.449978351593018,5.421758651733398,0.02821982651948929,0.7555898427963257,0.9745081067085266,0.834855318069458,1.04135262966156,0.7126801013946533,0.7880210876464844,0.3147514760494232,1,2,train,0.0004
5.4701056480407715,5.44028377532959,0.029821719974279404,0.785841703414917,1.0167535543441772,0.8741305470466614,0.9466387033462524,0.6820865869522095,0.8344534039497375,0.3003794848918915,1,2,train,0.0004
5.411411285400391,5.383651256561279,0.0277598537504673,0.7882964611053467,0.8897013068199158,0.8954150676727295,0.982582151889801,0.7085659503936768,0.7967672348022461,0.32232338190078735,1,2,train,0.0004
5.338405132293701,5.307713985443115,0.03069109097123146,0.7798269987106323,0.9429908394813538,0.9708948135375977,0.961444616317749,0.5896604657173157,0.7506453394889832,0.31225112080574036,1,2,train,0.0004
