,PCA_1,PCA_2,tissue,PCA_1_centroid,PCA_2_centroid,distance_to_centroid,model
0,1.1570561620348345,0.5377886598967981,Kidney,-2.147746423402377,-0.9854848672248252,3.638967211605791,mofa
1,1.7337448930050332,-1.644937778186096,Kidney,-2.147746423402377,-0.9854848672248252,3.9371122642263354,mofa
2,1.3754833911569793,1.6420449613714867,Kidney,-2.147746423402377,-0.9854848672248252,4.395117896753547,mofa
3,2.096915626579855,0.28365027904824064,Kidney,-2.147746423402377,-0.9854848672248252,4.430334066192404,mofa
4,1.7863182717327055,10.63489503090049,Kidney,-2.147746423402377,-0.9854848672248252,12.268255540306583,mofa
5,-3.2599669967241507,-0.6220038615585199,Kidney,-2.147746423402377,-0.9854848672248252,1.1701081339775414,mofa
6,1.8017426974216704,-0.7158532941059386,Kidney,-2.147746423402377,-0.9854848672248252,3.9586822934822736,mofa
7,1.2091758697293216,-4.866441523112312,Kidney,-2.147746423402377,-0.9854848672248252,5.131349904947232,mofa
8,1.5740993607502776,-2.2064705074617152,Kidney,-2.147746423402377,-0.9854848672248252,3.9170067621437132,mofa
9,1.6686601654522994,-0.9936370122950728,Kidney,-2.147746423402377,-0.9854848672248252,3.816415295656728,mofa
10,2.2122424215756866,-2.452668396758681,Kidney,-2.147746423402377,-0.9854848672248252,4.600231541745326,mofa
11,1.474635199909028,-14.819658768426237,Kidney,-2.147746423402377,-0.9854848672248252,14.30055999440534,mofa
12,1.7355279902907104,-0.655641737248696,Kidney,-2.147746423402377,-0.9854848672248252,3.8972575822539417,mofa
13,1.640654037798788,-0.04806159945747974,Kidney,-2.147746423402377,-0.9854848672248252,3.9026581245839105,mofa
14,1.7874133025744292,-0.9850359381728789,Kidney,-2.147746423402377,-0.9854848672248252,3.9351597515840635,mofa
15,1.35479201559422,-7.848948485523583,Kidney,-2.147746423402377,-0.9854848672248252,7.70551155708428,mofa
16,0.46408106110870767,-2.792298477852626,Kidney,-2.147746423402377,-0.9854848672248252,3.1758807018522233,mofa
17,1.1157944447908617,-0.9184073310339425,Kidney,-2.147746423402377,-0.9854848672248252,3.2642301380614875,mofa
18,1.4137755084802723,-2.828988277975905,Kidney,-2.147746423402377,-0.9854848672248252,4.010354510106554,mofa
19,2.0352604461618986,-3.944146897893636,Kidney,-2.147746423402377,-0.9854848672248252,5.123595171609796,mofa
20,2.0812677897180554,-11.26192845644152,Kidney,-2.147746423402377,-0.9854848672248252,11.112598888519623,mofa
21,0.6811169228585205,-7.489248319914177,Kidney,-2.147746423402377,-0.9854848672248252,7.092348474261267,mofa
22,0.35128003489042503,8.91332158928533,Kidney,-2.147746423402377,-0.9854848672248252,10.209383061806163,mofa
23,2.0603314087297533,0.3141458164637588,Kidney,-2.147746423402377,-0.9854848672248252,4.404197878759162,mofa
24,1.5854640171752994,1.6208166757845859,Kidney,-2.147746423402377,-0.9854848672248252,4.552984507631385,mofa
25,1.1734084365712592,-3.5294091743864358,Kidney,-2.147746423402377,-0.9854848672248252,4.183493813129664,mofa
26,1.7397719217486656,-0.2341649303766459,Kidney,-2.147746423402377,-0.9854848672248252,3.9594545749877534,mofa
27,-0.4280708473689265,-0.49134996112889096,Kidney,-2.147746423402377,-0.9854848672248252,1.7892605713613703,mofa
28,-0.1598304952949726,-0.8740916167213287,Kidney,-2.147746423402377,-0.9854848672248252,1.9910344531124664,mofa
29,0.32425921786945866,-0.08341115173807803,Kidney,-2.147746423402377,-0.9854848672248252,2.6314537576502923,mofa
30,1.1915637163071218,6.299767994939909,Kidney,-2.147746423402377,-0.9854848672248252,8.014106405261046,mofa
31,1.8111730024225303,4.320837823432313,Kidney,-2.147746423402377,-0.9854848672248252,6.62043076525664,mofa
32,2.00456280773147,1.1383492381168736,Kidney,-2.147746423402377,-0.9854848672248252,4.663940743402722,mofa
33,-16.156132833352654,-1.10871261354265,Kidney,-2.147746423402377,-0.9854848672248252,14.008928398986917,mofa
34,-10.09214636869483,-0.15526268805226717,Kidney,-2.147746423402377,-0.9854848672248252,7.987662947167511,mofa
35,-3.4989018569313477,-0.8519695581759605,Kidney,-2.147746423402377,-0.9854848672248252,1.357736109597618,mofa
36,-14.967091402739078,0.0019686803562458475,Kidney,-2.147746423402377,-0.9854848672248252,12.857319713216887,mofa
37,-6.028259576504319,-0.3591609746959635,Kidney,-2.147746423402377,-0.9854848672248252,3.9307332585345556,mofa
38,-31.44460332457141,0.2479428381944517,Kidney,-2.147746423402377,-0.9854848672248252,29.322809691297856,mofa
39,-15.371855360796038,0.8315503225954429,Kidney,-2.147746423402377,-0.9854848672248252,13.34835847844596,mofa
40,-27.961821056581652,-1.7395629215926185,Kidney,-2.147746423402377,-0.9854848672248252,25.825086309234838,mofa
41,11.738476505516171,-0.9927471903711403,Kidney,-2.147746423402377,-0.9854848672248252,13.88622482797109,mofa
42,-1.2041241861405971,-0.8044162041492855,Kidney,-2.147746423402377,-0.9854848672248252,0.960837544750875,mofa
43,14.612365834898846,-1.0928864797448565,Kidney,-2.147746423402377,-0.9854848672248252,16.760456378548614,mofa
44,-18.97743599515814,-1.1162361636478668,Kidney,-2.147746423402377,-0.9854848672248252,16.830197473089285,mofa
45,0.6373352563333052,-2.646539501766614,Kidney,-2.147746423402377,-0.9854848672248252,3.2428047214921962,mofa
46,13.442354261170614,-1.4535874872704295,Kidney,-2.147746423402377,-0.9854848672248252,15.597126639801859,mofa
47,-27.926946438065613,-0.02502625161069581,Kidney,-2.147746423402377,-0.9854848672248252,25.797085768518897,mofa
