feature,importance
CIRBP,0.5652432654194139
WDR5,0.5651903851986811
ELAC2,0.5647017047851798
RNF2,0.5645937417371992
MTHFD1L,0.5644438859810194
RAVER1,0.5644300054572743
SUPT5H,0.5639719532179642
IMMT,0.5631282759479096
CDC42,0.5630678186862172
DLST,0.5630028027728359
ABI1,0.5629717454869395
FXR2,0.5629457749778485
HLA-A,0.5627994517006558
SCCPDH,0.5624856338568593
ARPC4,0.56228550434442
HNRNPA3,0.5622600606225792
DIS3,0.5619819294756702
MCCC2,0.5619786086631969
NAMPT,0.5619289715182687
DDX24,0.5618727975292078
DNASE2,0.5617627465588747
KPNA6,0.5614372168967039
GOLPH3,0.5611164185207773
RHOA,0.5604959373592894
OSBPL8,0.56034460205648
ZC3H14,0.5601248150660446
EIF6,0.5597122992586407
SLC25A5,0.5594823833734388
UBE4A,0.5592640652090903
SCAF11,0.5589093172030373
DDX23,0.5587756340926165
NAXE,0.5582838894989179
PRDX4,0.5582081968639652
PML,0.5577443160747556
PEX14,0.5572835625223194
STRBP,0.5571462566625114
BAG2,0.557072568306874
BZW2,0.5561810166628166
GLYR1,0.5560272468478178
NDUFAB1,0.5556493225686183
TARS2,0.5556011556932281
OCIAD1,0.5554787669862071
PSPC1,0.555149359631552
H1-10,0.5550179245889354
COPG2,0.5549186005242293
SACM1L,0.5545748638600884
SRSF6,0.5545315102323698
FAHD2A,0.5539801522947072
ACOT7,0.5538956472579419
NUMA1,0.5534158834765773
THOC6,0.5532730495869785
ZC3H18,0.553209997586177
CRYZ,0.5530489586391798
TIMM9,0.5524582543739458
TMEM43,0.5523486323437669
ABHD11,0.5523329214853754
GRHPR,0.5519957500949341
HAX1,0.5519452463109624
SMARCA5,0.5514746966817655
M6PR,0.5514690900982394
FDFT1,0.5509771762067524
HNRNPDL,0.5509346292036449
IPO5,0.5507509287006912
HSDL2,0.550722798741108
NAPA,0.5505431908606037
GATAD2A,0.5505258635561787
RMDN1,0.5501565163094781
SPCS2,0.550057368639222
MECP2,0.5499253555143842
PDIA3,0.5498982290709916
SELENOH,0.5493723672706831
SCRIB,0.5492692049798249
H1-0,0.5490551890970476
CNN2,0.5488894400114604
ATP1B3,0.5487538364016807
NSDHL,0.5487361855619659
ADNP,0.5486417518982737
DDX17,0.5485127342386094
PDIA5,0.5484821784215023
RAB35,0.5484730931545012
ABHD12,0.548366869916877
PRKAR1A,0.5481743185217769
RPRD2,0.5480183549909943
PCK2,0.5479113766354913
SDHA,0.547862679617053
NDUFA6,0.5477084194292782
LSS,0.5476224736637664
ACAD9,0.5471259669397565
SF3B4,0.5470500450935232
KPNA2,0.5469799779982198
GNA13,0.5458907748082442
COIL,0.5458888554085077
SEC63,0.5457488452186355
ATP13A1,0.5457437940578206
BNIP1,0.5457182769790128
RHOT2,0.5456619354135277
HNRNPH1,0.5456515323749757
LAP3,0.5452418656819376
USP39,0.5451884036263227
MRE11,0.5447520647112487
AP1G1,0.5445438303950725
ZC3H11A,0.5444121382104353
SNX3,0.5442234725920554
RHOG,0.5441990693787697
SNRPA,0.5440994120663608
SMARCC1,0.5438721114670197
ALDH1B1,0.5434678952660749
NCBP1,0.5433741297670049
ACOT13,0.5425877207482256
SND1,0.5425547879102631
NUP54,0.542385067996584
TOMM40,0.542336487963362
PDHX,0.5418392450964556
MACROH2A1,0.5413615611409677
QARS1,0.5412653138594241
CWC15,0.5412461079150583
IGF2BP2,0.5411587240605328
CPNE3,0.5410537457702499
AK2,0.5410305932213804
DTD1,0.5405435643698944
SF3B1,0.5397383529646719
PMVK,0.5394876495832848
TPR,0.5392918265563377
SUN2,0.5392779592893939
PYCR2,0.5391336988858665
CPSF1,0.5382033947159071
BCAP31,0.5379927208859967
ADD1,0.5378565209446551
DDX50,0.5376981787440591
CHP1,0.5374579221321918
TRMT10C,0.5371271562298464
VCP,0.537052646182654
NDRG3,0.5370304919426183
INF2,0.5369963333161728
RRP9,0.5369184672017201
PSMB5,0.5368883859199037
GRPEL1,0.5368559984100795
NPM1,0.5365901058565112
FLOT2,0.5365697281394453
RBM17,0.5365510528396313
MRPS31,0.5361177193264102
NDUFA4,0.5359787469092486
AUP1,0.5359653069440985
BSG,0.5359245002024727
NIPSNAP2,0.5357233117437482
EMD,0.5356532489694084
SF3B3,0.5351935873107967
NUCB2,0.5350230787654777
SUGP2,0.5349516904655848
PPIF,0.5349329321226391
ISCA2,0.5344223297690119
IDH3G,0.534315743669374
LMNB2,0.534302357370715
PSAT1,0.5343012262767187
ACTN4,0.5342146850644884
IARS2,0.5337803021071521
PWP1,0.5334277391980474
PNKP,0.5330517071482505
ILVBL,0.532724444058945
AGK,0.5325855929104161
RTCA,0.532389056887716
PDE12,0.5323729034582642
PPA2,0.532253553721548
ATL3,0.5321650437847998
ATAD3B,0.5319282079698783
ALG5,0.5316362800614329
ALDH9A1,0.5315904468084613
THOC3,0.531529091665473
MAN2B1,0.5312486995600845
PHIP,0.5311458813468949
PRPF6,0.5309167167403513
PICALM,0.5309050424302746
IDH3B,0.530857404375722
RAB14,0.5306173274381915
PITRM1,0.5305248519079487
PHB2,0.5304243954339587
PAIP1,0.5303416042660901
POLDIP3,0.5300642524141645
PPP1R12A,0.5296644236708626
CCDC47,0.5296117942351021
CHTOP,0.5294508606009766
MCCC1,0.529193588248561
CBX3,0.5290870606427036
SNX27,0.5290195667655424
AP2A1,0.5289990894353247
MAD1L1,0.5288379698606842
DARS2,0.5288101608600932
TRIM28,0.5285380288561906
KRI1,0.5283894130067602
GNB1,0.5281191953517862
SFPQ,0.5281102704338482
RPL36AL,0.5280084673538498
PRPF38A,0.5276425795516227
ARPC3,0.5273072038612586
RBM10,0.527273331804425
SRPRB,0.5272627940657777
LUZP1,0.5270972716209942
HSD17B12,0.5270824178140199
PRPF4,0.5270398313143206
VIM,0.5268745930363394
CUX1,0.5267326808019092
DDX39A,0.5263581937452197
PRKCSH,0.5260899012287827
MIPEP,0.5258336894116713
MRTO4,0.5257946722733657
TMEM30A,0.5256908776853836
EMC8,0.5256611011042572
EHD1,0.5253679033709674
CNP,0.5248930681334467
PYCR1,0.5248497955329064
YME1L1,0.5247560785147513
RBM26,0.5245279533410956
RIF1,0.5245100818590666
MARS1,0.5244480933556788
MRPL1,0.5243462969898404
YKT6,0.524324423758699
SYNJ2BP,0.5242012611195623
RBM12B,0.5240723557024825
DHX8,0.5239585569124279
SRRM2,0.5237899756527354
CTNNBL1,0.5237545851698663
LARP4,0.5235653308340592
BYSL,0.5227611521635936
NIT1,0.5225901858621876
HSPA5,0.5221499644148315
PCM1,0.5220091581730985
METAP1,0.5219863757738712
RBBP7,0.5216055791996582
LYRM7,0.5215054417126391
FAM162A,0.5214165550121724
NDUFA8,0.5210979961293204
HLA-C,0.520891385747788
DHX30,0.5204573518341581
