total,mse,kl,covariate,label,mse_proteomics,mse_metabolomics,mse_drugresponse,mse_crisprcas9,kl_proteomics,kl_metabolomics,kl_drugresponse,kl_crisprcas9,cv,epoch,type
5.200345516204834,5.198202133178711,0.002143471036106348,0.0,0.0,1.2651007175445557,1.2869166135787964,1.3587297201156616,1.2874553203582764,0.4140058755874634,0.3906128704547882,0.38497623801231384,0.4608777165412903,1,1,train
5.091918468475342,5.089850425720215,0.0020681479945778847,0.0,0.0,1.2622567415237427,1.3602341413497925,1.2564606666564941,1.2108991146087646,0.412139892578125,0.4142390787601471,0.3595530688762665,0.4065419137477875,1,1,train
4.810980796813965,4.808855056762695,0.0021256296895444393,0.0,0.0,1.2011371850967407,1.2289799451828003,1.1270031929016113,1.2517346143722534,0.4343167841434479,0.40156272053718567,0.3974669575691223,0.4033883213996887,1,1,train
5.069155693054199,5.067011833190918,0.00214372924529016,0.0,0.0,1.2379201650619507,1.2610172033309937,1.271310806274414,1.2967636585235596,0.40370598435401917,0.3941766321659088,0.45630785822868347,0.39648112654685974,1,1,train
5.282093048095703,5.280177116394043,0.0019159301882609725,0.0,0.0,1.2807995080947876,1.3624293804168701,1.3592849969863892,1.2776633501052856,0.38199806213378906,0.3866891860961914,0.3589027523994446,0.3476763069629669,1,1,train
5.001348972320557,4.99929666519165,0.002052177442237735,0.0,0.0,1.2780358791351318,1.2352826595306396,1.2491902112960815,1.2367876768112183,0.41517966985702515,0.3824242651462555,0.3933280110359192,0.3892444968223572,1,1,train
4.940981864929199,4.939033508300781,0.0019485558150336146,0.0,0.0,1.2512859106063843,1.1828819513320923,1.2905257940292358,1.2143399715423584,0.3430511951446533,0.434531033039093,0.35069283843040466,0.37211287021636963,1,1,train
4.819727897644043,4.817440509796143,0.0022874625865370035,0.0,0.0,1.2076363563537598,1.1810716390609741,1.2503125667572021,1.1784197092056274,0.3948024809360504,0.43456214666366577,0.5119825601577759,0.4199989438056946,1,1,train
5.157812118530273,5.155689716339111,0.002122449455782771,0.0,0.0,1.2505751848220825,1.391623616218567,1.2801964282989502,1.2332943677902222,0.3658844828605652,0.3606787621974945,0.4091651141643524,0.49855780601501465,1,1,train
5.014849662780762,5.012667179107666,0.0021822904236614704,0.0,0.0,1.2121860980987549,1.2968318462371826,1.2947542667388916,1.2088948488235474,0.4297585189342499,0.39486628770828247,0.41342276334762573,0.4423159658908844,1,1,train
4.952611446380615,4.9505486488342285,0.0020628096535801888,0.0,0.0,1.1995408535003662,1.291859745979309,1.2267255783081055,1.2324223518371582,0.3377222418785095,0.466720312833786,0.38548412919044495,0.3984367847442627,1,1,train
5.0670623779296875,5.064796447753906,0.0022660517133772373,0.0,0.0,1.284564733505249,1.2633494138717651,1.311868667602539,1.2050139904022217,0.4060315787792206,0.5273048281669617,0.37524956464767456,0.43627381324768066,1,1,train
4.006429195404053,4.004728317260742,0.0017007756978273392,0.0,0.0,0.9836156964302063,1.0221061706542969,0.981212854385376,1.0177935361862183,0.3439520597457886,0.31941327452659607,0.32399219274520874,0.3222397565841675,1,1,val
5.052342414855957,5.050185203552246,0.0021573787089437246,0.0,0.0,1.2916148900985718,1.2687485218048096,1.2758848667144775,1.2139370441436768,0.3969782888889313,0.3926244378089905,0.42004451155662537,0.4515344500541687,1,2,train
4.875609874725342,4.8736371994018555,0.001972511410713196,0.0,0.0,1.2157398462295532,1.3090425729751587,1.2270183563232422,1.1218366622924805,0.42534640431404114,0.33895641565322876,0.39271944761276245,0.3618115484714508,1,2,train
4.752286911010742,4.750205993652344,0.002080752281472087,0.0,0.0,1.188085675239563,1.2093455791473389,1.1956928968429565,1.1570813655853271,0.5137296915054321,0.37158676981925964,0.3542770743370056,0.36258572340011597,1,2,train
5.098111629486084,5.0959296226501465,0.0021819223184138536,0.0,0.0,1.154895544052124,1.3088440895080566,1.2596044540405273,1.3725855350494385,0.5487728714942932,0.35336655378341675,0.37857261300086975,0.3993681073188782,1,2,train
4.904908180236816,4.902462005615234,0.002446275670081377,0.0,0.0,1.2066290378570557,1.2697335481643677,1.2446292638778687,1.1814697980880737,0.4160597622394562,0.5271198153495789,0.5494139790534973,0.39103859663009644,1,2,train
4.756850719451904,4.754679203033447,0.002171505941078067,0.0,0.0,1.1532433032989502,1.2365177869796753,1.1730836629867554,1.1918344497680664,0.38984936475753784,0.3884457051753998,0.38895541429519653,0.5048092007637024,1,2,train
4.917656421661377,4.915644645690918,0.0020116691011935472,0.0,0.0,1.2144407033920288,1.237523078918457,1.2962528467178345,1.167427897453308,0.3355344831943512,0.4864208996295929,0.374805748462677,0.3522239625453949,1,2,train
4.970077991485596,4.968018054962158,0.0020598452538251877,0.0,0.0,1.211057186126709,1.2158901691436768,1.239403247833252,1.3016674518585205,0.4042041301727295,0.3949222266674042,0.42259764671325684,0.3643568456172943,1,2,train
4.9048237800598145,4.902676105499268,0.0021478368435055017,0.0,0.0,1.2020753622055054,1.202760100364685,1.2941865921020508,1.203654170036316,0.41466057300567627,0.5391465425491333,0.3525553047657013,0.34747201204299927,1,2,train
4.825795650482178,4.823337078094482,0.002458600327372551,0.0,0.0,1.2063051462173462,1.2438912391662598,1.227963924407959,1.1451770067214966,0.7603209018707275,0.3739608824253082,0.37534481287002563,0.38349559903144836,1,2,train
5.06715726852417,5.065107822418213,0.002049362985417247,0.0,0.0,1.2140969038009644,1.3689219951629639,1.2482472658157349,1.2338420152664185,0.3305046558380127,0.4199581444263458,0.4508744478225708,0.3766723573207855,1,2,train
