total,reconstruction,kl,contrastive,mse_proteomics,mse_metabolomics,mse_drugresponse,mse_crisprcas9,mse_methylation,mse_transcriptomics,cv,epoch,type,lr
7.579672336578369,6.518752098083496,0.016108708456158638,1.0448116064071655,1.0950225591659546,1.1400460004806519,1.0692024230957031,1.0810595750808716,1.0495580434799194,1.0838634967803955,1,1,train,0.001
8.398574829101562,7.002026081085205,0.4476659893989563,0.9488821029663086,1.1124080419540405,1.1679869890213013,1.10354483127594,1.296834111213684,1.1887731552124023,1.1324790716171265,1,1,train,0.001
11.575743675231934,9.689592361450195,0.40964949131011963,1.476501703262329,1.2338190078735352,0.9635594487190247,1.0228092670440674,2.4205451011657715,1.9768420457839966,2.0720176696777344,1,1,train,0.001
7.271453380584717,6.148612976074219,0.11011404544115067,1.0127261877059937,0.9935201406478882,1.0401320457458496,0.9333383440971375,1.0412299633026123,1.0939619541168213,1.0464307069778442,1,1,train,0.001
7.321453094482422,6.228846073150635,0.15011614561080933,0.9424908757209778,0.9726023077964783,1.022438645362854,1.0907928943634033,1.178747534751892,0.9714164137840271,0.9928484559059143,1,1,train,0.001
7.886922836303711,6.519464492797852,0.22474905848503113,1.1427090167999268,0.9290726780891418,1.0541757345199585,1.0773338079452515,1.1603901386260986,1.1711013317108154,1.127390742301941,1,1,train,0.001
7.157537460327148,6.247467041015625,0.1017611175775528,0.8083091974258423,0.9414815306663513,0.9743853807449341,1.0478906631469727,1.1520030498504639,1.1319082975387573,0.9997978210449219,1,1,train,0.001
7.369245529174805,6.033731460571289,0.10996788740158081,1.2255462408065796,1.0062249898910522,0.8948937654495239,0.9781332015991211,1.160428762435913,0.9462326765060425,1.0478184223175049,1,1,val,0.001
7.355140209197998,6.1713762283325195,0.1070866659283638,1.0766772031784058,0.9746438264846802,1.0174680948257446,0.9694856405258179,1.1917083263397217,0.9643096923828125,1.0537606477737427,1,1,val,0.001
7.4528703689575195,6.203642845153809,0.10778219997882843,1.1414450407028198,0.9473719000816345,0.9874244928359985,0.962975263595581,1.2449254989624023,0.9801473021507263,1.0807980298995972,1,1,val,0.001
6.90633487701416,5.977694034576416,0.08953806757926941,0.8391027450561523,1.0019125938415527,0.9884938597679138,0.8912379145622253,1.184123158454895,0.9249997735023499,0.9869267344474792,1,1,val,0.001
7.490981578826904,6.248974800109863,0.13476449251174927,1.1072419881820679,0.9139228463172913,0.9713567495346069,1.0541919469833374,1.306575059890747,0.9794977903366089,1.0234296321868896,1,2,train,0.001
6.787364959716797,5.8090739250183105,0.13443496823310852,0.8438560366630554,0.9056522846221924,1.0968103408813477,1.0307165384292603,1.0647104978561401,0.8430452942848206,0.8681387305259705,1,2,train,0.001
