total,reconstruction,gaussian,categorical,mse_proteomics,mse_metabolomics,mse_drugresponse,mse_crisprcas9,mse_methylation,mse_transcriptomics,cv,epoch,type,lr
6.1632490158081055,6.161223411560059,0.20160861313343048,0.0009584426879882812,1.0519671440124512,1.0046794414520264,1.0347882509231567,1.009638786315918,1.0612032413482666,0.9989460706710815,1,1,train,0.0004
6.062161922454834,6.054904937744141,0.7203710675239563,0.005356311798095703,0.9955688714981079,1.074200987815857,0.972300112247467,1.0036475658416748,1.0073659420013428,1.0018213987350464,1,1,train,0.0004
6.395651817321777,6.388331413269043,0.7226275205612183,0.009403228759765625,1.114300012588501,1.1254401206970215,0.9864259362220764,1.0037726163864136,1.1058882474899292,1.052504539489746,1,1,train,0.0004
6.016162872314453,6.01007080078125,0.5996175408363342,0.00958395004272461,0.9546877145767212,1.0531953573226929,0.948955237865448,1.0099091529846191,1.0455156564712524,0.997807502746582,1,1,train,0.0004
5.805324077606201,5.795038223266602,1.0187276601791382,0.009856224060058594,0.9820644855499268,0.9748101234436035,0.9206635355949402,0.9665833115577698,1.0205398797988892,0.9303770661354065,1,1,train,0.0004
6.193753242492676,6.184733867645264,0.892920196056366,0.009009361267089844,1.0571911334991455,1.0575358867645264,0.9935698509216309,1.0409290790557861,1.0050461292266846,1.0304616689682007,1,1,train,0.0004
5.637320041656494,5.630934238433838,0.6319519877433777,0.006639003753662109,0.9411944150924683,0.9714197516441345,0.9502899646759033,0.9720423817634583,0.9051336050033569,0.8908542394638062,1,1,train,0.0004
6.157357215881348,6.1518707275390625,0.5420793890953064,0.006569862365722656,1.0264393091201782,1.010166049003601,1.1474249362945557,1.0244539976119995,0.9675970673561096,0.9757896065711975,1,1,train,0.0004
6.227758407592773,6.218167781829834,0.9531826376914978,0.005864143371582031,1.0075759887695312,1.010472297668457,1.0727484226226807,0.9911510944366455,1.1050719022750854,1.031147837638855,1,1,train,0.0004
5.946028709411621,5.938746452331543,0.7239634394645691,0.004227161407470703,1.0294194221496582,0.976891279220581,1.0053843259811401,1.016583800315857,0.9103401899337769,1.0001273155212402,1,1,train,0.0004
5.701659202575684,5.685924530029297,1.5698351860046387,0.0036458969116210938,0.9771996140480042,0.9503199458122253,0.992222249507904,0.9484695196151733,0.8866018652915955,0.9311110973358154,1,1,val,0.0004
6.050277233123779,6.032327651977539,1.7904287576675415,0.004525661468505859,0.976896345615387,0.9662596583366394,1.0761818885803223,1.0178606510162354,1.0218968391418457,0.9732321500778198,1,1,val,0.0004
5.831976890563965,5.818093299865723,1.385162115097046,0.0032143592834472656,0.9556987285614014,0.9673867225646973,1.042575478553772,1.0470401048660278,0.8748763203620911,0.9305158853530884,1,1,val,0.0004
5.869351863861084,5.853316307067871,1.5991495847702026,0.004380702972412109,0.934535026550293,1.0180203914642334,0.9668579697608948,0.9966722130775452,0.9495702385902405,0.98766028881073,1,1,val,0.0004
6.112830638885498,6.094214916229248,1.8565963506698608,0.004944801330566406,0.9835063815116882,1.0319563150405884,1.0178083181381226,1.0873078107833862,0.941696286201477,1.0319398641586304,1,1,val,0.0004
5.867848873138428,5.857990741729736,0.980973482131958,0.004805088043212891,1.004252314567566,0.9850916266441345,1.0157204866409302,0.9615816473960876,0.9266599416732788,0.9646844267845154,1,2,train,0.0004
5.6327738761901855,5.617978096008301,1.474716305732727,0.004858970642089844,0.940169095993042,1.0097757577896118,0.9079816937446594,0.9405695796012878,0.9209463000297546,0.8985357284545898,1,2,train,0.0004
5.682920455932617,5.669382095336914,1.349970817565918,0.0038695335388183594,0.9339595437049866,0.9791547656059265,0.9189944267272949,0.9840529561042786,0.8960216045379639,0.9571990370750427,1,2,train,0.0004
5.6694016456604,5.649051189422607,2.0304272174835205,0.004611968994140625,0.9726846218109131,0.9680997133255005,0.9842289090156555,0.9867229461669922,0.831843376159668,0.9054713249206543,1,2,train,0.0004
5.660044193267822,5.6189446449279785,4.104365825653076,0.0055904388427734375,0.9013313055038452,1.0500892400741577,0.9629877209663391,0.9998430013656616,0.8017330765724182,0.9029601812362671,1,2,train,0.0004
5.651399612426758,5.6049652099609375,4.6361985206604,0.0072307586669921875,0.9885436296463013,0.9603551626205444,0.9550672173500061,0.9551740288734436,0.8688796758651733,0.8769454956054688,1,2,train,0.0004
5.756479740142822,5.695669651031494,6.074405193328857,0.006596565246582031,0.9420416355133057,1.0438172817230225,1.0044609308242798,1.0113723278045654,0.8121777772903442,0.8818001747131348,1,2,train,0.0004
5.6750617027282715,5.6079535484313965,6.702978134155273,0.007842540740966797,0.9037954807281494,1.0717625617980957,0.9797638654708862,0.9648475646972656,0.7926786541938782,0.8951051831245422,1,2,train,0.0004
5.799955368041992,5.746079444885254,5.380695819854736,0.006892681121826172,0.9137576222419739,1.0416991710662842,1.058713674545288,0.977199912071228,0.8233296275138855,0.9313799738883972,1,2,train,0.0004
5.61984920501709,5.587122917175293,3.267852783203125,0.0047702789306640625,0.9563566446304321,0.9756401181221008,0.9662539958953857,0.9644137620925903,0.7986782193183899,0.9257796406745911,1,2,train,0.0004
5.48475980758667,5.401490211486816,8.319021224975586,0.007896900177001953,0.9192258715629578,0.945007860660553,0.9762775897979736,0.9426876902580261,0.7316546440124512,0.8866366744041443,1,2,val,0.0004
5.759337902069092,5.652860641479492,10.63687515258789,0.010887622833251953,0.9159436225891113,0.9606299996376038,1.0575612783432007,1.0123976469039917,0.7866838574409485,0.9196439385414124,1,2,val,0.0004
