total,reconstruction,gaussian,categorical,cv,epoch,type
10.993953704833984,5.2062225341796875,5.092008113861084,0.695722222328186,1,1,train
11.165963172912598,5.008378505706787,5.462060451507568,0.6955245733261108,1,1,train
9.704154014587402,4.877101898193359,4.1316752433776855,0.6953767538070679,1,1,train
11.186354637145996,5.156579494476318,5.334719181060791,0.6950559616088867,1,1,train
10.131648063659668,5.151895523071289,4.284308433532715,0.695443868637085,1,1,train
9.059584617614746,4.728850364685059,3.634904146194458,0.6958301067352295,1,1,train
10.168540954589844,4.885059833526611,4.58760929107666,0.6958715915679932,1,1,train
10.168052673339844,5.067228317260742,4.404633522033691,0.6961910724639893,1,1,train
10.15542221069336,4.892554759979248,4.566050052642822,0.6968170404434204,1,1,train
9.809185981750488,4.893777847290039,4.217568397521973,0.6978400945663452,1,1,train
9.11181354522705,4.677896022796631,3.7358033657073975,0.6981140375137329,1,1,train
9.389286994934082,4.94943904876709,3.7412421703338623,0.6986056566238403,1,1,train
9.210381507873535,4.86699104309082,3.64434814453125,0.6990419626235962,1,1,train
8.942611694335938,4.783722877502441,3.45874285697937,0.7001456022262573,1,1,train
9.288572311401367,4.48906135559082,4.0996551513671875,0.6998555660247803,1,1,train
8.653453826904297,4.839879989624023,3.11169171333313,0.7018823623657227,1,1,train
9.366222381591797,4.763847351074219,3.9069056510925293,0.6954691410064697,1,1,val
8.753543853759766,4.680271148681641,3.3705859184265137,0.7026858329772949,1,2,train
9.242643356323242,5.083044052124023,3.455997943878174,0.7036019563674927,1,2,train
8.70739459991455,5.019659042358398,2.984367609024048,0.7033681869506836,1,2,train
8.418684005737305,5.0760698318481445,2.6373698711395264,0.7052444219589233,1,2,train
8.111390113830566,4.3643293380737305,3.040940761566162,0.7061200141906738,1,2,train
8.06684684753418,4.544232368469238,2.8166744709014893,0.7059406042098999,1,2,train
7.694306373596191,4.696171760559082,2.290708065032959,0.7074263095855713,1,2,train
7.396773338317871,4.480067253112793,2.2094922065734863,0.7072137594223022,1,2,train
7.591805458068848,4.778193473815918,2.105722665786743,0.7078895568847656,1,2,train
8.25338077545166,4.770718574523926,2.7748024463653564,0.7078598737716675,1,2,train
7.819728851318359,4.387263774871826,2.7237040996551514,0.7087610960006714,1,2,train
7.891074180603027,4.899015426635742,2.2844369411468506,0.7076218128204346,1,2,train
7.3173980712890625,4.390758991241455,2.2176566123962402,0.7089827060699463,1,2,train
7.918289661407471,4.486550331115723,2.7236809730529785,0.7080583572387695,1,2,train
7.579807281494141,4.547226905822754,2.3248343467712402,0.7077460289001465,1,2,train
7.3807830810546875,4.126564979553223,2.5476202964782715,0.7065978050231934,1,2,train
7.813865661621094,4.57157039642334,2.542856216430664,0.699439287185669,1,2,val
7.129634857177734,4.564745903015137,1.8565171957015991,0.708371639251709,1,3,train
7.252464294433594,4.434122085571289,2.1102871894836426,0.7080551385879517,1,3,train
6.977631568908691,4.391732692718506,1.8768563270568848,0.7090424299240112,1,3,train
6.488486289978027,4.415850639343262,1.3642874956130981,0.7083485126495361,1,3,train
6.908500671386719,4.640031814575195,1.5615887641906738,0.7068803310394287,1,3,train
6.890594005584717,4.670515537261963,1.5140798091888428,0.7059988975524902,1,3,train
7.016550064086914,4.532336711883545,1.777954339981079,0.70625901222229,1,3,train
6.80866813659668,4.300143718719482,1.8022054433822632,0.7063189744949341,1,3,train
7.48255729675293,4.914802551269531,1.8631505966186523,0.7046041488647461,1,3,train
6.640110015869141,4.369004726409912,1.5645763874053955,0.7065286636352539,1,3,train
6.6483612060546875,4.716894626617432,1.2257229089736938,0.7057440280914307,1,3,train
6.864455223083496,4.518861293792725,1.6415700912475586,0.7040239572525024,1,3,train
7.136126518249512,4.332592010498047,2.1004698276519775,0.7030651569366455,1,3,train
6.786327838897705,4.93997859954834,1.142368197441101,0.7039810419082642,1,3,train
6.5866804122924805,4.394478797912598,1.4883984327316284,0.703803300857544,1,3,train
6.401424884796143,4.561074256896973,1.1388206481933594,0.7015300989151001,1,3,train
6.597626209259033,4.483394145965576,1.4172008037567139,0.6970313787460327,1,3,val
6.991518974304199,4.881518363952637,1.4070442914962769,0.7029564380645752,1,4,train
6.463531494140625,4.649426460266113,1.1124248504638672,0.7016803026199341,1,4,train
6.340637683868408,4.388301372528076,1.250361442565918,0.7019749879837036,1,4,train
6.853114604949951,4.715232849121094,1.4359956979751587,0.7018860578536987,1,4,train
6.021321773529053,4.215921401977539,1.1057040691375732,0.6996960639953613,1,4,train
6.3220086097717285,4.246527671813965,1.3753161430358887,0.700164794921875,1,4,train
6.526182174682617,4.397504806518555,1.429537057876587,0.6991403102874756,1,4,train
6.6920013427734375,4.495004177093506,1.4974149465560913,0.6995819807052612,1,4,train
5.975982666015625,4.370947360992432,0.9067753553390503,0.6982595920562744,1,4,train
6.060204982757568,4.117716312408447,1.2447441816329956,0.6977443695068359,1,4,train
6.557557106018066,4.280571937561035,1.5797779560089111,0.6972073316574097,1,4,train
6.246756553649902,4.4997687339782715,1.0497081279754639,0.6972799301147461,1,4,train
6.675280570983887,4.601802825927734,1.3767268657684326,0.6967504024505615,1,4,train
7.056581974029541,5.2941179275512695,1.0656721591949463,0.6967921257019043,1,4,train
6.205182075500488,4.120517730712891,1.387945532798767,0.6967188119888306,1,4,train
5.850473403930664,4.232512474060059,0.9216917157173157,0.696269154548645,1,4,train
6.203638553619385,4.432015419006348,1.0773464441299438,0.6942768096923828,1,4,val
6.048759937286377,4.438592910766602,0.9133012890815735,0.6968655586242676,1,5,train
6.042545318603516,4.289800643920898,1.056640386581421,0.6961038112640381,1,5,train
6.097618103027344,4.1820149421691895,1.219618320465088,0.6959850788116455,1,5,train
6.792692184448242,4.595989227294922,1.5005059242248535,0.6961967945098877,1,5,train
6.069674491882324,4.299036979675293,1.0746253728866577,0.6960122585296631,1,5,train
