total,reconstruction,kl,mse_proteomics,mse_metabolomics,mse_drugresponse,mse_crisprcas9,cv,epoch,type
4.235474109649658,4.156060695648193,0.0794132798910141,0.9619606137275696,1.0593715906143188,1.0241347551345825,1.1105939149856567,1,1,train
4.131017684936523,4.052940845489502,0.07807697355747223,1.0491315126419067,0.910001277923584,0.9204728007316589,1.1733351945877075,1,1,train
4.368739128112793,4.2918572425842285,0.07688186317682266,0.9777648448944092,1.2174286842346191,1.0186406373977661,1.078022837638855,1,1,train
4.268975734710693,4.193253040313721,0.07572290301322937,1.0863529443740845,1.0052286386489868,0.9591271877288818,1.1425442695617676,1,1,train
4.122959136962891,4.047904014587402,0.07505510747432709,1.032745122909546,0.9600490927696228,1.0963671207427979,0.9587428569793701,1,1,train
4.328125,4.254977226257324,0.07314780354499817,1.082417607307434,1.0408815145492554,1.0979989767074585,1.0336788892745972,1,1,train
4.07056188583374,3.9978249073028564,0.0727371945977211,1.0691465139389038,1.0010391473770142,0.9276702404022217,0.999968945980072,1,1,train
3.707306385040283,3.63560152053833,0.07170474529266357,0.9361695647239685,0.8622576594352722,0.8287442326545715,1.0084298849105835,1,1,train
4.176877498626709,4.10565185546875,0.0712258592247963,1.1307463645935059,0.9874267578125,1.0066148042678833,0.9808639883995056,1,1,train
3.9925055503845215,3.9217984676361084,0.07070713490247726,0.9102893471717834,0.9651461243629456,0.904554545879364,1.1418085098266602,1,1,train
4.868531227111816,4.798261642456055,0.07026980817317963,1.1555736064910889,1.1296789646148682,1.385515570640564,1.127493143081665,1,1,train
3.8620452880859375,3.792388439178467,0.06965674459934235,0.9939407706260681,0.9134359955787659,0.9794906973838806,0.9055207967758179,1,1,train
3.9937613010406494,3.9263815879821777,0.06737968325614929,1.0195927619934082,0.9627079367637634,1.0114279985427856,0.9326530694961548,1,1,train
4.009299278259277,3.9420104026794434,0.06728876382112503,0.9554726481437683,0.9717740416526794,0.9668726921081543,1.0478911399841309,1,1,train
4.063717842102051,3.996572256088257,0.06714541465044022,1.0419831275939941,1.0317738056182861,1.040516972541809,0.8822982311248779,1,1,train
4.316642761230469,4.250679969787598,0.0659627765417099,1.0400059223175049,1.0967564582824707,0.992485761642456,1.121431589126587,1,1,train
3.886296510696411,3.820195436477661,0.0661010816693306,0.9574502110481262,0.9621780514717102,1.0154569149017334,0.885110080242157,1,1,train
4.337416648864746,4.272793292999268,0.06462319195270538,0.9359392523765564,1.130596399307251,1.101596474647522,1.1046611070632935,1,1,train
3.88236927986145,3.818798065185547,0.06357128918170929,0.9786920547485352,0.9871419072151184,0.9140927195549011,0.938871443271637,1,1,train
4.117349624633789,4.054828643798828,0.06252112984657288,1.0776406526565552,0.8656263947486877,1.0051121711730957,1.1064493656158447,1,1,train
4.119915008544922,4.056138515472412,0.06377672404050827,1.0740690231323242,0.9748648405075073,1.1473978757858276,0.8598067164421082,1,1,train
4.4485650062561035,4.3875956535339355,0.06096917390823364,0.997642993927002,1.1107662916183472,1.1381754875183105,1.1410107612609863,1,1,train
4.277209758758545,4.216982364654541,0.06022753566503525,0.9142152070999146,0.9107205867767334,1.1499238014221191,1.2421225309371948,1,1,train
4.15927791595459,4.100017547607422,0.0592605397105217,0.9952249526977539,0.9230740666389465,1.2265408039093018,0.9551778435707092,1,1,train
3.9233992099761963,3.8635189533233643,0.059880226850509644,0.9586116671562195,1.1353541612625122,0.870185375213623,0.8993677496910095,1,1,val
4.144753456115723,4.08630895614624,0.05844460800290108,0.9664260149002075,1.0809259414672852,1.0344560146331787,1.0045011043548584,1,1,val
4.07122802734375,4.01216983795166,0.05905834212899208,1.075850486755371,1.01711106300354,0.9525986909866333,0.9666094779968262,1,1,val
4.087936878204346,4.028841972351074,0.05909491330385208,1.0032998323440552,0.8365718722343445,1.2388041019439697,0.9501663446426392,1,1,val
3.827970266342163,3.7691822052001953,0.05878801643848419,0.8993216753005981,1.1131049394607544,0.7972815632820129,0.9594740271568298,1,1,val
4.238968849182129,4.178767681121826,0.060201261192560196,1.0254409313201904,1.2512773275375366,0.995474100112915,0.9065752625465393,1,1,val
4.133482456207275,4.075375080108643,0.058107443153858185,1.0551196336746216,1.1387310028076172,0.9066444635391235,0.974880039691925,1,1,val
4.172603607177734,4.1138410568237305,0.05876252427697182,0.9928107261657715,1.0963730812072754,1.0335559844970703,0.9911012053489685,1,1,val
3.790266752243042,3.7320098876953125,0.058256976306438446,0.9020374417304993,0.9644423127174377,0.9538760781288147,0.9116540551185608,1,1,val
3.8091766834259033,3.750598430633545,0.058578234165906906,0.9750252366065979,0.8655056953430176,0.9377283453941345,0.9723392128944397,1,1,val
4.099790096282959,4.0392680168151855,0.060522254556417465,1.1188483238220215,0.9834374785423279,0.9773399233818054,0.9596421718597412,1,1,val
4.137550354003906,4.079260349273682,0.05829000473022461,0.9872459769248962,1.062793493270874,0.9759390950202942,1.0532816648483276,1,1,val
4.231586456298828,4.17686653137207,0.05471979081630707,0.8937333226203918,1.7574872970581055,0.8090927600860596,0.7165531516075134,1,1,val
4.396478652954102,4.3373613357543945,0.05911746248602867,0.9069088697433472,1.117958903312683,1.156638741493225,1.1558544635772705,1,2,train
3.932542085647583,3.8730576038360596,0.05948442965745926,1.0235463380813599,0.9473947286605835,0.9635135531425476,0.9386029243469238,1,2,train
3.884840726852417,3.8295094966888428,0.05533113330602646,0.988126277923584,0.7791097164154053,1.069326400756836,0.9929471611976624,1,2,train
4.079823970794678,4.021074295043945,0.05874977633357048,0.8891762495040894,0.971562385559082,1.00667142868042,1.1536638736724854,1,2,train
