total,reconstruction,kl,mse_methylation,mse_transcriptomics,mse_proteomics,mse_metabolomics,mse_drugresponse,mse_crisprcas9,cv,epoch,type
6.625514030456543,5.836302280426025,0.7892116904258728,0.9977340698242188,0.9496741890907288,1.081315040588379,1.0300912857055664,0.8824186325073242,0.8950689435005188,1,1,train
6.679625511169434,5.894751071929932,0.7848746180534363,0.9204633831977844,0.9942945837974548,1.196533441543579,0.912668764591217,0.9588385224342346,0.9119523763656616,1,1,train
6.581103324890137,5.837502956390381,0.7436003684997559,0.9159089922904968,0.998207688331604,0.9858154654502869,0.9933731555938721,0.9581241011619568,0.9860735535621643,1,1,train
6.968501091003418,6.242471218109131,0.7260296940803528,1.075097680091858,0.9589359164237976,1.0779764652252197,1.1335108280181885,1.0381666421890259,0.9587841629981995,1,1,train
6.9056806564331055,6.1878767013549805,0.7178038358688354,0.9106356501579285,0.9839488863945007,1.0100055932998657,1.0975563526153564,1.0176697969436646,1.168060302734375,1,1,train
6.796112537384033,6.110910415649414,0.6852020621299744,0.8879618644714355,1.0000454187393188,1.1556074619293213,1.123353123664856,1.034845232963562,0.9090970754623413,1,1,train
6.898903846740723,6.208962917327881,0.6899411082267761,1.1795432567596436,0.9438364505767822,1.1118866205215454,0.8962593674659729,1.0798314809799194,0.9976058006286621,1,1,train
6.3501811027526855,5.681595802307129,0.6685852408409119,0.8803051114082336,0.9498745203018188,0.9893015027046204,1.0417066812515259,0.8435435891151428,0.9768642783164978,1,1,train
6.6667399406433105,6.010788917541504,0.6559511423110962,1.2066748142242432,0.9238764643669128,1.0417026281356812,0.7950806021690369,1.1161364316940308,0.92731773853302,1,1,train
6.275109767913818,5.640949249267578,0.6341605186462402,0.8266028761863708,0.973455548286438,0.9502188563346863,1.013616681098938,0.8869103789329529,0.9901445508003235,1,1,train
7.07866096496582,6.445964336395264,0.6326965689659119,0.9244397282600403,1.1516797542572021,1.0919840335845947,1.158499002456665,1.053655982017517,1.0657058954238892,1,1,train
6.483175754547119,5.869084358215332,0.6140914559364319,0.9794028997421265,1.0421258211135864,0.9818912744522095,0.9404799938201904,0.8919477462768555,1.0332363843917847,1,1,train
6.571894645690918,5.975326061248779,0.5965684652328491,1.0892547369003296,0.9219539165496826,1.0237445831298828,0.909376323223114,1.1009526252746582,0.930043637752533,1,1,train
6.530632495880127,5.939399719238281,0.5912325978279114,0.9242322444915771,0.9352888464927673,1.0905954837799072,0.8556827902793884,1.0216821432113647,1.1119177341461182,1,1,train
6.4255170822143555,5.835325241088867,0.5901917815208435,0.9229475259780884,0.9451866149902344,0.9677206873893738,0.927946925163269,1.1007952690124512,0.97072833776474,1,1,train
6.625840187072754,6.063861846923828,0.5619781017303467,1.0344759225845337,0.9720646739006042,0.9456433057785034,1.2249797582626343,0.9468092322349548,0.9398887753486633,1,1,train
6.480842113494873,5.945232391357422,0.5356096029281616,0.9317356944084167,0.9713841080665588,1.0198620557785034,1.0329394340515137,1.0340124368667603,0.9552988409996033,1,1,train
6.281139373779297,5.7171220779418945,0.5640173554420471,0.834697425365448,0.9350096583366394,1.002005934715271,1.0464047193527222,0.9222580194473267,0.9767467379570007,1,1,train
6.576961040496826,6.0179667472839355,0.5589941143989563,0.8346983790397644,1.1191924810409546,1.0020829439163208,1.1046428680419922,0.916135847568512,1.0412145853042603,1,1,train
6.756660461425781,6.238104820251465,0.5185558199882507,0.9653671979904175,1.0484130382537842,1.1229817867279053,0.91326504945755,1.1197062730789185,1.0683716535568237,1,1,train
6.784368991851807,6.2705912590026855,0.5137777328491211,0.999833345413208,1.0171151161193848,1.0496169328689575,1.1276054382324219,0.9776168465614319,1.0988036394119263,1,1,train
6.475061893463135,5.960792541503906,0.5142695307731628,0.9572614431381226,0.9930766224861145,0.9458103775978088,0.849608302116394,1.2628216743469238,0.9522144794464111,1,1,train
6.3156867027282715,5.818172454833984,0.4975143074989319,0.9718195796012878,1.0279779434204102,1.0075370073318481,0.9665006399154663,0.9788414835929871,0.8654956817626953,1,1,train
7.081320285797119,6.584909915924072,0.4964103400707245,1.2016738653182983,0.9676185250282288,1.0455573797225952,1.0987919569015503,1.1102499961853027,1.161017894744873,1,1,train
6.879646301269531,6.381487846374512,0.4981583058834076,1.0887477397918701,1.0182006359100342,1.0164512395858765,1.1901280879974365,1.0479929447174072,1.0199671983718872,1,1,train
6.77177095413208,6.2926025390625,0.47916847467422485,1.0480047464370728,1.0015486478805542,1.1224615573883057,1.002241849899292,1.000459909439087,1.1178858280181885,1,1,train
6.058501243591309,5.610023021697998,0.44847846031188965,0.802409291267395,0.9023234248161316,0.9107540249824524,0.9278063178062439,1.0448416471481323,1.0218883752822876,1,1,train
6.801009654998779,6.380121231079102,0.42088863253593445,1.0706322193145752,0.9992244839668274,1.095654845237732,1.0840890407562256,1.142390251159668,0.9881303310394287,1,1,train
7.052794933319092,6.622490406036377,0.43030473589897156,1.1653356552124023,1.0392686128616333,0.9859151840209961,1.1868151426315308,1.0761281251907349,1.1690278053283691,1,1,train
6.79151725769043,6.377089500427246,0.41442757844924927,1.1261720657348633,1.1223506927490234,0.9414008259773254,1.1602156162261963,0.8621707558631897,1.164779782295227,1,1,train
6.209178924560547,5.807348251342773,0.40183091163635254,1.034409761428833,1.0029245615005493,0.9775203466415405,0.9702398777008057,0.9035296440124512,0.9187242388725281,1,1,train
8.331289291381836,7.895228862762451,0.4360608160495758,1.4364564418792725,1.0973961353302002,0.9669783711433411,1.536916971206665,1.8278177976608276,1.0296632051467896,1,1,train
