total,reconstruction,kl,mse_proteomics,mse_metabolomics,mse_drugresponse,mse_crisprcas9,mse_methylation,mse_transcriptomics,cv,epoch,type,lr
5.99468994140625,5.986705303192139,0.007984507828950882,1.0868278741836548,0.920969545841217,0.9988252520561218,0.8971764445304871,1.0323437452316284,1.0505623817443848,1,1,train,0.0004
6.124090671539307,6.109740734100342,0.014349807053804398,1.0554324388504028,1.0987017154693604,0.9536944627761841,0.9892157912254333,1.0021315813064575,1.0105646848678589,1,1,train,0.0004
5.976033687591553,5.968903541564941,0.007130360696464777,1.0571129322052002,0.9850684404373169,0.9814544916152954,0.9837178587913513,0.9917603135108948,0.9697896838188171,1,1,train,0.0004
6.058681964874268,6.051025390625,0.007656421046704054,0.9999287724494934,1.0338221788406372,1.0372626781463623,1.0696630477905273,0.9060257077217102,1.004323124885559,1,1,train,0.0004
5.766071796417236,5.753432273864746,0.012639669701457024,0.9681931734085083,0.9626665115356445,0.982845664024353,0.9859420657157898,0.8752115368843079,0.9785735011100769,1,1,train,0.0004
6.052258014678955,6.021017074584961,0.031241074204444885,1.0751336812973022,0.976787269115448,1.041191816329956,1.0307925939559937,0.9148877859115601,0.9822240471839905,1,1,train,0.0004
5.8892822265625,5.811761856079102,0.07752032577991486,0.9343151450157166,1.074314832687378,0.9422920942306519,1.119186520576477,0.8379045128822327,0.9037491083145142,1,1,train,0.0004
6.011086463928223,5.973657131195068,0.037429362535476685,0.9752405881881714,1.0704416036605835,1.1482142210006714,1.0371819734573364,0.7904874086380005,0.952091634273529,1,1,train,0.0004
5.633756637573242,5.596654891967773,0.03710182011127472,0.9192907810211182,0.9625571966171265,1.0273321866989136,1.0674985647201538,0.7347450852394104,0.8852311968803406,1,1,train,0.0004
5.570671081542969,5.522922992706299,0.04774788022041321,0.9321208596229553,0.9776504635810852,0.9521031975746155,1.010362982749939,0.7860023379325867,0.8646830916404724,1,1,train,0.0004
5.691464900970459,5.640354156494141,0.051110755652189255,0.9099446535110474,1.051543116569519,0.9505739212036133,1.0813778638839722,0.7543409466743469,0.8925731778144836,1,1,val,0.0004
5.259305000305176,5.2058281898498535,0.05347667634487152,0.8971622586250305,0.9433156847953796,0.9521056413650513,0.8843151926994324,0.709829568862915,0.8190999627113342,1,1,val,0.0004
5.726147651672363,5.676225185394287,0.04992248862981796,0.9808821082115173,1.0492726564407349,1.0660408735275269,0.9802820086479187,0.7559463381767273,0.8438016772270203,1,1,val,0.0004
5.386327743530273,5.332015037536621,0.05431293323636055,0.8588847517967224,0.978793203830719,0.9703674912452698,0.9916359782218933,0.70198655128479,0.8303471803665161,1,1,val,0.0004
5.637490749359131,5.589600563049316,0.047890279442071915,0.9210702180862427,1.0013514757156372,1.0270718336105347,1.0055699348449707,0.7605165243148804,0.8740208148956299,1,1,val,0.0004
5.4409074783325195,5.388469696044922,0.05243783816695213,0.9135556221008301,1.0247012376785278,0.9612606167793274,0.9562209844589233,0.6844444870948792,0.8482866883277893,1,2,train,0.0004
5.510031223297119,5.467904090881348,0.042126987129449844,0.9287916421890259,1.0259020328521729,0.984144926071167,0.9662695527076721,0.7163906693458557,0.8464053273200989,1,2,train,0.0004
5.340229034423828,5.296524524688721,0.043704334646463394,0.9037852883338928,0.9321262240409851,0.9199202656745911,0.979462206363678,0.7078605890274048,0.8533703684806824,1,2,train,0.0004
5.310098171234131,5.254424571990967,0.05567365884780884,0.8433622717857361,1.032456398010254,0.9328811168670654,0.9937723278999329,0.6532978415489197,0.7986546158790588,1,2,train,0.0004
5.316254138946533,5.258458614349365,0.05779551342129707,0.8415787220001221,1.0143654346466064,1.039036750793457,0.9355160593986511,0.6515750885009766,0.7763868570327759,1,2,train,0.0004
4.875033378601074,4.829048156738281,0.04598505422472954,0.8122063875198364,0.8699458241462708,0.8402085900306702,0.9399811029434204,0.64277583360672,0.723930299282074,1,2,train,0.0004
5.228395938873291,5.181364059448242,0.047031816095113754,0.8407683372497559,0.9654905200004578,0.9017592072486877,1.0083965063095093,0.6782061457633972,0.7867436408996582,1,2,train,0.0004
5.012768268585205,4.965290069580078,0.04747796431183815,0.7790637016296387,0.9409780502319336,0.8636539578437805,0.929437518119812,0.6685845255851746,0.7835724353790283,1,2,train,0.0004
5.234436988830566,5.1855292320251465,0.048907868564128876,0.8290765285491943,0.9660122394561768,1.0315746068954468,0.9888911247253418,0.6321213841438293,0.737852931022644,1,2,train,0.0004
4.9776411056518555,4.92568302154541,0.051957860589027405,0.8017652034759521,0.9837847352027893,0.9485933184623718,0.7843790054321289,0.6454824805259705,0.7616782784461975,1,2,train,0.0004
5.2888712882995605,5.231388092041016,0.0574832558631897,0.7958743572235107,1.0315574407577515,0.8906095027923584,1.0300977230072021,0.6744066476821899,0.8088422417640686,1,2,val,0.0004
4.878011226654053,4.819364070892334,0.05864734575152397,0.7823491096496582,0.9164763689041138,0.8773953318595886,0.8333385586738586,0.6600207686424255,0.7497841119766235,1,2,val,0.0004
5.302842617034912,5.250948429107666,0.05189407989382744,0.8418815732002258,1.0371829271316528,0.9929218292236328,0.9384754300117493,0.6803839802742004,0.7601028084754944,1,2,val,0.0004
5.056168079376221,5.002547740936279,0.05362022668123245,0.7679438591003418,0.9669970273971558,0.9257741570472717,0.9545819759368896,0.6320331692695618,0.7552175521850586,1,2,val,0.0004
5.250158786773682,5.198614120483398,0.05154457688331604,0.8129269480705261,0.9911629557609558,0.9430960416793823,0.9619885087013245,0.6890074610710144,0.8004322052001953,1,2,val,0.0004
