feature,importance
inosine,0.6844300062026238
C18:0 LPE,0.6796423592073383
C36:3 PC,0.6773310456633828
C36:1 PC,0.6761310201903571
succinate/methylmalonate,0.6734518715450526
C54:5 TAG,0.6718512561623431
dimethylglycine,0.670317095390288
C18:1 LPE,0.6630477625804452
C56:2 TAG,0.6629187893105581
C20:5 CE,0.6580823985297514
cystathionine,0.6534821883831764
C20:4 LPC,0.6456795123587841
choline,0.6437979416707589
N-carbamoyl-beta-alanine,0.635712431084106
adenosine,0.6341444212056319
C34:2 DAG,0.6263269872610989
sorbitol,0.6250621731501749
pyroglutamic acid,0.6245420040295158
isocitrate,0.624243943810419
3-phosphoglycerate,0.6208975458427246
GABA,0.6179241847219379
C48:0 TAG,0.6144103207128291
acetylglycine,0.6131341833073042
tryptophan,0.6095513110746436
malonylcarnitine,0.6061505625399736
C34:1 PC,0.6014307644086461
isoleucine,0.5987718937410488
C56:8 TAG,0.5958463119479755
butyrylcarnitine/isobutyrylcarnitine,0.5942618784603275
C50:0 TAG,0.591881204957404
C56:4 TAG,0.5765580658010113
C40:6 PC,0.5747215989621082
C52:5 TAG,0.574571655282048
C58:8 TAG,0.5739343042659255
propionylcarnitine,0.569686534783331
pantothenate,0.5666335249156529
C16:0 LPE,0.5655699767269238
phosphocreatine,0.5651622080798637
C20:3 LPC,0.5601151832743072
C18:3 CE,0.5578545793400832
taurodeoxycholate/taurochenodeoxycholate,0.5567801739530461
C34:1 DAG,0.5566982214167759
C22:1 SM,0.555191837413998
C56:5 TAG,0.5536707826251599
C36:1 DAG,0.5450961675948248
C48:3 TAG,0.5431455737797758
putrescine,0.5423774788675911
histidine,0.5388462219885428
C38:2 PC,0.5364339000316543
C22:6 LPC,0.5319354514035767
C34:4 PC,0.5301480944483415
C24:0 SM,0.5287929570618366
C46:1 TAG,0.5281233954738184
2-hydroxyglutarate,0.5263629673286768
C54:7 TAG,0.5237717402452329
5-HIAA,0.5221058227399078
glutathione oxidized,0.5177263349308562
xanthosine,0.5132498720291062
hexanoylcarnitine,0.5132444176450771
ribose-5-P/ribulose5-P,0.5067649796455437
glycodeoxycholate/glycochenodeoxycholate,0.5058812677581697
cytidine,0.504982834629188
aspartate,0.4997630180513707
C34:3 PC,0.4992606684089673
DHAP/glyceraldehyde 3P,0.4928610108947734
kynurenic acid,0.4876393614809657
