total,reconstruction,kl,mse_methylation,mse_transcriptomics,mse_proteomics,mse_metabolomics,mse_drugresponse,mse_crisprcas9,cv,epoch,type,lr
10.883317947387695,6.316407680511475,4.5669097900390625,1.1074893474578857,1.0791524648666382,1.069462776184082,1.0816822052001953,0.9308411478996277,1.04777991771698,1,1,train,0.0005
61.6950798034668,9.153850555419922,52.541229248046875,2.1902713775634766,1.7052186727523804,1.3232619762420654,1.0995713472366333,1.236767053604126,1.5987603664398193,1,1,train,0.0005
8.18220329284668,6.298437118530273,1.8837664127349854,1.0948114395141602,1.0945065021514893,0.9748194217681885,1.0663106441497803,1.0599074363708496,1.0080819129943848,1,1,train,0.0005
12.93266773223877,6.9256391525268555,6.007028579711914,1.3595986366271973,1.2452912330627441,1.057536244392395,1.05668044090271,1.0300521850585938,1.1764801740646362,1,1,train,0.0005
15.850122451782227,6.904205322265625,8.945917129516602,1.2401933670043945,1.224845290184021,1.1049591302871704,1.0408916473388672,1.034763216972351,1.2585523128509521,1,1,train,0.0005
14.390786170959473,6.763838768005371,7.626947402954102,1.2183828353881836,1.331579566001892,1.0144197940826416,0.9633613228797913,1.0472865104675293,1.188808560371399,1,1,train,0.0005
10.344141006469727,5.940762996673584,4.403378009796143,0.8579015731811523,1.0276312828063965,1.188434362411499,0.9754359126091003,0.9530731439590454,0.9382866621017456,1,1,train,0.0005
12.939252853393555,6.170644760131836,6.7686076164245605,1.1398935317993164,0.9567698836326599,1.1326345205307007,1.03107488155365,1.0009844303131104,0.9092873334884644,1,1,train,0.0005
15.081111907958984,11.649299621582031,3.431812286376953,4.288654327392578,2.513791799545288,1.1378079652786255,1.0177710056304932,1.0038520097732544,1.6874232292175293,1,1,train,0.0005
39.841278076171875,7.9634809494018555,31.877798080444336,1.3817757368087769,1.0231400728225708,1.5148060321807861,1.4186047315597534,1.535179615020752,1.0899749994277954,1,1,train,0.0005
11.346943855285645,5.962435722351074,5.38450813293457,0.8724263310432434,0.9969542622566223,1.1176469326019287,1.0136913061141968,0.9522475600242615,1.0094687938690186,1,1,train,0.0005
11.939023971557617,6.32165002822876,5.617373943328857,0.9650507569313049,0.9819023609161377,1.0707669258117676,1.029632329940796,1.2503505945205688,1.0239473581314087,1,1,train,0.0005
14.766159057617188,8.099050521850586,6.66710901260376,2.114924430847168,1.3688775300979614,1.1240984201431274,1.1682116985321045,1.1953781843185425,1.1275607347488403,1,1,train,0.0005
12.519737243652344,6.582375526428223,5.937361717224121,1.117910623550415,1.1909446716308594,1.005550503730774,0.9636561274528503,1.090899109840393,1.2134146690368652,1,1,train,0.0005
11.53285026550293,6.363476276397705,5.169374465942383,0.9245356321334839,1.1174007654190063,0.9925345182418823,1.0309789180755615,1.0548378229141235,1.2431888580322266,1,1,train,0.0005
14.405068397521973,8.913681983947754,5.491386413574219,2.0882856845855713,2.527458906173706,1.0886390209197998,1.0190343856811523,0.9415649771690369,1.2486984729766846,1,1,train,0.0005
12.912565231323242,6.692386627197266,6.220178604125977,1.1962097883224487,1.3367021083831787,1.0372374057769775,1.0961469411849976,1.0180948972702026,1.00799560546875,1,1,val,0.0005
15.133347511291504,6.786898612976074,8.34644889831543,1.0961177349090576,1.6153645515441895,0.9602524042129517,0.898948609828949,1.0513442754745483,1.1648705005645752,1,1,val,0.0005
13.649810791015625,7.250617027282715,6.39919376373291,1.5055770874023438,1.7067137956619263,0.9587146043777466,1.1318445205688477,0.9142230749130249,1.0335438251495361,1,1,val,0.0005
12.811450958251953,6.874251842498779,5.937199592590332,1.2025350332260132,1.6737807989120483,0.9962724447250366,0.9781721234321594,1.063981056213379,0.9595102667808533,1,1,val,0.0005
10.376686096191406,6.548603534698486,3.82808256149292,1.2288873195648193,1.3944424390792847,0.979555606842041,1.0362412929534912,1.0202652215957642,0.8892115950584412,1,1,val,0.0005
13.087146759033203,6.724790096282959,6.362357139587402,1.3112579584121704,1.3778759241104126,1.0286617279052734,1.0361206531524658,0.9865706562995911,0.9843030571937561,1,1,val,0.0005
11.876264572143555,7.416619777679443,4.4596452713012695,1.5434421300888062,1.6647692918777466,1.069127082824707,1.0401731729507446,1.033182978630066,1.0659250020980835,1,1,val,0.0005
12.446354866027832,6.814075946807861,5.632278919219971,1.4895637035369873,1.3925875425338745,0.9187629818916321,1.0089974403381348,0.9977666139602661,1.0063977241516113,1,1,val,0.0005
14.027159690856934,9.029131889343262,4.998027801513672,2.76225209236145,2.1740310192108154,1.0685396194458008,1.034185767173767,0.9614623188972473,1.0286606550216675,1,2,train,0.0005
13.5426025390625,6.407011985778809,7.135590553283691,1.1481562852859497,1.0326975584030151,1.0375778675079346,1.1391032934188843,1.0673936605453491,0.9820834994316101,1,2,train,0.0005
12.063859939575195,6.155064105987549,5.9087958335876465,1.1075440645217896,1.0089068412780762,0.9903176426887512,1.0321096181869507,0.9604017734527588,1.055784821510315,1,2,train,0.0005
12.200063705444336,6.253115177154541,5.946948051452637,1.1501827239990234,1.0528415441513062,0.9481564164161682,0.9790406227111816,0.9969404339790344,1.125953197479248,1,2,train,0.0005
10.960813522338867,6.512778282165527,4.44803524017334,1.0284295082092285,1.1544917821884155,0.9390966892242432,0.9166434407234192,1.0282193422317505,1.4458976984024048,1,2,train,0.0005
9.115280151367188,6.36646032333374,2.7488200664520264,1.031334638595581,1.1570732593536377,1.1301976442337036,0.927673876285553,1.006304144859314,1.1138769388198853,1,2,train,0.0005
