,MOSA_outofsample,method,corr
111,Out-of-sample,MOSA_corr,0.7735214158969601
112,In-sample,MOSA_corr,0.6898477458219363
113,In-sample,MOSA_corr,0.7836843785486252
114,In-sample,MOSA_corr,0.3329740159563891
115,Out-of-sample,MOSA_corr,0.5131015200361841
116,In-sample,MOSA_corr,0.6449451758749565
117,In-sample,MOSA_corr,0.7424843881885101
118,In-sample,MOSA_corr,0.48584792600847326
119,In-sample,MOSA_corr,0.4772924979773088
120,In-sample,MOSA_corr,0.643979226699543
121,In-sample,MOSA_corr,0.7471158383506391
122,In-sample,MOSA_corr,0.5830538043843065
123,In-sample,MOSA_corr,0.7345702311081852
124,In-sample,MOSA_corr,0.743524104674488
125,In-sample,MOSA_corr,0.6273169769000055
126,In-sample,MOSA_corr,0.8053122698444868
127,In-sample,MOSA_corr,0.682037736264627
128,In-sample,MOSA_corr,0.5618623839717652
129,In-sample,MOSA_corr,0.6328032923708924
130,In-sample,MOSA_corr,0.6651844412721448
131,In-sample,MOSA_corr,0.4438227253625343
132,In-sample,MOSA_corr,0.5794624995145821
133,In-sample,MOSA_corr,0.702116570149198
134,In-sample,MOSA_corr,0.6024756543679055
135,In-sample,MOSA_corr,0.6917517065432583
136,In-sample,MOSA_corr,0.6705889122189623
137,In-sample,MOSA_corr,0.751659823821556
138,In-sample,MOSA_corr,0.6689101939734612
139,In-sample,MOSA_corr,0.7664500772540466
140,In-sample,MOSA_corr,0.681379395740454
141,In-sample,MOSA_corr,0.5548055038870356
142,In-sample,MOSA_corr,0.5831726804962698
143,In-sample,MOSA_corr,0.8013757338135268
144,In-sample,MOSA_corr,0.6916787229666052
145,In-sample,MOSA_corr,0.624755442850684
146,In-sample,MOSA_corr,0.7157600278484446
147,In-sample,MOSA_corr,0.7048336755718844
148,In-sample,MOSA_corr,0.6706393114766518
149,In-sample,MOSA_corr,0.7672345794740788
150,In-sample,MOSA_corr,0.5125965005059961
151,In-sample,MOSA_corr,0.7710352571704189
152,In-sample,MOSA_corr,0.779919884069834
153,In-sample,MOSA_corr,0.7073990294340636
154,In-sample,MOSA_corr,0.7294614534373702
155,In-sample,MOSA_corr,0.8070966401884322
156,In-sample,MOSA_corr,0.7701444258295653
157,In-sample,MOSA_corr,0.757764432548127
158,In-sample,MOSA_corr,0.730998580500319
159,In-sample,MOSA_corr,0.4478570959750767
160,In-sample,MOSA_corr,0.5596326967324323
161,In-sample,MOSA_corr,0.782351205370967
162,In-sample,MOSA_corr,0.5956864325735587
163,Out-of-sample,MOSA_corr,0.7891622789936963
164,In-sample,MOSA_corr,0.5935543441077062
165,In-sample,MOSA_corr,0.7650370469991146
