train_total,train_mse,train_kl,val_total,val_mse,val_kl,epoch
0.7366617,0.6379908,0.098670945,0.7269367,0.63551575,0.09142092,84
0.73219615,0.6338957,0.09830047,0.72328305,0.6324165,0.090866566,85
0.7257118,0.6278347,0.09787718,0.71521896,0.6247216,0.09049738,86
0.7208098,0.6232143,0.09759551,0.709941,0.619283,0.09065801,87
0.71822727,0.6211198,0.09710759,0.7092499,0.618703,0.090546966,88
0.71578664,0.6190489,0.09673773,0.70672274,0.61616415,0.090558544,89
0.7104643,0.6140307,0.09643349,0.7011859,0.6115306,0.08965533,90
0.7070563,0.61117774,0.09587861,0.69744503,0.6078782,0.08956687,91
0.7056957,0.6099762,0.09571952,0.6971588,0.6080632,0.08909568,92
0.6998867,0.6045518,0.095334925,0.69061977,0.6021173,0.08850242,93
0.6949783,0.60013103,0.09484726,0.68623173,0.5975087,0.08872305,94
0.6895992,0.59518176,0.094417416,0.67933303,0.5912502,0.0880828,95
0.68400794,0.58984375,0.09416419,0.67495483,0.5879537,0.08700115,96
0.6821344,0.58828336,0.09385109,0.6731863,0.5863083,0.086878,97
0.6802584,0.58677346,0.0934849,0.6715312,0.58467495,0.086856164,98
0.6776906,0.5844547,0.09323603,0.66891587,0.58205277,0.08686306,99
0.6748884,0.5821247,0.092763685,0.6660534,0.5795799,0.08647357,100
0.6701388,0.57764,0.09249886,0.6638975,0.57728976,0.08660771,101
0.66691417,0.5746867,0.09222744,0.6580394,0.57192546,0.08611385,102
0.66158116,0.569666,0.09191506,0.6525742,0.5676572,0.084916964,103
0.6575322,0.56602705,0.09150521,0.6464903,0.5611615,0.08532875,104
0.65238017,0.561148,0.09123219,0.642496,0.5578715,0.08462448,105
0.64908195,0.55823857,0.090843394,0.64149475,0.55763036,0.083864324,106
0.64787763,0.5572804,0.09059711,0.63811696,0.5535554,0.08456154,107
0.6449454,0.55470014,0.09024523,0.6360372,0.5524715,0.0835657,108
0.64261794,0.55262583,0.08999219,0.63421714,0.55032176,0.08389533,109
0.6394573,0.54986584,0.08959145,0.6322042,0.5481313,0.0840729,110
0.6386177,0.5491297,0.08948801,0.6293677,0.546458,0.08290969,111
0.6346658,0.54552174,0.08914408,0.62501,0.5426,0.08240999,112
0.6275789,0.5388205,0.08875842,0.619354,0.53653634,0.08281766,113
0.6254672,0.5368874,0.08857989,0.6176106,0.53553396,0.0820766,114
0.6250358,0.5366673,0.08836857,0.6176341,0.5355481,0.08208591,115
0.621999,0.5341632,0.08783583,0.6117898,0.5302962,0.08149351,116
0.61671066,0.5290384,0.08767212,0.6082984,0.5267743,0.08152405,117
0.61227846,0.5249199,0.08735853,0.6043649,0.52325547,0.08110941,118
0.61046094,0.5232721,0.087188914,0.60090226,0.52022046,0.080681786,119
0.6076769,0.5209417,0.08673523,0.5998455,0.5192689,0.08057667,120
0.6067927,0.5201279,0.08666475,0.5986522,0.5182951,0.08035702,121
0.60716563,0.52077454,0.08639111,0.5979151,0.51761293,0.08030222,122
0.60383666,0.5177298,0.08610677,0.5966361,0.51662135,0.080014765,123
0.6012449,0.51536006,0.08588496,0.59151715,0.5118116,0.07970556,124
0.59605473,0.51047546,0.08557926,0.58800423,0.5081963,0.07980794,125
0.59512746,0.50986433,0.08526314,0.58543444,0.50598,0.07945448,126
0.5921232,0.50705653,0.085066766,0.5846736,0.50550276,0.07917085,127
0.59046817,0.505613,0.08485513,0.58193487,0.5026509,0.07928389,128
0.58822346,0.5036388,0.08458474,0.5808593,0.5024285,0.078430854,129
0.5875766,0.50333154,0.08424515,0.5802478,0.50215673,0.07809103,130
0.5894495,0.505264,0.084185615,0.5818212,0.50396883,0.077852465,131
0.5866852,0.5028256,0.083859555,0.5793426,0.5019473,0.07739538,132
0.5816284,0.49800774,0.08362059,0.5746677,0.4966697,0.07799803,133
0.5789236,0.4954743,0.08344928,0.57025176,0.4929558,0.077295974,134
0.5752373,0.4920481,0.08318908,0.5667869,0.48989367,0.07689322,135
0.5699497,0.4870752,0.08287446,0.5612861,0.48453167,0.076754466,136
0.56815946,0.4854368,0.08272271,0.56164104,0.48435378,0.07728722,137
0.56828433,0.48581427,0.08247012,0.5618465,0.48467526,0.077171244,138
0.56733525,0.48512533,0.082209945,0.5597558,0.48339134,0.0763644,139
0.56273043,0.48070756,0.08202288,0.55389875,0.47760892,0.07628983,140
0.55970806,0.47785842,0.08184964,0.5506984,0.4745912,0.07610711,141
0.5560738,0.4745938,0.08147994,0.54965335,0.47386846,0.075785026,142
0.5528566,0.47146446,0.08139219,0.54430217,0.46881208,0.0754901,143
0.5511733,0.47000033,0.08117302,0.54309905,0.46775854,0.07534057,144
0.5492538,0.4682499,0.08100391,0.5422141,0.46694937,0.07526462,145
0.55027837,0.46949655,0.080781765,0.541608,0.46664804,0.07495989,146
0.5509186,0.47037515,0.0805434,0.54377985,0.46860644,0.07517339,147
0.5504724,0.47009322,0.08037916,0.5439261,0.46877185,0.07515427,148
0.5480303,0.46776247,0.080267906,0.54147154,0.46717402,0.07429744,149
0.5471615,0.46727028,0.07989126,0.5404166,0.46611515,0.07430159,150
0.54561526,0.46577433,0.07984096,0.53629935,0.4624484,0.073850915,151
0.5394189,0.45993644,0.07948243,0.53229046,0.45881775,0.073472776,152
0.53522307,0.45612738,0.07909567,0.5284171,0.4552153,0.07320177,153
0.53442365,0.45533338,0.079090275,0.52646387,0.4532488,0.07321502,154
0.53017324,0.45124948,0.07892369,0.5225256,0.4495163,0.07300931,155
0.53005344,0.45146242,0.07859098,0.5236732,0.4509233,0.072749816,156
0.53478944,0.45624146,0.07854805,0.5338876,0.45988125,0.07400638,157
0.53916895,0.46064597,0.07852302,0.5308897,0.4579213,0.07296835,158
0.5339698,0.45570618,0.07826357,0.5252862,0.45271984,0.07256643,159
0.52444065,0.44651976,0.07792083,0.51625943,0.44438875,0.07187068,160
0.5180645,0.44037643,0.0776881,0.5096067,0.4373669,0.07223977,161
0.51447326,0.4369867,0.07748655,0.50671446,0.43506083,0.071653664,162
0.5136185,0.43632567,0.077292904,0.505707,0.43418193,0.07152518,163
0.5133172,0.43607628,0.077240914,0.5062537,0.43412703,0.07212665,164
0.5122708,0.43513468,0.07713615,0.5043574,0.43271232,0.07164497,165
0.5090585,0.4322042,0.07685437,0.5012728,0.43025157,0.07102116,166
0.5083123,0.43157792,0.07673441,0.50212497,0.43052638,0.07159864,167
0.5098366,0.43324885,0.07658784,0.50282544,0.4318612,0.07096424,168
0.5081666,0.43171766,0.07644905,0.50213516,0.43116525,0.07097,169
0.50974053,0.43347594,0.076264605,0.5003934,0.42950535,0.070888035,170
0.50614196,0.43005577,0.07608622,0.4984201,0.42767593,0.07074408,171
0.5039725,0.42798674,0.07598562,0.49730802,0.4265031,0.070804946,172
0.5051127,0.42939016,0.07572261,0.4980996,0.42732796,0.07077159,173
0.50307035,0.4274613,0.07560904,0.49591586,0.42579684,0.070118986,174
0.50003445,0.4246775,0.07535694,0.49187857,0.42180243,0.070076175,175
0.49695826,0.4218312,0.075127,0.4902304,0.4199132,0.07031719,176
0.4936792,0.41853097,0.07514829,0.48592335,0.41623586,0.06968753,177
0.48992828,0.41512534,0.07480289,0.48279607,0.41321987,0.06957625,178
0.48782456,0.41315645,0.07466813,0.48052114,0.4110701,0.06945104,179
0.48613626,0.41165772,0.07447851,0.47977787,0.41026375,0.06951417,180
0.48552445,0.41107702,0.07444752,0.47823393,0.4093277,0.06890617,181
0.485585,0.41127196,0.0743131,0.4779481,0.40892896,0.06901914,182
0.48242906,0.40836656,0.07406251,0.4759133,0.40698692,0.06892637,183
0.48115158,0.4072174,0.073934175,0.4747259,0.40566096,0.069064945,184
0.4828123,0.40904975,0.07376255,0.47586304,0.40729412,0.06856891,185
0.4805034,0.40690053,0.0736029,0.4737908,0.40539327,0.068397485,186
0.47836244,0.4048881,0.07347439,0.47167087,0.40352568,0.06814524,187
0.4788317,0.4055126,0.07331903,0.47130117,0.40309596,0.06820516,188
0.4779988,0.4048492,0.07314966,0.47003666,0.4017615,0.068275176,189
0.47702774,0.40402272,0.07300502,0.47072378,0.40239048,0.06833332,190
0.47391334,0.40100855,0.07290475,0.46671194,0.39838418,0.068327695,191
0.47212228,0.39938948,0.07273277,0.46530548,0.3979163,0.067389175,192
0.4717261,0.39920706,0.07251899,0.46514052,0.39759323,0.067547336,193
0.47030395,0.39776862,0.072535306,0.46215698,0.39474624,0.06741073,194
0.46907455,0.3968243,0.07225021,0.4616387,0.3943294,0.06730922,195
0.4680819,0.39587095,0.07221098,0.46074262,0.39376444,0.06697818,196
0.46576363,0.39385056,0.071913056,0.45921463,0.39204448,0.06717011,197
0.4628711,0.39094722,0.07192393,0.45499873,0.38823047,0.066768244,198
0.4606193,0.38902143,0.07159787,0.45413598,0.38758615,0.06654988,199
0.46076247,0.38923013,0.07153233,0.4566407,0.38935235,0.06728831,200
0.46622843,0.394735,0.071493454,0.46006656,0.3934654,0.06660117,201
0.46776727,0.3963817,0.07138554,0.46106067,0.39478934,0.06627134,202
0.46304825,0.3919039,0.07114433,0.455554,0.38922954,0.06632447,203
0.45804834,0.38713965,0.070908755,0.44967374,0.38361037,0.0660634,204
0.4559159,0.3850557,0.07086027,0.44709533,0.3811533,0.06594205,205
0.45241022,0.38169417,0.070716135,0.44439197,0.3789181,0.06547386,206
0.44941986,0.3788714,0.07054845,0.44317946,0.37760255,0.06557693,207
0.44977507,0.3794571,0.070317954,0.4434851,0.37830353,0.065181635,208
0.45096704,0.38051045,0.070456594,0.44398007,0.3781863,0.06579381,209
0.4492032,0.37902555,0.07017759,0.44298103,0.37755543,0.06542564,210
0.44658935,0.37655878,0.07003064,0.4406362,0.37580973,0.06482639,211
0.4436709,0.37381807,0.06985286,0.435364,0.37014624,0.06521776,212
0.44101357,0.37113887,0.06987475,0.4341089,0.36951974,0.06458919,213
0.43909904,0.36940905,0.06968994,0.43046013,0.36593348,0.06452658,214
0.43696594,0.3675257,0.06944024,0.42992616,0.3650209,0.06490525,215
0.43818015,0.368713,0.069467135,0.43157944,0.36710408,0.064475395,216
0.4406575,0.37127814,0.069379315,0.4345145,0.36994746,0.06456702,217
0.4390919,0.36991423,0.06917766,0.43048903,0.3661302,0.06435879,218
0.43533868,0.366333,0.069005676,0.42920825,0.36480755,0.06440069,219
0.43517882,0.36630747,0.06887131,0.4295501,0.36548066,0.06406945,220
0.43439028,0.36552176,0.06886848,0.42765698,0.36342937,0.064227566,221
0.43342507,0.36467305,0.068752035,0.42649692,0.36242014,0.06407676,222
0.43215212,0.363606,0.06854614,0.42652658,0.36277276,0.06375378,223
0.43328682,0.36486426,0.068422526,0.4252197,0.3619088,0.06331094,224
0.4311233,0.36286506,0.068258286,0.4244304,0.36111578,0.06331454,225
0.4316588,0.36327964,0.068379164,0.42522335,0.36181584,0.06340752,226
0.43050835,0.36247113,0.068037204,0.42402223,0.3612489,0.06277331,227
0.42884323,0.36086923,0.067973934,0.42207432,0.35855383,0.06352046,228
0.42851633,0.36060014,0.067916185,0.42231536,0.35944897,0.062866375,229
0.4283592,0.36052743,0.06783182,0.4230095,0.36004728,0.062962204,230
0.42850822,0.3608595,0.0676487,0.42141423,0.35852435,0.062889874,231
0.42545518,0.3578885,0.06756668,0.41715512,0.35466543,0.062489755,232
0.42127296,0.3539383,0.06733463,0.41443524,0.35197002,0.062465232,233
0.4191044,0.3518318,0.06727259,0.41101646,0.34827647,0.06274001,234
0.4176281,0.35051313,0.067115,0.410197,0.34744057,0.06275641,235
0.41642168,0.34931692,0.067104734,0.4086518,0.34651566,0.06213615,236
0.41281426,0.34589586,0.06691835,0.40611285,0.34365538,0.062457453,237
0.41247267,0.34568754,0.066785194,0.40521762,0.34305975,0.062157903,238
0.41187423,0.34517977,0.066694446,0.4049069,0.34316796,0.061738893,239
0.4125994,0.34602737,0.06657199,0.4053635,0.34336984,0.06199364,240
0.41247138,0.3459656,0.066505805,0.40703025,0.34551492,0.061515372,241
0.41210198,0.34570435,0.06639768,0.4056787,0.3438936,0.06178506,242
0.4128998,0.34652922,0.06637058,0.4066871,0.3451197,0.061567307,243
0.4129013,0.34661403,0.06628727,0.406284,0.34493622,0.061347786,244
0.41172987,0.34571686,0.06601295,0.40563402,0.34460127,0.061032675,245
0.40951198,0.34348914,0.06602288,0.40213162,0.3407749,0.061356697,246
0.40893644,0.34312338,0.06581312,0.4025585,0.34179348,0.06076513,247
0.40730911,0.34158784,0.065721266,0.39988056,0.3388322,0.061048366,248
0.4039483,0.33829275,0.06565556,0.3968533,0.33604246,0.06081088,249
0.40258202,0.3371315,0.065450564,0.39597225,0.33537993,0.060592294,250
0.40089738,0.3355398,0.06535764,0.3928821,0.33208546,0.06079663,251
0.39888725,0.33354527,0.06534196,0.3931253,0.33233795,0.060787383,252
0.40111563,0.33589438,0.06522119,0.39490455,0.33455372,0.06035084,253
0.40086728,0.3359004,0.06496689,0.39413747,0.33325252,0.060884982,254
0.40207717,0.33702707,0.06505004,0.39592177,0.33522704,0.060694735,255
0.4013045,0.3363807,0.06492382,0.39579728,0.335611,0.06018629,256
0.40237436,0.33749992,0.06487449,0.39481154,0.33479565,0.0600159,257
0.39910164,0.33430457,0.06479706,0.39225298,0.33196092,0.060292006,258
0.39681563,0.33215374,0.064661875,0.3893142,0.32926363,0.060050625,259
0.3934787,0.32900652,0.06447223,0.38701063,0.32720056,0.059810054,260
0.3964236,0.3318791,0.06454452,0.39086118,0.33051538,0.060345788,261
0.39583808,0.33149943,0.064338654,0.3891232,0.32974225,0.05938094,262
0.3935683,0.32930198,0.0642663,0.38619477,0.32658678,0.05960799,263
0.39296135,0.3289117,0.06404971,0.38644546,0.32715622,0.05928928,264
0.39015982,0.3261082,0.064051636,0.38395935,0.32429433,0.059665028,265
0.38775402,0.3237493,0.06400469,0.38142592,0.32219383,0.05923203,266
0.3883717,0.32443917,0.06393253,0.3818531,0.32256106,0.05929205,267
0.38890183,0.32524198,0.06365987,0.3817552,0.32222828,0.05952694,268
0.3878406,0.324146,0.063694656,0.38274124,0.32318693,0.05955433,269
0.38700548,0.32350424,0.06350124,0.37956643,0.32033762,0.0592288,270
0.38433737,0.32095355,0.06338379,0.37691337,0.31771198,0.059201404,271
0.38209298,0.3186946,0.06339841,0.37510312,0.31594968,0.059153415,272
0.38139743,0.31814334,0.063254066,0.37492296,0.3164494,0.058473587,273
0.37980604,0.31661373,0.06319232,0.37293532,0.31439644,0.058538895,274
0.37929848,0.31619745,0.063101,0.37205482,0.31308952,0.05896525,275
0.3785403,0.31561446,0.06292584,0.37176082,0.31323552,0.058525305,276
0.37869212,0.31568506,0.063007034,0.3728351,0.31437036,0.05846472,277
0.37987933,0.31698462,0.06289464,0.37369743,0.31541923,0.058278196,278
0.38073352,0.3179141,0.06281944,0.37480006,0.31654578,0.058254305,279
0.3799459,0.31729987,0.06264602,0.37382722,0.3153071,0.058520123,280
0.37869465,0.3160895,0.062605135,0.3721129,0.31416288,0.057949986,281
0.37871316,0.31627604,0.062437095,0.37133044,0.31314522,0.05818519,282
0.37558448,0.3132188,0.06236566,0.3697351,0.3120071,0.057728007,283
0.37617317,0.3138735,0.062299564,0.3689097,0.3111213,0.057788327,284
0.37157786,0.30934983,0.06222806,0.36431256,0.30668655,0.05762599,285
0.36983773,0.30784884,0.061988868,0.36238304,0.304899,0.057484023,286
0.3708475,0.30887148,0.061976016,0.36448613,0.30668846,0.057797693,287
0.37151384,0.3097,0.061813794,0.36469483,0.30720624,0.05748858,288
0.3717521,0.30989462,0.06185748,0.3658098,0.30797702,0.05783275,289
0.3701539,0.30838972,0.061764203,0.36307105,0.30562255,0.057448525,290
0.36725914,0.3055974,0.061661776,0.3609485,0.30360323,0.057345264,291
0.36583212,0.30430812,0.061523963,0.35839206,0.3012423,0.057149757,292
0.36373442,0.30232248,0.061411962,0.35708308,0.30002895,0.05705412,293
