,corr,pval,len,sample,impute
353,0.5351115494928362,0.0,4576,SIDM00277,vae_imputed
506,0.5660324129830063,0.0,4504,SIDM00568,mofa_imputed
839,0.5403002476006699,0.0,4568,SIDM00447,mean
524,0.6503257452346061,0.0,2950,SIDM01084,original
525,0.5616603035832722,0.0,4576,SIDM01084,vae_imputed
838,0.6306360254615447,0.0,4568,SIDM00447,mofa_imputed
837,0.6223487192060121,0.0,4568,SIDM00447,vae_imputed
526,0.6002239164477492,0.0,4576,SIDM01084,mofa_imputed
278,0.5835885200778715,0.0,4584,SIDM01090,mofa_imputed
836,0.6698752295043181,0.0,3057,SIDM00447,original
277,0.5794755419493235,0.0,4584,SIDM01090,vae_imputed
276,0.6053836939491636,0.0,3319,SIDM01090,original
150,0.5433550305649346,0.0,4594,SIDM00572,mofa_imputed
822,0.5436818993078094,0.0,4514,SIDM01148,mofa_imputed
274,0.6738227138691031,0.0,4568,SIDM01076,mofa_imputed
814,0.5697155867749734,0.0,4576,SIDM00124,mofa_imputed
813,0.5603503700387067,0.0,4576,SIDM00124,vae_imputed
273,0.6495824992745775,0.0,4568,SIDM01076,vae_imputed
272,0.6989363111740632,0.0,3248,SIDM01076,original
169,0.5350028189572918,0.0,4546,SIDM01056,vae_imputed
170,0.5501271359671821,0.0,4546,SIDM01056,mofa_imputed
529,0.5572232943967987,0.0,4515,SIDM01137,vae_imputed
172,0.6597980002969028,0.0,3664,SIDM00453,original
173,0.6273720883948212,0.0,4557,SIDM00453,vae_imputed
174,0.6293135448123781,0.0,4557,SIDM00453,mofa_imputed
821,0.5441586667732135,0.0,4514,SIDM01148,vae_imputed
175,0.5444227074172502,0.0,4557,SIDM00453,mean
149,0.5451922219044067,0.0,4594,SIDM00572,vae_imputed
285,0.6341678833148809,0.0,4591,SIDM00651,vae_imputed
117,0.5712690339637311,0.0,4568,SIDM00548,vae_imputed
118,0.5788212423532503,0.0,4568,SIDM00548,mofa_imputed
494,0.5541345729330259,0.0,4589,SIDM00541,mofa_imputed
120,0.5965740100399334,0.0,3907,SIDM00940,original
121,0.598241967980035,0.0,4613,SIDM00940,vae_imputed
122,0.5795694741568719,0.0,4613,SIDM00940,mofa_imputed
934,0.5858373398621479,0.0,4507,SIDM00327,mofa_imputed
1162,0.5360041210012795,0.0,4584,SIDM00783,mofa_imputed
125,0.5461400071171727,0.0,4560,SIDM01184,vae_imputed
126,0.5425515093800974,0.0,4560,SIDM01184,mofa_imputed
933,0.536466235308687,0.0,4507,SIDM00327,vae_imputed
284,0.6712423027420451,0.0,3413,SIDM00651,original
932,0.6203851179671079,0.0,3057,SIDM00327,original
505,0.5524452292091935,0.0,4504,SIDM00568,vae_imputed
902,0.5305921716632512,0.0,4586,SIDM00461,mofa_imputed
901,0.534903663712709,0.0,4586,SIDM00461,vae_imputed
878,0.6087850928751835,0.0,4585,SIDM00513,mofa_imputed
136,0.596908084022606,0.0,3473,SIDM00672,original
290,0.5731718243124828,0.0,4564,SIDM00762,mofa_imputed
