,corr,pval,len,sample,impute
129,0.5772261644373043,0.0,4104,SIDM00677,vae_imputed
941,0.6221784530204426,0.0,4097,SIDM00761,vae_imputed
1081,0.5977171388507415,0.0,4063,SIDM00327,vae_imputed
940,0.6587778159395112,0.0,2928,SIDM00761,original
756,0.6724645257302708,0.0,3523,SIDM00453,original
442,0.5537613967455982,0.0,4081,SIDM01056,mofa_imputed
441,0.5602872503424724,0.0,4081,SIDM01056,vae_imputed
149,0.5711177469166184,0.0,4105,SIDM00461,vae_imputed
1034,0.5825838031106807,0.0,4097,SIDM01197,mofa_imputed
757,0.649069721829998,0.0,4091,SIDM00453,vae_imputed
913,0.5654050219363774,0.0,4106,SIDM00572,vae_imputed
758,0.608097985512494,0.0,4091,SIDM00453,mofa_imputed
433,0.5823866818031698,0.0,4097,SIDM00272,vae_imputed
432,0.6112567138412844,0.0,3283,SIDM00272,original
160,0.6115739121993886,0.0,3237,SIDM01090,original
161,0.6011265393738277,0.0,4108,SIDM01090,vae_imputed
162,0.5782423374734588,0.0,4108,SIDM01090,mofa_imputed
914,0.5545821956515141,0.0,4106,SIDM00572,mofa_imputed
1080,0.6298565566131139,0.0,2967,SIDM00327,original
422,0.5515437489923694,0.0,4106,SIDM00522,mofa_imputed
421,0.5744135405281382,0.0,4106,SIDM00522,vae_imputed
759,0.5825170322368441,0.0,4091,SIDM00453,mean
942,0.5962725428187841,0.0,4097,SIDM00761,mofa_imputed
1033,0.6383380197028874,0.0,4097,SIDM01197,vae_imputed
1088,0.7408831549106311,0.0,3146,SIDM00407,original
862,0.6000277188467897,0.0,4106,SIDM00676,mofa_imputed
1032,0.6403334832948465,0.0,3089,SIDM01197,original
1093,0.60647042630885,0.0,4100,SIDM00513,vae_imputed
943,0.566597476937175,0.0,4097,SIDM00761,mean
462,0.5584289303406812,0.0,4105,SIDM00749,mofa_imputed
861,0.649419851943865,0.0,4106,SIDM00676,vae_imputed
116,0.6211278178815689,0.0,3140,SIDM00837,original
117,0.5714950554766167,0.0,4092,SIDM00837,vae_imputed
118,0.5616013512826015,0.0,4092,SIDM00837,mofa_imputed
461,0.5509992321610155,0.0,4105,SIDM00749,vae_imputed
121,0.5570162287625519,0.0,4100,SIDM00130,vae_imputed
457,0.5991099401974002,0.0,4078,SIDM00107,vae_imputed
1092,0.6905225998435808,0.0,3128,SIDM00513,original
910,0.643020552941634,0.0,4101,SIDM00335,mofa_imputed
1091,0.5586464330101345,0.0,4067,SIDM00407,mean
1090,0.6524321566627618,0.0,4067,SIDM00407,mofa_imputed
824,0.6445316915488393,0.0,3061,SIDM00046,original
456,0.5948226385589224,0.0,3632,SIDM00107,original
133,0.5752188449262383,0.0,4103,SIDM01033,vae_imputed
134,0.5921461337757776,0.0,4103,SIDM01033,mofa_imputed
1089,0.731455456357886,0.0,4067,SIDM00407,vae_imputed
414,0.5612999829385508,0.0,4094,SIDM00828,mofa_imputed
413,0.6111395337973476,0.0,4094,SIDM00828,vae_imputed
173,0.6192725505678208,0.0,4067,SIDM01089,vae_imputed
177,0.5734657276820019,0.0,4106,SIDM01096,vae_imputed
221,0.5702938049374295,0.0,4063,SIDM01062,vae_imputed
222,0.590331448147058,0.0,4063,SIDM01062,mofa_imputed
337,0.5926443264428141,0.0,4108,SIDM00920,vae_imputed
336,0.6192992190971189,0.0,3342,SIDM00920,original
927,0.5836722635546839,0.0,4106,SIDM00651,mean
926,0.6027860980166391,0.0,4106,SIDM00651,mofa_imputed
1064,0.7164683964096872,0.0,3124,SIDM01076,original
1065,0.6928453010560198,0.0,4093,SIDM01076,vae_imputed
1066,0.612948853743613,0.0,4093,SIDM01076,mofa_imputed
319,0.5532319675992095,0.0,4093,SIDM01060,mean
318,0.6270702176608868,0.0,4093,SIDM01060,mofa_imputed
317,0.6457123293536161,0.0,4093,SIDM01060,vae_imputed
316,0.671821645728057,0.0,3127,SIDM01060,original
925,0.6687125887382651,0.0,4106,SIDM00651,vae_imputed
924,0.6888645756449174,0.0,3288,SIDM00651,original
817,0.5708762647466508,0.0,4085,SIDM01184,vae_imputed
282,0.599974533597758,0.0,4105,SIDM00124,mofa_imputed
281,0.5796296463432096,0.0,4105,SIDM00124,vae_imputed
253,0.5940908066047981,0.0,4096,SIDM00548,vae_imputed
254,0.587374532431316,0.0,4096,SIDM00548,mofa_imputed
277,0.5538712597545342,0.0,4101,SIDM01111,vae_imputed
794,0.5940599730043808,0.0,4053,SIDM01038,mofa_imputed
1097,0.5824955487848161,0.0,4106,SIDM00405,vae_imputed
793,0.6173041169475155,0.0,4053,SIDM01038,vae_imputed
357,0.6739442479118006,0.0,4093,SIDM00447,vae_imputed
180,0.6728661291999792,0.0,3123,SIDM00772,original
181,0.6516867422692744,0.0,4078,SIDM00772,vae_imputed
182,0.6268667104545402,0.0,4078,SIDM00772,mofa_imputed
183,0.581489646244562,0.0,4078,SIDM00772,mean
393,0.6055573553250577,0.0,4067,SIDM00693,vae_imputed
392,0.6362100664433902,0.0,3155,SIDM00693,original
765,0.5688933901073574,0.0,4093,SIDM00277,vae_imputed
772,0.6462285140207681,0.0,3367,SIDM00401,original
192,0.6550713022453706,0.0,3012,SIDM00435,original
193,0.6205848558341903,0.0,4085,SIDM00435,vae_imputed
194,0.5941665937396725,0.0,4085,SIDM00435,mofa_imputed
