,corr,pval,len,sample,impute
814,0.5543486843024781,0.0,4582,SIDM01030,mofa_imputed
160,0.6666076561317998,0.0,3243,SIDM00772,original
161,0.6105634997903276,0.0,4554,SIDM00772,vae_imputed
162,0.6198695043114563,0.0,4554,SIDM00772,mofa_imputed
163,0.5632034442727181,0.0,4554,SIDM00772,mean
638,0.6102254682978032,0.0,4559,SIDM00589,mofa_imputed
637,0.5759028908169674,0.0,4559,SIDM00589,vae_imputed
636,0.6449396292578021,0.0,2821,SIDM00589,original
631,0.5444227074172503,0.0,4557,SIDM00453,mean
630,0.6101623423337224,0.0,4557,SIDM00453,mofa_imputed
629,0.5991470966799045,0.0,4557,SIDM00453,vae_imputed
159,0.5915000133960354,0.0,4559,SIDM00698,mean
1093,0.5296330374564372,0.0,4585,SIDM00046,vae_imputed
177,0.5384436228133801,0.0,4564,SIDM00762,vae_imputed
181,0.5298242924938563,0.0,4584,SIDM00920,vae_imputed
182,0.5460635071430635,0.0,4584,SIDM00920,mofa_imputed
628,0.6597980002969028,0.0,3664,SIDM00453,original
189,0.5723282069686614,0.0,4515,SIDM01089,vae_imputed
190,0.5728301574150764,0.0,4515,SIDM01089,mofa_imputed
618,0.5598333781745295,0.0,4584,SIDM01090,mofa_imputed
617,0.5484304810036083,0.0,4584,SIDM01090,vae_imputed
616,0.6053836939491637,0.0,3319,SIDM01090,original
206,0.5328756640655209,0.0,4564,SIDM00554,mofa_imputed
1092,0.6349554513623169,0.0,3153,SIDM00046,original
216,0.6282655596728031,0.0,3476,SIDM00401,original
158,0.6832716643425476,0.0,4559,SIDM00698,mofa_imputed
156,0.7415818893935291,0.0,3481,SIDM00698,original
113,0.5529511741092047,0.0,4568,SIDM00548,vae_imputed
114,0.5703255919162983,0.0,4568,SIDM00548,mofa_imputed
698,0.5319181603039832,0.0,4589,SIDM00541,mofa_imputed
1134,0.5459738068004478,0.0,4583,SIDM00865,mofa_imputed
120,0.664237935708107,0.0,3052,SIDM00116,original
121,0.577380409520078,0.0,4546,SIDM00116,vae_imputed
122,0.5958612608838845,0.0,4546,SIDM00116,mofa_imputed
124,0.6125307848965659,0.0,3543,SIDM00239,original
125,0.572198276540436,0.0,4559,SIDM00239,vae_imputed
126,0.583441534784428,0.0,4559,SIDM00239,mofa_imputed
157,0.6690599490495209,0.0,4559,SIDM00698,vae_imputed
694,0.5599570395837485,0.0,4591,SIDM01188,mofa_imputed
134,0.5290330178652504,0.0,4591,SIDM01096,mofa_imputed
1126,0.5946369668118645,0.0,4504,SIDM01038,mofa_imputed
1125,0.5779267284892363,0.0,4504,SIDM01038,vae_imputed
