,corr,pval,len,sample,impute
277,0.5444784928185971,0.0,4584,SIDM00920,vae_imputed
902,0.6160207595728076,0.0,4589,SIDM00676,mofa_imputed
901,0.570592997371072,0.0,4589,SIDM00676,vae_imputed
210,0.5470261222881336,0.0,4589,SIDM00522,mofa_imputed
894,0.577587287428335,0.0,4560,SIDM00435,mofa_imputed
893,0.5781322944143963,0.0,4560,SIDM00435,vae_imputed
892,0.6414547438962703,0.0,3121,SIDM00435,original
891,0.5463690453716827,0.0,4591,SIDM00651,mean
890,0.6281824758642378,0.0,4591,SIDM00651,mofa_imputed
889,0.6065215030295242,0.0,4591,SIDM00651,vae_imputed
888,0.6712423027420449,0.0,3413,SIDM00651,original
886,0.5505614408175636,0.0,4554,SIDM00107,mofa_imputed
885,0.5457427430135554,0.0,4554,SIDM00107,vae_imputed
604,0.6989363111740632,0.0,3248,SIDM01076,original
605,0.6470209424735465,0.0,4568,SIDM01076,vae_imputed
606,0.6299604804200197,0.0,4568,SIDM01076,mofa_imputed
236,0.610854859459707,0.0,3219,SIDM00837,original
494,0.5703255919162984,0.0,4568,SIDM00548,mofa_imputed
493,0.566843978165172,0.0,4568,SIDM00548,vae_imputed
252,0.6203851179671079,0.0,3057,SIDM00327,original
253,0.5637530665884221,0.0,4507,SIDM00327,vae_imputed
254,0.5517215371859274,0.0,4507,SIDM00327,mofa_imputed
260,0.67927902338673,0.0,3212,SIDM00513,original
261,0.5909631297349335,0.0,4585,SIDM00513,vae_imputed
262,0.5872778391327829,0.0,4585,SIDM00513,mofa_imputed
276,0.6036004435022447,0.0,3482,SIDM00920,original
198,0.6521405212561376,0.0,4589,SIDM00081,mofa_imputed
278,0.5460635071430638,0.0,4584,SIDM00920,mofa_imputed
197,0.6387428140281293,0.0,4589,SIDM00081,vae_imputed
190,0.5285418440518875,0.0,4559,SIDM00560,mofa_imputed
1000,0.6053836939491637,0.0,3319,SIDM01090,original
121,0.5542391382929006,0.0,4515,SIDM01137,vae_imputed
122,0.5847934077147733,0.0,4515,SIDM01137,mofa_imputed
128,0.7019721974954223,0.0,2899,SIDM00875,original
129,0.6045352439475706,0.0,4571,SIDM00875,vae_imputed
130,0.6331509836676344,0.0,4571,SIDM00875,mofa_imputed
574,0.5674035627508027,0.0,4515,SIDM00693,mofa_imputed
140,0.5782079691800307,0.0,3657,SIDM00783,original
144,0.6125307848965658,0.0,3543,SIDM00239,original
145,0.5771895477396161,0.0,4559,SIDM00239,vae_imputed
146,0.5834415347844278,0.0,4559,SIDM00239,mofa_imputed
954,0.5280821337393867,0.0,4560,SIDM00318,mofa_imputed
953,0.5399258129472297,0.0,4560,SIDM00318,vae_imputed
951,0.5632034442727183,0.0,4554,SIDM00772,mean
950,0.6198695043114564,0.0,4554,SIDM00772,mofa_imputed
949,0.6025423289156914,0.0,4554,SIDM00772,vae_imputed
948,0.6666076561317997,0.0,3243,SIDM00772,original
166,0.531918160303983,0.0,4589,SIDM00541,mofa_imputed
938,0.5837275115783583,0.0,4504,SIDM01016,mofa_imputed
937,0.5588831779541794,0.0,4504,SIDM01016,vae_imputed
935,0.5915000133960352,0.0,4559,SIDM00698,mean
934,0.6832716643425474,0.0,4559,SIDM00698,mofa_imputed
933,0.6684682931240004,0.0,4559,SIDM00698,vae_imputed
932,0.7415818893935289,0.0,3481,SIDM00698,original
914,0.532875664065521,0.0,4564,SIDM00554,mofa_imputed
196,0.6862830274563596,0.0,3027,SIDM00081,original
1001,0.5526052845921894,0.0,4584,SIDM01090,vae_imputed
284,0.6294729812962515,0.0,3179,SIDM01197,original
286,0.6113083511307418,0.0,4572,SIDM01197,mofa_imputed
776,0.6359510826662339,0.0,3337,SIDM01059,original
666,0.5290330178652505,0.0,4591,SIDM01096,mofa_imputed
459,0.54030024760067,0.0,4568,SIDM00447,mean
726,0.5946369668118645,0.0,4504,SIDM01038,mofa_imputed
725,0.5877803038530799,0.0,4504,SIDM01038,vae_imputed
458,0.5950138963691214,0.0,4568,SIDM00447,mofa_imputed
457,0.6269311589538753,0.0,4568,SIDM00447,vae_imputed
402,0.5787554351289059,0.0,4586,SIDM01033,mofa_imputed
710,0.5311955386447398,0.0,4514,SIDM01148,mofa_imputed
408,0.6583311319116113,0.0,3314,SIDM00335,original
409,0.5889220403295193,0.0,4575,SIDM00335,vae_imputed
410,0.629171074496934,0.0,4575,SIDM00335,mofa_imputed
456,0.669875229504318,0.0,3057,SIDM00447,original
676,0.5965740100399334,0.0,3907,SIDM00940,original
677,0.5622566803217817,0.0,4613,SIDM00940,vae_imputed
678,0.5600587435167769,0.0,4613,SIDM00940,mofa_imputed
416,0.6003160440677401,0.0,3398,SIDM00272,original
417,0.5344522115744633,0.0,4572,SIDM00272,vae_imputed
418,0.563513318955238,0.0,4572,SIDM00272,mofa_imputed
420,0.7020830311664444,0.0,3090,SIDM00607,original
421,0.6232295575063972,0.0,4504,SIDM00607,vae_imputed
422,0.6252052164094186,0.0,4504,SIDM00607,mofa_imputed
692,0.650325745234606,0.0,2950,SIDM01084,original
694,0.5575352991295401,0.0,4576,SIDM01084,mofa_imputed
693,0.5432963378447726,0.0,4576,SIDM01084,vae_imputed
777,0.5666778373768919,0.0,4583,SIDM01059,vae_imputed
285,0.5995473834566901,0.0,4572,SIDM01197,vae_imputed
778,0.5903610898811956,0.0,4583,SIDM01059,mofa_imputed
354,0.6585532360858408,0.0,4515,SIDM00407,mofa_imputed
482,0.5434838695101627,0.0,4575,SIDM00713,mofa_imputed
481,0.5370345253295257,0.0,4575,SIDM00713,vae_imputed
297,0.5458136288087369,0.0,4564,SIDM00762,vae_imputed
301,0.5525931017422324,0.0,4504,SIDM00568,vae_imputed
302,0.5362294330777124,0.0,4504,SIDM00568,mofa_imputed
653,0.560005371363776,0.0,4514,SIDM01139,vae_imputed
810,0.6250317936244588,0.0,4529,SIDM00505,mofa_imputed
809,0.5991792627980627,0.0,4529,SIDM00505,vae_imputed
808,0.6427293348697198,0.0,3187,SIDM00505,original
316,0.5969080840226061,0.0,3473,SIDM00672,original
654,0.5852369087866808,0.0,4514,SIDM01139,mofa_imputed
329,0.5476086668644884,0.0,4576,SIDM00124,vae_imputed
330,0.5541942236878323,0.0,4576,SIDM00124,mofa_imputed
806,0.6191977728012539,0.0,4560,SIDM00611,mofa_imputed
805,0.6139359216176912,0.0,4560,SIDM00611,vae_imputed
804,0.6709318732392505,0.0,2952,SIDM00611,original
665,0.5265725990908268,0.0,4591,SIDM01096,vae_imputed
798,0.5744980615889492,0.0,4576,SIDM00828,mofa_imputed
342,0.5543486843024781,0.0,4582,SIDM01030,mofa_imputed
797,0.5657560699827888,0.0,4576,SIDM00828,vae_imputed
787,0.5444227074172505,0.0,4557,SIDM00453,mean
786,0.6101623423337222,0.0,4557,SIDM00453,mofa_imputed
785,0.6121936044189824,0.0,4557,SIDM00453,vae_imputed
352,0.723887459624554,0.0,3290,SIDM00407,original
353,0.6599465595075601,0.0,4515,SIDM00407,vae_imputed
784,0.6597980002969029,0.0,3664,SIDM00453,original
1002,0.5598333781745296,0.0,4584,SIDM01090,mofa_imputed
884,0.5762639034646589,0.0,3810,SIDM00107,original
561,0.577338962356902,0.0,4559,SIDM00589,vae_imputed
102,0.567746080508775,0.0,4572,SIDM00761,mofa_imputed
62,0.5596949675887993,0.0,4507,SIDM01062,mofa_imputed
1113,0.6169095119127258,0.0,4568,SIDM01060,vae_imputed
560,0.6449396292578022,0.0,2821,SIDM00589,original
64,0.7103722390913589,0.0,3157,SIDM00898,original
82,0.5359099045884865,0.0,4591,SIDM00749,mofa_imputed
101,0.5849762478333932,0.0,4572,SIDM00761,vae_imputed
100,0.6465311087384319,0.0,2993,SIDM00761,original
1028,0.6349554513623168,0.0,3153,SIDM00046,original
1029,0.529595346036552,0.0,4585,SIDM00046,vae_imputed
103,0.5322915409276221,0.0,4572,SIDM00761,mean
65,0.619107241655962,0.0,4560,SIDM00898,vae_imputed
66,0.6133995591593024,0.0,4560,SIDM00898,mofa_imputed
67,0.5618061992492464,0.0,4560,SIDM00898,mean
1138,0.5561608836293542,0.0,4515,SIDM00996,mofa_imputed
570,0.5728301574150765,0.0,4515,SIDM01089,mofa_imputed
573,0.570176628151298,0.0,4515,SIDM00693,vae_imputed
1044,0.628265559672803,0.0,3476,SIDM00401,original
1045,0.5926272048545753,0.0,4576,SIDM00401,vae_imputed
1112,0.6617939171893192,0.0,3203,SIDM01060,original
1137,0.5485827859328118,0.0,4515,SIDM00996,vae_imputed
42,0.5599570395837483,0.0,4591,SIDM01188,mofa_imputed
569,0.5846886363611579,0.0,4515,SIDM01089,vae_imputed
9,0.5398041781313212,0.0,4591,SIDM00405,vae_imputed
1046,0.5867137521864112,0.0,4576,SIDM00401,mofa_imputed
1022,0.5304981543755858,0.0,4582,SIDM00677,mofa_imputed
61,0.5337543398310358,0.0,4507,SIDM01062,vae_imputed
1114,0.6086378876780358,0.0,4568,SIDM01060,mofa_imputed
572,0.6228726047705633,0.0,3220,SIDM00693,original
1062,0.5958612608838845,0.0,4546,SIDM00116,mofa_imputed
1061,0.5806416726970686,0.0,4546,SIDM00116,vae_imputed
1060,0.664237935708107,0.0,3052,SIDM00116,original
1134,0.5459738068004477,0.0,4583,SIDM00865,mofa_imputed
1021,0.5298432922020335,0.0,4582,SIDM00677,vae_imputed
562,0.6102254682978029,0.0,4559,SIDM00589,mofa_imputed
900,0.7183371768126213,1.1e-322,2035,SIDM00676,original
709,0.5275234362105203,6.8e-322,4514,SIDM01148,vae_imputed
793,0.52360977238457,6.8e-322,4594,SIDM00572,vae_imputed
209,0.5235827991307749,1.66e-321,4589,SIDM00522,vae_imputed
296,0.6361322201546077,1.2915e-320,2828,SIDM00762,original
1106,0.5230959086118186,1.573e-320,4585,SIDM00130,mofa_imputed
238,0.5243430205510495,1.662e-320,4559,SIDM00837,mofa_imputed
317,0.5225308812532177,5.8689e-319,4574,SIDM00672,vae_imputed
165,0.5214618198799741,1.811847e-318,4589,SIDM00541,vae_imputed
586,0.5227922723483718,2.32456e-318,4560,SIDM01184,mofa_imputed
796,0.6173823980077318,2.52338e-318,3034,SIDM00828,original
807,0.5225375520985985,5.359733e-318,4560,SIDM00611,mean
1115,0.5215287035877993,4.085014e-317,4568,SIDM01060,mean
142,0.5207460042241514,4.192642e-317,4584,SIDM00783,mofa_imputed
1047,0.5210724686875148,5.1108176e-317,4576,SIDM00401,mean
22,0.5205730528431947,5.383943e-317,4586,SIDM00461,mofa_imputed
837,0.5205307852951687,1.59674527e-316,4580,SIDM00799,vae_imputed
298,0.5209882673714935,4.5073533e-316,4564,SIDM00762,mofa_imputed
406,0.5199487599131732,1.71631619e-315,4577,SIDM00856,mofa_imputed
568,0.6287863789140213,1.765550206e-315,2868,SIDM01089,original
1010,0.5195624635823826,8.2841074e-315,4575,SIDM01111,mofa_imputed
20,0.6071916029910555,9.1040441e-315,3130,SIDM00461,original
21,0.5188030276032978,1.743503978e-314,4586,SIDM00461,vae_imputed
689,0.5194929331954434,1.10100987523e-313,4560,SIDM01082,vae_imputed
237,0.5186275632598755,2.126460938557e-312,4559,SIDM00837,vae_imputed
745,0.5175393867645525,2.697611409706e-312,4580,SIDM01172,vae_imputed
794,0.5163557373445063,1.408698512557e-311,4594,SIDM00572,mofa_imputed
779,0.5166368827420238,3.131828324312e-311,4583,SIDM01059,mean
690,0.5169758358067537,3.75143574364256e-310,4560,SIDM01082,mofa_imputed
585,0.5169426152944772,4.17464508978814e-310,4560,SIDM01184,vae_imputed
1133,0.5158324155761108,4.19652893263427e-310,4583,SIDM00865,vae_imputed
1009,0.5160298209834028,7.6713371064914e-310,4575,SIDM01111,vae_imputed
952,0.5875842076470962,3.794630000228683e-309,3338,SIDM00318,original
341,0.5147192022658261,1.7556807358854956e-308,4582,SIDM01030,vae_imputed
1078,0.5146640826678881,5.277941528248391e-308,4576,SIDM00277,mofa_imputed
814,0.5154751996603955,4.0332326486758685e-307,4546,SIDM01056,mofa_imputed
936,0.6094268069341476,4.152527003548748e-307,3025,SIDM01016,original
906,0.5132143280418459,5.477932863028118e-307,4591,SIDM01147,mofa_imputed
1150,0.5137996142866279,8.388951188488924e-307,4576,SIDM00486,mofa_imputed
530,0.5131600980469818,8.84668342072912e-307,4589,SIDM00649,mofa_imputed
1077,0.513327542748049,3.786376213871002e-306,4576,SIDM00277,vae_imputed
767,0.512772381963336,1.2062678592117e-305,4580,SIDM00893,mean
1052,0.5697109000754396,1.8989904434183378e-305,3559,SIDM00247,original
1136,0.5652369321067673,3.518708926114198e-305,3625,SIDM00996,original
1054,0.5130396062001908,1.2744383267022637e-304,4559,SIDM00247,mofa_imputed
230,0.5120500320612518,4.728044223383976e-304,4571,SIDM00485,mofa_imputed
813,0.5132099757717334,5.418527150866994e-304,4546,SIDM01056,vae_imputed
765,0.5104797512627061,1.7474218492350193e-302,4580,SIDM00893,vae_imputed
838,0.5102885063545358,3.1987820103403596e-302,4580,SIDM00799,mofa_imputed
480,0.595661092263694,3.4516206162228063e-302,3153,SIDM00713,original
141,0.509820057790009,7.68861123768598e-302,4584,SIDM00783,vae_imputed
287,0.5102639823429086,1.1560180427745451e-301,4572,SIDM01197,mean
905,0.5090266119766717,3.2851400206627908e-301,4591,SIDM01147,vae_imputed
206,0.5092250965376429,3.7210200169361426e-301,4586,SIDM00779,mofa_imputed
548,0.580879966378414,1.5841503621746088e-300,3338,SIDM00919,original
41,0.5065895009408559,6.952680639679437e-298,4591,SIDM01188,vae_imputed
1053,0.5079614304927663,1.1186048692757534e-297,4559,SIDM00247,vae_imputed
38,0.5053302204181626,3.54784400160107e-296,4591,SIDM00457,mofa_imputed
1162,0.5062893630938347,5.37098227981304e-296,4568,SIDM01124,mofa_imputed
1042,0.5055976216740834,1.4132148253988758e-295,4576,SIDM00139,mofa_imputed
812,0.5941659661893712,2.7441949033922903e-295,3100,SIDM01056,original
701,0.5044447708601362,1.3470647971416441e-294,4585,SIDM00426,vae_imputed
58,0.5055977381628551,2.3385907544217255e-294,4557,SIDM00586,mofa_imputed
698,0.5043611809351559,2.7125844926675252e-294,4582,SIDM00660,mofa_imputed
724,0.6120627477015831,5.885286606574512e-294,2863,SIDM01038,original
758,0.5036002400616008,2.8612961432562026e-293,4582,SIDM00336,mofa_imputed
529,0.5029096352475368,8.697242406873239e-293,4589,SIDM00649,vae_imputed
830,0.5023579057450926,3.569872961594141e-292,4591,SIDM00629,mofa_imputed
549,0.5028515214341649,9.280036219789413e-292,4574,SIDM00919,vae_imputed
1031,0.5020282934168493,2.3589913857069017e-291,4585,SIDM00046,mean
355,0.5053552394244866,2.433849117679646e-291,4515,SIDM00407,mean
445,0.5016727494324361,4.557455713674001e-291,4588,SIDM01112,vae_imputed
652,0.5904716264500854,4.977127137190517e-291,3103,SIDM01139,original
1030,0.5017092878038996,6.29419932400616e-291,4585,SIDM00046,mofa_imputed
697,0.5017146206303561,9.568918133233233e-291,4582,SIDM00660,vae_imputed
