,corr,pval,len,sample,impute
250,0.5285418440518876,0.0,4559,SIDM00560,mofa_imputed
921,0.5476179574601148,0.0,4582,SIDM01030,vae_imputed
616,0.6349554513623169,0.0,3153,SIDM00046,original
197,0.570025373790587,0.0,4515,SIDM01089,vae_imputed
198,0.5728301574150766,0.0,4515,SIDM01089,mofa_imputed
914,0.5852369087866808,0.0,4514,SIDM01139,mofa_imputed
913,0.581141049715067,0.0,4514,SIDM01139,vae_imputed
617,0.5295507536483733,0.0,4585,SIDM00046,vae_imputed
209,0.5253076764135288,0.0,4591,SIDM00405,vae_imputed
890,0.5280821337393868,0.0,4560,SIDM00318,mofa_imputed
889,0.5343942123155282,0.0,4560,SIDM00318,vae_imputed
922,0.5543486843024781,0.0,4582,SIDM01030,mofa_imputed
886,0.6299604804200198,0.0,4568,SIDM01076,mofa_imputed
884,0.6989363111740633,0.0,3248,SIDM01076,original
878,0.6521405212561375,0.0,4589,SIDM00081,mofa_imputed
229,0.5521723094903257,0.0,4515,SIDM00996,vae_imputed
230,0.5561608836293541,0.0,4515,SIDM00996,mofa_imputed
877,0.6492147159856433,0.0,4589,SIDM00081,vae_imputed
876,0.6862830274563594,0.0,3027,SIDM00081,original
866,0.5575352991295403,0.0,4576,SIDM01084,mofa_imputed
865,0.5428682554996698,0.0,4576,SIDM01084,vae_imputed
864,0.6503257452346058,0.0,2950,SIDM01084,original
851,0.5915000133960352,0.0,4559,SIDM00698,mean
885,0.6244496294216246,0.0,4568,SIDM01076,vae_imputed
187,0.5403002476006699,0.0,4568,SIDM00447,mean
186,0.5950138963691215,0.0,4568,SIDM00447,mofa_imputed
185,0.6056288329181131,0.0,4568,SIDM00447,vae_imputed
1009,0.5268857888672139,0.0,4583,SIDM00865,vae_imputed
998,0.5311955386447396,0.0,4514,SIDM01148,mofa_imputed
997,0.5343883305672498,0.0,4514,SIDM01148,vae_imputed
437,0.534003366009925,0.0,4564,SIDM00762,vae_imputed
144,0.7020830311664443,0.0,3090,SIDM00607,original
145,0.6266024476712787,0.0,4504,SIDM00607,vae_imputed
146,0.6252052164094186,0.0,4504,SIDM00607,mofa_imputed
971,0.5632034442727182,0.0,4554,SIDM00772,mean
970,0.6198695043114562,0.0,4554,SIDM00772,mofa_imputed
969,0.6111163290486873,0.0,4554,SIDM00772,vae_imputed
156,0.6414547438962701,0.0,3121,SIDM00435,original
157,0.5698433718208189,0.0,4560,SIDM00435,vae_imputed
158,0.5775872874283348,0.0,4560,SIDM00435,mofa_imputed
968,0.6666076561317997,0.0,3243,SIDM00772,original
1162,0.629171074496934,0.0,4575,SIDM00335,mofa_imputed
430,0.5596949675887994,0.0,4507,SIDM01062,mofa_imputed
164,0.6792790233867301,0.0,3212,SIDM00513,original
165,0.5725465701486788,0.0,4585,SIDM00513,vae_imputed
166,0.587277839132783,0.0,4585,SIDM00513,mofa_imputed
950,0.608637887678036,0.0,4568,SIDM01060,mofa_imputed
949,0.5959846342547427,0.0,4568,SIDM01060,vae_imputed
948,0.6617939171893195,0.0,3203,SIDM01060,original
184,0.6698752295043181,0.0,3057,SIDM00447,original
850,0.6832716643425474,0.0,4559,SIDM00698,mofa_imputed
849,0.6656201534118115,0.0,4559,SIDM00698,vae_imputed
848,0.7415818893935291,0.0,3481,SIDM00698,original
847,0.5322915409276219,0.0,4572,SIDM00761,mean
755,0.5618061992492464,0.0,4560,SIDM00898,mean
754,0.6133995591593024,0.0,4560,SIDM00898,mofa_imputed
753,0.5892398027947608,0.0,4560,SIDM00898,vae_imputed
752,0.710372239091359,0.0,3157,SIDM00898,original
681,0.6233026901838301,0.0,4591,SIDM00651,vae_imputed
746,0.6250317936244589,0.0,4529,SIDM00505,mofa_imputed
745,0.6086248924404515,0.0,4529,SIDM00505,vae_imputed
682,0.6281824758642376,0.0,4591,SIDM00651,mofa_imputed
744,0.64272933486972,0.0,3187,SIDM00505,original
738,0.5470261222881335,0.0,4589,SIDM00522,mofa_imputed
325,0.5634806780856506,0.0,4515,SIDM01137,vae_imputed
326,0.5847934077147733,0.0,4515,SIDM01137,mofa_imputed
737,0.5373315423151369,0.0,4589,SIDM00522,vae_imputed
683,0.5463690453716827,0.0,4591,SIDM00651,mean
692,0.5965740100399334,0.0,3907,SIDM00940,original
693,0.5728502662836473,0.0,4613,SIDM00940,vae_imputed
332,0.6709318732392505,0.0,2952,SIDM00611,original
333,0.6118242831017606,0.0,4560,SIDM00611,vae_imputed
334,0.6191977728012539,0.0,4560,SIDM00611,mofa_imputed
694,0.5600587435167769,0.0,4613,SIDM00940,mofa_imputed
726,0.5434838695101631,0.0,4575,SIDM00713,mofa_imputed
725,0.5496322488770542,0.0,4575,SIDM00713,vae_imputed
346,0.5359099045884869,0.0,4591,SIDM00749,mofa_imputed
680,0.6712423027420451,0.0,3413,SIDM00651,original
1010,0.5459738068004477,0.0,4583,SIDM00865,mofa_imputed
372,0.6282655596728031,0.0,3476,SIDM00401,original
374,0.5867137521864112,0.0,4576,SIDM00401,mofa_imputed
