,corr,pval,len,sample,impute
689,0.59583161521468,0.0,4097,SIDM01089,vae_imputed
102,0.5771527648452964,0.0,4138,SIDM01090,mofa_imputed
101,0.5822024445408451,0.0,4138,SIDM01090,vae_imputed
100,0.6111496301876668,0.0,3241,SIDM01090,original
706,0.6259032713001222,0.0,4096,SIDM00505,mofa_imputed
725,0.5500328272534626,0.0,4129,SIDM00865,vae_imputed
429,0.6303453744864851,0.0,4129,SIDM00335,vae_imputed
428,0.6777432699488862,0.0,3199,SIDM00335,original
425,0.5748348515926891,0.0,4106,SIDM00107,vae_imputed
736,0.6105840927863,0.0,3289,SIDM00272,original
424,0.5937229785947851,0.0,3642,SIDM00107,original
161,0.5824883646275826,0.0,4095,SIDM01139,vae_imputed
91,0.6015832557025903,0.0,4119,SIDM00898,mean
90,0.596356195392979,0.0,4119,SIDM00898,mofa_imputed
89,0.6347807201382614,0.0,4119,SIDM00898,vae_imputed
88,0.7232148823699598,0.0,3080,SIDM00898,original
746,0.5863260791386097,0.0,4091,SIDM01062,mofa_imputed
162,0.584149260792232,0.0,4095,SIDM01139,mofa_imputed
169,0.5876918908149757,0.0,4129,SIDM00513,vae_imputed
835,0.5520055112585704,0.0,4122,SIDM01060,mean
834,0.6261505051035052,0.0,4122,SIDM01060,mofa_imputed
833,0.6052044124052748,0.0,4122,SIDM01060,vae_imputed
832,0.6714921068497093,0.0,3129,SIDM01060,original
168,0.6897596111935425,0.0,3136,SIDM00513,original
705,0.6164250267807215,0.0,4096,SIDM00505,vae_imputed
810,0.5921949164242769,0.0,4083,SIDM01038,mofa_imputed
408,0.6362545681411009,0.0,3423,SIDM00239,original
409,0.612607466789544,0.0,4117,SIDM00239,vae_imputed
410,0.5690768804405912,0.0,4117,SIDM00239,mofa_imputed
778,0.5583104234777245,0.0,4124,SIDM00828,mofa_imputed
777,0.5916958499177037,0.0,4124,SIDM00828,vae_imputed
411,0.554039659218589,0.0,4117,SIDM00239,mean
809,0.5881017883091473,0.0,4083,SIDM01038,vae_imputed
399,0.5786729096908775,0.0,4121,SIDM00453,mean
704,0.6497415453725922,0.0,3116,SIDM00505,original
480,0.6461687141402078,0.0,3248,SIDM01059,original
556,0.6547332825783307,0.0,3016,SIDM00435,original
557,0.5990734649284265,0.0,4115,SIDM00435,vae_imputed
558,0.5914500917845819,0.0,4115,SIDM00435,mofa_imputed
520,0.6755148493400223,0.0,2891,SIDM00611,original
584,0.6400771289870839,0.0,3100,SIDM01197,original
585,0.6331657431320491,0.0,4127,SIDM01197,vae_imputed
586,0.5822987926745689,0.0,4127,SIDM01197,mofa_imputed
514,0.6100558547578739,0.0,4122,SIDM01076,mofa_imputed
594,0.5585303787537964,0.0,4135,SIDM00749,mofa_imputed
601,0.5544299340731772,0.0,4097,SIDM01137,vae_imputed
602,0.5560357012030517,0.0,4097,SIDM01137,mofa_imputed
126,0.591197124972991,0.0,4133,SIDM01033,mofa_imputed
624,0.6721580285543955,0.0,3133,SIDM00772,original
625,0.6394602115377483,0.0,4106,SIDM00772,vae_imputed
123,0.5638835981118157,0.0,4127,SIDM00761,mean
122,0.5939858137129811,0.0,4127,SIDM00761,mofa_imputed
121,0.5941718246938126,0.0,4127,SIDM00761,vae_imputed
481,0.5895954340634627,0.0,4129,SIDM01059,vae_imputed
482,0.5788200701051465,0.0,4129,SIDM01059,mofa_imputed
508,0.6436327426385635,0.0,3072,SIDM00046,original
512,0.7154816620170348,0.0,3130,SIDM01076,original
640,0.5938899306861376,0.0,3442,SIDM00247,original
513,0.6779072943068649,0.0,4122,SIDM01076,vae_imputed
430,0.6409059280246254,0.0,4129,SIDM00335,mofa_imputed
113,0.6132673986526301,0.0,4083,SIDM01016,vae_imputed
627,0.5798461837624066,0.0,4106,SIDM00772,mean
116,0.6443991597005752,0.0,2768,SIDM00762,original
117,0.5610820367991558,0.0,4124,SIDM00762,vae_imputed
118,0.5828320854954283,0.0,4124,SIDM00762,mofa_imputed
626,0.6246583462635144,0.0,4106,SIDM00772,mofa_imputed
120,0.6576706831381386,0.0,2935,SIDM00761,original
114,0.573883875214322,0.0,4083,SIDM01016,mofa_imputed
398,0.6042212608584107,0.0,4121,SIDM00453,mofa_imputed
397,0.6295495050188885,0.0,4121,SIDM00453,vae_imputed
396,0.6712104951278427,0.0,3535,SIDM00453,original
317,0.5921242591831319,0.0,4150,SIDM00940,vae_imputed
316,0.6217578737022162,0.0,3733,SIDM00940,original
300,0.6067683569325677,0.0,3366,SIDM00672,original
297,0.5615867931029752,0.0,4138,SIDM01030,vae_imputed
1100,0.6528613556442736,0.0,2764,SIDM00589,original
1101,0.6112371340017964,0.0,4120,SIDM00589,vae_imputed
1102,0.6150501673686786,0.0,4120,SIDM00589,mofa_imputed
200,0.7156853895043767,0.0,2836,SIDM00875,original
1109,0.5862185968001749,0.0,4126,SIDM00548,vae_imputed
1110,0.5852979341365551,0.0,4126,SIDM00548,mofa_imputed
1116,0.6874565381535767,0.0,3295,SIDM00651,original
1117,0.6406573210459097,0.0,4136,SIDM00651,vae_imputed
19,0.6279831688341558,0.0,4117,SIDM00698,mean
18,0.6782129130654052,0.0,4117,SIDM00698,mofa_imputed
17,0.6957093365745686,0.0,4117,SIDM00698,vae_imputed
16,0.7560272376077598,0.0,3336,SIDM00698,original
201,0.6567937214715622,0.0,4123,SIDM00875,vae_imputed
1,0.5496945023743096,0.0,4134,SIDM00677,vae_imputed
232,0.6206647169034231,0.0,3146,SIDM00837,original
1158,0.6649554517952324,0.0,4135,SIDM00081,mofa_imputed
4,0.6177826971757502,0.0,3350,SIDM00920,original
5,0.5642726232888655,0.0,4138,SIDM00920,vae_imputed
233,0.5589417422042264,0.0,4120,SIDM00837,vae_imputed
32,0.655277972238817,0.0,2884,SIDM01084,original
1157,0.6582900133666966,0.0,4135,SIDM00081,vae_imputed
234,0.5595002012499652,0.0,4120,SIDM00837,mofa_imputed
1119,0.578187783238826,0.0,4136,SIDM00651,mean
1118,0.5993423546257962,0.0,4136,SIDM00651,mofa_imputed
12,0.6345253742860004,0.0,3158,SIDM00693,original
13,0.5930468416271887,0.0,4097,SIDM00693,vae_imputed
202,0.641795392523395,0.0,4123,SIDM00875,mofa_imputed
1156,0.698898746875887,0.0,2935,SIDM00081,original
33,0.5851668427599362,0.0,4122,SIDM01084,vae_imputed
34,0.5638535477736891,0.0,4122,SIDM01084,mofa_imputed
318,0.551551840541456,0.0,4150,SIDM00940,mofa_imputed
54,0.5995656688277026,0.0,4133,SIDM00124,mofa_imputed
954,0.6483182718129422,0.0,4097,SIDM00407,mofa_imputed
953,0.709767731388695,0.0,4097,SIDM00407,vae_imputed
57,0.5566496785850394,0.0,4136,SIDM00405,vae_imputed
952,0.7398788396257202,0.0,3153,SIDM00407,original
945,0.5636179471399149,0.0,4129,SIDM00713,vae_imputed
53,0.5574008534653193,0.0,4133,SIDM00124,vae_imputed
365,0.6276690262037175,0.0,4133,SIDM00401,vae_imputed
881,0.5575841563242567,0.0,4135,SIDM00522,vae_imputed
866,0.6315671937433657,0.0,4083,SIDM00607,mofa_imputed
865,0.6394211009772042,0.0,4083,SIDM00607,vae_imputed
864,0.7102529781317704,0.0,2993,SIDM00607,original
366,0.5973035428494566,0.0,4133,SIDM00401,mofa_imputed
367,0.562270533343276,0.0,4133,SIDM00401,mean
882,0.5491430692677794,0.0,4135,SIDM00522,mofa_imputed
521,0.627395730549481,0.0,4119,SIDM00611,vae_imputed
955,0.554881111120663,0.0,4097,SIDM00407,mean
969,0.5825761505182309,0.0,4091,SIDM00327,vae_imputed
344,0.6669680205110546,0.0,2966,SIDM00116,original
1089,0.5702484753158347,0.0,4097,SIDM00996,vae_imputed
345,0.6004608167449991,0.0,4110,SIDM00116,vae_imputed
1042,0.5518461557278052,0.0,4136,SIDM00572,mofa_imputed
346,0.6230381057992264,0.0,4110,SIDM00116,mofa_imputed
356,0.5992039966155599,0.0,3536,SIDM00783,original
968,0.6285908181744532,0.0,2975,SIDM00327,original
998,0.5975664088726481,0.0,4135,SIDM00676,mofa_imputed
357,0.5632016382858118,0.0,4138,SIDM00783,vae_imputed
979,0.5620410654257872,0.0,4122,SIDM00447,mean
978,0.6251244774796231,0.0,4122,SIDM00447,mofa_imputed
977,0.6671429906695732,0.0,4122,SIDM00447,vae_imputed
976,0.6764218754717602,0.0,2964,SIDM00447,original
364,0.644597359516556,0.0,3373,SIDM00401,original
997,0.5700541806186246,0.0,4135,SIDM00676,vae_imputed
522,0.5869407392035674,0.0,4119,SIDM00611,mofa_imputed
210,0.5501504808255472,1e-323,4110,SIDM01056,mofa_imputed
996,0.7234680604096099,3e-323,1996,SIDM00676,original
841,0.5485930711907853,1.9e-322,4119,SIDM00318,vae_imputed
776,0.6230261996993566,8.41e-321,2987,SIDM00828,original
173,0.5475316976598879,1.167e-320,4115,SIDM01184,vae_imputed
483,0.5467164520664602,1.332e-320,4129,SIDM01059,mean
861,0.5483714856845185,2.39236e-319,4083,SIDM00568,vae_imputed
29,0.5442106111613096,1.201538e-317,4136,SIDM01147,vae_imputed
253,0.5441836272280721,1.561436e-317,4135,SIDM00649,vae_imputed
641,0.5442770072467638,1.6178384e-316,4120,SIDM00247,vae_imputed
730,0.5433233697879108,2.04297814e-316,4136,SIDM01096,mofa_imputed
850,0.543363424476582,2.1420217e-316,4135,SIDM00541,mofa_imputed
737,0.543222628032714,1.360266546e-315,4127,SIDM00272,vae_imputed
745,0.5448559834372556,4.230439583e-315,4091,SIDM01062,vae_imputed
321,0.542052386424952,5.810473336e-315,4140,SIDM00799,vae_imputed
209,0.5434541019934184,1.2788906683e-314,4110,SIDM01056,vae_imputed
417,0.5434074495340766,2.0501199873e-313,4095,SIDM01148,vae_imputed
1088,0.57866990230113,8.60480758955e-313,3508,SIDM00996,original
523,0.5415925761110291,9.6082742921e-313,4119,SIDM00611,mean
688,0.6317057126601153,1.5697215196e-312,2807,SIDM01089,original
112,0.6202702297217366,4.100403965147e-312,2939,SIDM01016,original
426,0.541644267947311,7.81152379529e-312,4106,SIDM00107,mofa_imputed
801,0.5410855222235598,9.51410505324e-312,4115,SIDM01082,vae_imputed
668,0.5947351164317258,5.584937941801e-311,3258,SIDM00919,original
1125,0.5393820383992697,7.6139523987875e-311,4134,SIDM00336,vae_imputed
369,0.5391774396743396,1.44866881777135e-310,4134,SIDM00660,vae_imputed
1092,0.6119840993603436,5.68074477429136e-310,3021,SIDM00461,original
170,0.5378904737602301,1.926934603184169e-308,4129,SIDM00513,mofa_imputed
509,0.5377464652011503,3.021992404586211e-308,4129,SIDM00046,vae_imputed
2,0.5368547016326007,2.0843078881068442e-307,4134,SIDM00677,mofa_imputed
254,0.5367272361352748,2.616458546660977e-307,4135,SIDM00649,mofa_imputed
322,0.5359557570896644,1.2389351855776907e-306,4140,SIDM00799,mofa_imputed
645,0.5368795264213881,1.761384731239049e-306,4121,SIDM00841,vae_imputed
1090,0.5381627589045733,1.963053474600452e-306,4097,SIDM00996,mofa_imputed
14,0.5380304980454429,2.959323843066624e-306,4097,SIDM00693,mofa_imputed
840,0.591001097958674,1.1060322024453202e-305,3253,SIDM00318,original
298,0.5349559313680472,3.8833584613106073e-305,4138,SIDM01030,mofa_imputed
160,0.6082031423224683,4.733149261962201e-305,3020,SIDM01139,original
1041,0.5348028180879062,8.745946681063682e-305,4136,SIDM00572,vae_imputed
785,0.5340671063944487,4.352035181305953e-304,4140,SIDM01172,vae_imputed
729,0.5331250680451468,1.5597400524858244e-302,4136,SIDM01096,vae_imputed
15,0.5346804089999362,9.121006330472256e-302,4097,SIDM00693,mean
587,0.5328707071481777,1.5363251366460378e-301,4127,SIDM01197,mean
30,0.5322147413272196,2.56593600201229e-301,4136,SIDM01147,mofa_imputed
559,0.5333219960289789,2.862457937776396e-301,4115,SIDM00435,mean
944,0.600228369772199,5.090953561576759e-301,3081,SIDM00713,original
341,0.5318404519237179,2.5939301605744717e-300,4129,SIDM01111,vae_imputed
726,0.5313797750851811,1.0621721006650718e-299,4129,SIDM00865,mofa_imputed
970,0.5329949950774057,4.315485427402408e-299,4091,SIDM00327,mofa_imputed
857,0.5303747842884124,8.469745450520896e-299,4135,SIDM01188,vae_imputed
1093,0.5300360098419135,2.807375797550876e-298,4134,SIDM00461,vae_imputed
770,0.5304475513394108,3.5434367119796386e-298,4125,SIDM00856,mofa_imputed
