,corr,pval,len,sample,impute
546,0.5541942236878323,0.0,4576,SIDM00124,mofa_imputed
725,0.5734030096047728,0.0,4504,SIDM01016,vae_imputed
346,0.5285418440518874,0.0,4559,SIDM00560,mofa_imputed
837,0.556939664962297,0.0,4515,SIDM00996,vae_imputed
838,0.5561608836293542,0.0,4515,SIDM00996,mofa_imputed
726,0.5837275115783584,0.0,4504,SIDM01016,mofa_imputed
129,0.5325455964703217,0.0,4564,SIDM00762,vae_imputed
790,0.5787554351289061,0.0,4586,SIDM01033,mofa_imputed
132,0.6036004435022448,0.0,3482,SIDM00920,original
353,0.5601421789871898,0.0,4515,SIDM01137,vae_imputed
133,0.5446686763569312,0.0,4584,SIDM00920,vae_imputed
322,0.5280821337393868,0.0,4560,SIDM00318,mofa_imputed
321,0.5282329059495601,0.0,4560,SIDM00318,vae_imputed
140,0.6108548594597069,0.0,3219,SIDM00837,original
141,0.547296119332235,0.0,4559,SIDM00837,vae_imputed
1022,0.5328756640655211,0.0,4564,SIDM00554,mofa_imputed
789,0.5390593032737564,0.0,4586,SIDM01033,vae_imputed
298,0.5362294330777123,0.0,4504,SIDM00568,mofa_imputed
297,0.5491983408207024,0.0,4504,SIDM00568,vae_imputed
134,0.5460635071430638,0.0,4584,SIDM00920,mofa_imputed
294,0.5470261222881336,0.0,4589,SIDM00522,mofa_imputed
354,0.5847934077147733,0.0,4515,SIDM01137,mofa_imputed
114,0.5635133189552379,0.0,4572,SIDM00272,mofa_imputed
828,0.7020830311664444,0.0,3090,SIDM00607,original
403,0.5618061992492464,0.0,4560,SIDM00898,mean
402,0.6133995591593023,0.0,4560,SIDM00898,mofa_imputed
829,0.6136300516395202,0.0,4504,SIDM00607,vae_imputed
401,0.5885024624171542,0.0,4560,SIDM00898,vae_imputed
400,0.7103722390913589,0.0,3157,SIDM00898,original
390,0.543483869510163,0.0,4575,SIDM00713,mofa_imputed
389,0.5378886353093858,0.0,4575,SIDM00713,vae_imputed
978,0.5543486843024779,0.0,4582,SIDM01030,mofa_imputed
969,0.5896688016910357,0.0,4589,SIDM00676,vae_imputed
794,0.5744980615889491,0.0,4576,SIDM00828,mofa_imputed
793,0.5790765455304829,0.0,4576,SIDM00828,vae_imputed
830,0.6252052164094185,0.0,4504,SIDM00607,mofa_imputed
589,0.5642533552391739,0.0,4568,SIDM00548,vae_imputed
590,0.5703255919162983,0.0,4568,SIDM00548,mofa_imputed
977,0.5422615073330915,0.0,4582,SIDM01030,vae_imputed
112,0.6003160440677401,0.0,3398,SIDM00272,original
113,0.5427637261357391,0.0,4572,SIDM00272,vae_imputed
208,0.7238874596245541,0.0,3290,SIDM00407,original
796,0.5782079691800306,0.0,3657,SIDM00783,original
293,0.546093567063513,0.0,4589,SIDM00522,vae_imputed
286,0.6101623423337219,0.0,4557,SIDM00453,mofa_imputed
249,0.5311301479275985,0.0,4546,SIDM01056,vae_imputed
1046,0.5359099045884868,0.0,4591,SIDM00749,mofa_imputed
237,0.5282027841831713,0.0,4591,SIDM00405,vae_imputed
1048,0.6465311087384319,0.0,2993,SIDM00761,original
1049,0.5781187777922288,0.0,4572,SIDM00761,vae_imputed
1050,0.5677460805087752,0.0,4572,SIDM00761,mofa_imputed
852,0.6503257452346061,0.0,2950,SIDM01084,original
853,0.5615045657442278,0.0,4576,SIDM01084,vae_imputed
626,0.5958612608838846,0.0,4546,SIDM00116,mofa_imputed
854,0.5575352991295404,0.0,4576,SIDM01084,mofa_imputed
223,0.5463690453716828,0.0,4591,SIDM00651,mean
222,0.6281824758642376,0.0,4591,SIDM00651,mofa_imputed
221,0.6147129642134498,0.0,4591,SIDM00651,vae_imputed
220,0.671242302742045,0.0,3413,SIDM00651,original
633,0.5342554057596562,0.0,4560,SIDM01184,vae_imputed
205,0.526170583751319,0.0,4583,SIDM00865,vae_imputed
206,0.5459738068004476,0.0,4583,SIDM00865,mofa_imputed
210,0.6585532360858406,0.0,4515,SIDM00407,mofa_imputed
1051,0.532291540927622,0.0,4572,SIDM00761,mean
287,0.5444227074172504,0.0,4557,SIDM00453,mean
260,0.6617939171893195,0.0,3203,SIDM01060,original
181,0.5692769554337069,0.0,4583,SIDM01059,vae_imputed
285,0.6237413403234997,0.0,4557,SIDM00453,vae_imputed
156,0.6228726047705633,0.0,3220,SIDM00693,original
157,0.5781090918497651,0.0,4515,SIDM00693,vae_imputed
158,0.5674035627508026,0.0,4515,SIDM00693,mofa_imputed
284,0.659798000296903,0.0,3664,SIDM00453,original
545,0.5477108656275129,0.0,4576,SIDM00124,vae_imputed
624,0.6642379357081067,0.0,3052,SIDM00116,original
625,0.5945259101713596,0.0,4546,SIDM00116,vae_imputed
182,0.5903610898811957,0.0,4583,SIDM01059,mofa_imputed
742,0.6191977728012539,0.0,4560,SIDM00611,mofa_imputed
741,0.6089086721902526,0.0,4560,SIDM00611,vae_imputed
262,0.6086378876780361,0.0,4568,SIDM01060,mofa_imputed
740,0.6709318732392506,0.0,2952,SIDM00611,original
1070,0.5598333781745297,0.0,4584,SIDM01090,mofa_imputed
1069,0.5735546611139664,0.0,4584,SIDM01090,vae_imputed
1068,0.6053836939491637,0.0,3319,SIDM01090,original
261,0.624367985939228,0.0,4568,SIDM01060,vae_imputed
180,0.6359510826662337,0.0,3337,SIDM01059,original
1072,0.6349554513623168,0.0,3153,SIDM00046,original
797,0.5384052718227164,0.0,4584,SIDM00783,vae_imputed
970,0.6160207595728076,0.0,4589,SIDM00676,mofa_imputed
417,0.5744261963073349,0.0,4585,SIDM00513,vae_imputed
33,0.5347214190313065,0.0,4582,SIDM00677,vae_imputed
34,0.5304981543755859,0.0,4582,SIDM00677,mofa_imputed
480,0.6698752295043182,0.0,3057,SIDM00447,original
1110,0.5517215371859276,0.0,4507,SIDM00327,mofa_imputed
570,0.5311955386447397,0.0,4514,SIDM01148,mofa_imputed
474,0.6102254682978031,0.0,4559,SIDM00589,mofa_imputed
1109,0.5445937807515442,0.0,4507,SIDM00327,vae_imputed
473,0.615028941692176,0.0,4559,SIDM00589,vae_imputed
472,0.6449396292578022,0.0,2821,SIDM00589,original
470,0.5775872874283348,0.0,4560,SIDM00435,mofa_imputed
469,0.561727759868684,0.0,4560,SIDM00435,vae_imputed
468,0.6414547438962701,0.0,3121,SIDM00435,original
416,0.67927902338673,0.0,3212,SIDM00513,original
1108,0.6203851179671079,0.0,3057,SIDM00327,original
48,0.6427293348697197,0.0,3187,SIDM00505,original
49,0.6150014905345429,0.0,4529,SIDM00505,vae_imputed
50,0.6250317936244588,0.0,4529,SIDM00505,mofa_imputed
465,0.5775958189300133,0.0,4514,SIDM01139,vae_imputed
1107,0.5915000133960349,0.0,4559,SIDM00698,mean
481,0.6141736513564015,0.0,4568,SIDM00447,vae_imputed
1106,0.6832716643425475,0.0,4559,SIDM00698,mofa_imputed
482,0.5950138963691215,0.0,4568,SIDM00447,mofa_imputed
484,0.6989363111740631,0.0,3248,SIDM01076,original
552,0.5965740100399333,0.0,3907,SIDM00940,original
808,0.6282655596728028,0.0,3476,SIDM00401,original
809,0.5985527885526953,0.0,4576,SIDM00401,vae_imputed
810,0.586713752186411,0.0,4576,SIDM00401,mofa_imputed
553,0.5767775556866087,0.0,4613,SIDM00940,vae_imputed
1138,0.5728301574150765,0.0,4515,SIDM01089,mofa_imputed
1137,0.5721678601178857,0.0,4515,SIDM01089,vae_imputed
554,0.5600587435167768,0.0,4613,SIDM00940,mofa_imputed
894,0.559957039583748,0.0,4591,SIDM01188,mofa_imputed
17,0.5390228919368588,0.0,4594,SIDM00572,vae_imputed
905,0.5297573999089786,0.0,4591,SIDM01096,vae_imputed
906,0.52903301786525,0.0,4591,SIDM01096,mofa_imputed
912,0.612530784896566,0.0,3543,SIDM00239,original
913,0.5875069098967037,0.0,4559,SIDM00239,vae_imputed
